line,experiment,MOI,replicate,passage,percentPB2.627K,perc627E
1,1,0.001,1,0,21.79974983,78.20025017
1,1,0.001,1,1,15.86932992,84.13067008
1,1,0.001,1,2,5.557737752,94.44226225
1,1,0.001,1,3,6.784575089,93.21542491
1,1,0.001,1,4,4.948159974,95.05184003
1,1,0.001,1,5,2.977645826,97.02235417
1,1,0.001,2,0,21.6418342,78.3581658
1,1,0.001,2,1,24.51202658,75.48797342
1,1,0.001,2,2,20.11834713,79.88165287
1,1,0.001,2,3,14.79323518,85.20676482
1,1,0.001,2,4,6.492146597,93.5078534
1,1,0.001,2,5,4.387709991,95.61229001
