pEmin,pEmax,pKmin,pKmax,pE1,pE2,pE3,pK1,pK2,pK3,valX1,valX2,valX3
0,200,46,46,86.395914455675,29.5754832387995,0,46,46,46,21.0271400471368,2471.75614284819,264.365303894578
0,200,47,47,87.72273389466,30.3851288528275,0,47,47,47,20.9492249332217,2471.00069697025,234.101031124844
0,200,48,48,89.0448723953007,31.1962313374382,0,48,48,48,20.868531061865,2470.1199878005,206.978145434399
0,200,49,49,90.3625999255515,32.0086770831405,0,49,49,49,20.7850859220209,2469.09734844523,182.714512314685
0,200,50,50,91.6759931082311,32.8223444648915,0,50,50,50,20.6989245423241,2467.91502644151,161.052054637355
0,200,51,51,92.9852226680971,33.6371064133314,0,51,51,51,20.6100859391268,2466.55471217316,141.754781562225
0,200,52,52,94.2904307719069,34.4528261380875,0,52,52,52,20.5186146721388,2464.99792634031,124.606972207444
0,200,53,53,95.5917494757398,35.2693622612047,0,53,53,53,20.4245613737254,2463.22660124845,109.411522695828
0,200,54,54,96.8893210224307,36.0865606183923,0,54,54,54,20.3279830285045,2461.22417424289,95.9883918929259
0,200,55,55,98.1832949251784,36.9042606577405,0,55,55,55,20.2289406127305,2458.97643570291,84.1731621078991
0,200,56,56,99.4737503058969,37.7222946187118,0,56,56,56,20.1275049859507,2456.47232225833,73.8157356333066
0,200,57,57,100.760851037237,38.540489902613,0,57,57,57,20.023752482996,2453.70492400105,64.7791466736315
0,200,58,58,102.044735060559,39.3586735692854,0,58,58,58,19.9177641795447,2450.67227662621,56.9384255618982
0,200,59,59,103.325545374054,40.176670777451,0,59,59,59,19.8096268230557,2447.37816368493,50.1796176392709
0,200,60,60,104.603417955079,40.9943099598648,0,60,60,60,19.6994306422227,2443.83197674259,44.3988187609052
0,200,61,61,105.878531327466,41.8114275138621,0,61,61,61,19.5872692775618,2440.04886547252,39.5013205419165
0,200,62,62,107.15100201517,42.6278702614574,0,62,62,62,19.4732373675668,2436.04906960182,35.4008217160032
0,200,63,63,108.421007691267,43.4435005107174,0,63,63,63,19.3574337484616,2431.8568612091,32.0187082129669
0,200,64,64,109.688704063692,44.258194852222,0,64,64,64,19.2399562811061,2427.49956326436,29.2833885717225
0,200,65,65,110.954247401978,45.0718462809822,0,65,65,65,19.1209041368779,2423.0062497473,27.1296982524273
0,200,66,66,112.217811702004,45.884367030192,0,66,66,66,19.0003749961282,2418.40653910745,25.4983277302509
0,200,67,67,113.479544896031,46.6956862042633,0,67,67,67,18.8784654705364,2413.72923695496,24.3353205702109
0,200,68,68,114.739632680562,47.505748350499,0,68,68,68,18.7552694178743,2409.00182363954,23.5916047894724
0,200,69,69,115.998195732269,48.3145164144396,0,69,69,69,18.6308789703244,2404.24966785102,23.222567285343
0,200,70,70,117.255405389669,49.1219588061666,0.0907392740784717,70,70,70,18.505384564991,2399.49594664723,23.1639040533672
0,200,71,71,118.511414345573,49.9280585528571,0.323622288903055,71,71,71,18.3788726328582,2394.76156977947,23.1637568357863
0,200,72,72,119.766377027172,50.732804411703,0.560076258559969,72,72,72,18.2514255602565,2390.0655755994,23.1636018734048
0,200,73,73,121.020416065711,51.5361937010263,0.800085525967858,73,73,73,18.1231228058227,2385.42549454391,23.1634388053405
0,200,74,74,122.273687529966,52.3382277138387,1.0436332272158,74,74,74,17.9940402556006,2380.8577680745,23.163267177768
0,200,75,75,123.526334939031,53.1389116097411,1.29070159667405,75,75,75,17.8642471740662,2376.37846760271,23.1630866200683
0,200,76,76,124.778458407668,53.9382539974564,1.54127309827366,76,76,76,17.7338101380908,2372.00349748876,23.1628965947846
0,200,77,77,126.030170624302,54.7362670842187,1.79532812771586,77,77,77,17.6027924273775,2367.7489457972,23.1626967251148
0,200,78,78,127.281606549441,55.5329667072072,2.0528466051568,78,78,78,17.4712538610047,2363.63120566261,23.1624864808741
0,200,79,79,128.532866378014,56.3283718590117,2.31380788593453,79,79,79,17.3392468352982,2359.66681971304,23.1622653504939
0,200,80,80,129.78404346541,57.122507433032,2.57819041177397,80,80,80,17.206821766347,2355.87256703191,23.1620328142544
0,200,81,81,131.035244380492,57.9154017260551,2.8459724485006,81,81,81,17.074025428383,2352.26502821598,23.1617883534268
0,200,82,82,132.286554791977,58.707087473088,3.1171317962807,82,82,82,16.9408994590603,2348.86040346296,23.1615313348248
0,200,83,83,133.538053678068,59.4976005379433,3.39164632623434,83,83,83,16.8074808138013,2345.67398075263,23.1612611056952
0,200,84,84,134.789805209181,60.2869803366335,3.66949209104609,84,84,84,16.6738051476663,2342.71990557902,23.1609771265382
0,200,85,85,136.041874972327,61.0752699994928,3.9506450867716,85,85,85,16.539904537982,2340.01080440212,23.1606787420934
0,200,86,86,137.294329208282,61.862513714278,4.23508114568125,86,86,86,16.4058081968512,2337.5575415668,23.1603652338976
0,200,87,87,138.547220723651,62.6487585163667,4.52277555772492,87,87,87,16.2715426736744,2335.36900670631,23.1600359020289
0,200,88,88,139.800596295,63.434053142467,4.81370333976759,88,88,88,16.1371312501725,2333.45200912228,23.1596900298041
0,200,89,89,141.05449970343,64.2184435054831,5.10783919865582,89,89,89,16.0025966619245,2331.81118703071,23.1593268291909
0,200,90,90,142.308977677485,65.0019752857966,5.40515769606231,90,90,90,15.8679579251322,2330.44906714041,23.1589455205763
0,200,91,91,143.564039207401,65.7846930703293,5.70563465819388,91,91,91,15.7332347569823,2329.36614313926,23.1585450955361
