beta,delta,c,est_pE1,est_pE2,est_pE3,est_pK1,est_pK2,est_pK3,sum_rss,convergence
1e-06,1,1,200,105.489649137619,6.3352166668201,104.309085160217,158.579486774063,200,2385.15996686159,0
1e-06,1,2,200,130.801805945086,9.21945570124861,104.293518471975,188.752395947717,200,2380.08775197614,0
1e-06,1,3,200,141.626287616714,11.0947835589425,104.262236586725,200,197.953640863986,2383.6691906108,0
1e-06,1,4,200,143.278490330385,13.0415810816296,104.249828462268,200,198.365991201023,2413.84942717675,0
1e-06,1,5,200,144.35892314137,14.8060657582855,104.234811593732,200,200,2451.54750050783,0
1e-06,1,6,200,144.953948624245,15.4790536091979,104.192139372411,200,198.481288395901,2484.51752822494,0
1e-06,1,7,200,145.174333121368,16.1813173843721,104.085887455502,200,198.653212716471,2505.81289639518,0
1e-06,1,8,200,145.158225810032,16.6244649724709,103.887421769131,200,198.971650434802,2515.46536185399,0
1e-06,1,9,200,145.001104663655,16.8009792999181,103.5792512338,200,199.155214035578,2519.03686727403,0
1e-06,1,10,200,144.747123259051,16.4342434219322,103.156303682325,200,197.55093994398,2520.30185607807,0
1e-06,2,1,200,115.75225345525,2.71518645316927,102.534108282079,172.059942844217,199.359555308782,2387.44817021069,0
1e-06,2,2,200,139.892750347447,6.0219820545386,102.712623630148,200,198.687448919285,2382.47388515979,0
1e-06,2,3,200,142.16299278055,9.2200031199496,102.960222764696,200,200,2405.22158922865,0
1e-06,2,4,200,143.70332029374,11.0950450407904,103.264184263288,200,197.952411809976,2445.50843136019,0
1e-06,2,5,200,144.628700058954,13.0417206780541,103.575149914999,200,198.364459919498,2482.71548743767,0
1e-06,2,6,200,145.091070778633,14.467295412043,103.82941110959,200,198.461374924892,2506.34434154475,0
1e-06,2,7,200,145.273992319069,15.4793215896962,103.976465136497,200,198.480839955029,2516.2071494314,0
1e-06,2,8,200,145.295262016627,16.1815746101262,103.985286765907,200,198.652952864115,2519.47881941945,0
