beta_E, beta_K, delta_E, delta_K, c_E, c_K, est_pE1, est_pE2, est_pE3, est_pK1, est_pK2, est_pK3, sum_rss, convergence
2.7e-06, 2.7e-06, 4, 4, 2.4, 2.4, 200, 61.1011060634861, 51.7917154790113, 135.696306716635, 85.9307484765043, 200, 2362.63027320406, 0
2.7e-06, 2.7e-06, 4, 4, 2.4, 2.8, 200, 55.3703405875404, 48.5388888086297, 141.750215713163, 83.2918866447992, 200, 2380.48230070671, 0
2.7e-06, 2.7e-06, 4, 4, 2.4, 3, 200, 53.1259195569296, 46.9621927882001, 144.53263050703, 82.6125416891463, 200, 2388.06846374111, 0
2.7e-06, 2.7e-06, 4, 4, 2.4, 3.6, 200, 48.1189272424559, 42.4269565110672, 152.369824229071, 82.4265446377672, 200, 2404.13160035665, 0
2.7e-06, 2.7e-06, 4, 4, 2.8, 2.4, 200, 75.347400637708, 55.5070023374849, 129.765268907154, 98.0649176697277, 200, 2343.13076261325, 0
2.7e-06, 2.7e-06, 4, 4, 2.8, 2.8, 200, 66.0343317151576, 52.1685961868143, 136.324428719785, 91.6322565319774, 200, 2360.9425072549, 0
2.7e-06, 2.7e-06, 4, 4, 2.8, 3, 200, 62.8709113642758, 50.5493630563294, 139.290513692071, 90.0338490085494, 200, 2369.69983138017, 0
2.7e-06, 2.7e-06, 4, 4, 2.8, 3.6, 200, 55.9764876560377, 45.8875819723534, 147.405303208463, 87.9353879055116, 200, 2391.75935029933, 0
2.7e-06, 2.7e-06, 4, 4, 3, 2.4, 200, 84.245636784673, 57.369168606491, 126.732356088017, 105.893410573879, 200, 2335.88417082542, 0
2.7e-06, 2.7e-06, 4, 4, 3, 2.8, 200, 72.5258009879187, 53.9880642528562, 133.537841536723, 96.9914370229274, 200, 2351.46652030727, 0
2.7e-06, 2.7e-06, 4, 4, 3, 3, 200, 68.5067539454033, 52.347613459727, 136.607888279887, 94.4850970397877, 200, 2360.16376964086, 0
2.7e-06, 2.7e-06, 4, 4, 3, 3.6, 200, 60.3991472896003, 47.6227288006758, 144.914295976309, 91.1841543875848, 200, 2383.94775493245, 0
2.7e-06, 2.7e-06, 4, 4, 3.6, 2.4, 200, 117.116090444679, 62.9737234270642, 117.625955741455, 134.549161127653, 200, 2344.43325221664, 0
2.7e-06, 2.7e-06, 4, 4, 3.6, 2.8, 200, 97.9362984652886, 59.4648667257066, 125.003552556116, 118.813494080579, 200, 2333.39666332984, 0
2.7e-06, 2.7e-06, 4, 4, 3.6, 3, 200, 91.0568515968555, 57.7609491532332, 128.364516633123, 113.5668061406, 200, 2336.59156247517, 0
2.7e-06, 2.7e-06, 4, 4, 3.6, 3.6, 200, 75.9375853688815, 52.8473540363158, 137.345438335666, 103.041332353334, 200, 2358.07722251563, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.4, 2.4, 200, 78.8317127294389, 60.7256639037398, 120.414407687687, 96.1024313385021, 200, 2337.94981468388, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.4, 2.8, 200, 67.6589676674061, 57.3404528630301, 127.070205513618, 87.8501992417848, 200, 2352.73131698533, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.4, 3, 200, 63.8053151255867, 55.695575222193, 130.110653132801, 85.4861865369095, 200, 2360.57678498495, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.4, 3.6, 200, 55.9574655322342, 50.9483847857892, 138.37649664657, 82.1935546199904, 200, 2381.69302178293, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.8, 2.4, 200, 103.729983696496, 64.663300363548, 113.898285098626, 117.989245853625, 200, 2335.01127377671, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.8, 2.8, 200, 86.8059772936172, 61.1960803202851, 120.984193029027, 104.528016442882, 200, 2335.06401449425, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.8, 3, 200, 80.4371049822381, 59.5104514890233, 124.248093880118, 99.7104291444468, 200, 2340.47191256908, 0
2.7e-06, 2.7e-06, 4, 2.6, 2.8, 3.6, 200, 67.3959768404462, 54.6420352195187, 133.082731865056, 91.1742751728881, 200, 2361.63994573669, 0
2.7e-06, 2.7e-06, 4, 2.6, 3, 2.4, 200, 120.477092026449, 66.6363819639847, 110.66867178264, 132.892987770452, 200, 2346.71863900534, 0
2.7e-06, 2.7e-06, 4, 2.6, 3, 2.8, 200, 98.2832073914333, 63.1282248373061, 117.899720942915, 114.486971230162, 200, 2332.79222979954, 0
2.7e-06, 2.7e-06, 4, 2.6, 3, 3, 200, 90.755238000933, 61.4222605772811, 121.252672487644, 108.680778438422, 200, 2334.13074609625, 0
2.7e-06, 2.7e-06, 4, 2.6, 3, 3.6, 200, 74.476281058499, 56.4933736555546, 130.357360820604, 97.0316027598592, 200, 2351.62799286554, 0
2.7e-06, 2.7e-06, 4, 2.6, 3.6, 2.4, 200, 174.442099401194, 72.5727934048104, 101.405513465563, 178.016408951776, 200, 2456.87911273622, 0
2.7e-06, 2.7e-06, 4, 2.6, 3.6, 2.8, 200, 146.892090406842, 68.9420855096515, 108.802004256562, 157.008916537564, 200, 2376.16544988825, 0
2.7e-06, 2.7e-06, 4, 2.6, 3.6, 3, 200, 132.341858249389, 67.1752622915725, 112.302987267121, 144.912482070932, 200, 2354.65862872671, 0
2.7e-06, 2.7e-06, 4, 2.6, 3.6, 3.6, 200, 102.41483652318, 62.0654609399629, 121.995686415184, 120.867708046734, 200, 2333.40931546949, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.4, 2.4, 200, 58.7431082202051, 49.7274874021852, 139.204409723581, 85.4379305092344, 200, 2368.32380071456, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.4, 2.8, 200, 53.5307990330129, 46.5093847442542, 145.149742948205, 83.3507168798206, 200, 2385.91490765462, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.4, 3, 200, 51.4443720438485, 44.9505164529981, 147.90342221383, 82.8432530095616, 200, 2393.04099162394, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.4, 3.6, 200, 46.9132296022081, 40.4704259779711, 155.750735604882, 83.270495779997, 200, 2407.43335588155, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.8, 2.4, 200, 71.2364492446204, 53.3886922276267, 133.400815168748, 95.7916357335449, 200, 2348.6174129238, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.8, 2.8, 200, 63.329874061943, 50.0841264167466, 139.820030283998, 90.8692003697705, 200, 2367.24942080466, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.8, 3, 200, 60.5284168975644, 48.4822829224814, 142.73030379464, 89.6616802620116, 200, 2376.02591549724, 0
2.7e-06, 2.7e-06, 4, 4.35, 2.8, 3.6, 200, 54.1978815589867, 43.8743630916945, 150.776054158219, 88.1790523403994, 200, 2396.87875162312, 0
2.7e-06, 2.7e-06, 4, 4.35, 3, 2.4, 200, 79.2422719805235, 55.2238905574306, 130.424562326525, 102.814730740293, 200, 2340.19311087412, 0
2.7e-06, 2.7e-06, 4, 4.35, 3, 2.8, 200, 69.0372524366506, 51.8761897092002, 137.090343384453, 95.428191678352, 200, 2357.79794027753, 0
2.7e-06, 2.7e-06, 4, 4.35, 3, 3, 200, 65.6241542340329, 50.252911838654, 140.095814488598, 93.5816089101611, 200, 2366.75926381292, 0
2.7e-06, 2.7e-06, 4, 4.35, 3, 3.6, 200, 58.3303172350328, 45.5812488803675, 148.294682742894, 91.1568203991167, 200, 2389.98328168782, 0
2.7e-06, 2.7e-06, 4, 4.35, 3.6, 2.4, 200, 107.829857345475, 60.7477884359064, 121.417788579444, 127.56411714262, 200, 2337.44649209639, 0
2.7e-06, 2.7e-06, 4, 4.35, 3.6, 2.8, 200, 91.8311209241571, 57.2710445402467, 128.710070728791, 114.881122057331, 200, 2335.48145777392, 0
