betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0,0.616302987963681
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.05,0.722258067559846
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.1,0.787505359015705
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.15,0.830879028405056
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.2,0.861632194464214
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.25,0.884594777484006
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.3,0.902392732430311
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.35,0.916542983145934
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.4,0.927993830850766
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.45,0.937387975075046
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.5,0.945186806613004
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.55,0.95172986848724
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.6,0.957269288877142
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.65,0.961994275770736
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.7,0.966049292989691
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.75,0.969546993708818
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.8,0.972577036825001
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.85,0.975212012900272
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.9,0.977511443663726
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,0.95,0.97952464334822
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0,1,0.98129273810771
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0,0.0987039426576334
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.05,0.252917999433927
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.1,0.399841514848838
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.15,0.52227745648754
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.2,0.617448754234364
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.25,0.689524454167874
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.3,0.744008704073397
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.35,0.785658591727069
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.4,0.818071426789177
1e-05,2.6,3.6,1e-05,2.6,2.4,20,0.05,0.45,0.843807376801393
