betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0,0.144047429836992
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.05,0.376948932101774
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.1,0.509408832351836
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.15,0.590594936595896
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.2,0.645542206655549
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.25,0.685324158417953
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.3,0.715673826464273
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.35,0.739635128047981
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.4,0.758868316615347
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.45,0.774418618959948
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.5,0.787218171504805
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.55,0.798012029210216
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.6,0.807321042756607
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.65,0.815491889855165
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.7,0.822750545443166
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.75,0.829270838418264
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.8,0.83522307230572
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.85,0.840771617221643
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.9,0.846049866312955
1e-05,2.6,3.6,1e-05,2.6,3,1,0,0.95,0.851147455518966
1e-05,2.6,3.6,1e-05,2.6,3,1,0,1,0.856114535508046
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0,-0.584716327472957
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.05,0.00474573601729962
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.1,0.0365993988968312
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.15,0.101967535433738
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.2,0.192259951277611
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.25,0.285686288714582
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.3,0.368188782870357
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.35,0.436197237080762
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.4,0.491742656584396
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.45,0.537884839857225
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.5,0.576739942225876
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.55,0.609494895325946
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.6,0.636925406894637
1e-05,2.6,3.6,1e-05,2.6,3,1,0.05,0.65,0.65977607590414
