betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3.6,1e-05,4,3,40,0,0,0.729754981183287
1e-05,2.6,3.6,1e-05,4,3,40,0,0.05,0.810428286635735
1e-05,2.6,3.6,1e-05,4,3,40,0,0.1,0.858863876435275
1e-05,2.6,3.6,1e-05,4,3,40,0,0.15,0.890559008960984
1e-05,2.6,3.6,1e-05,4,3,40,0,0.2,0.912594260805311
1e-05,2.6,3.6,1e-05,4,3,40,0,0.25,0.928610605955835
1e-05,2.6,3.6,1e-05,4,3,40,0,0.3,0.940669208767527
1e-05,2.6,3.6,1e-05,4,3,40,0,0.35,0.950009167892514
1e-05,2.6,3.6,1e-05,4,3,40,0,0.4,0.957406211100421
1e-05,2.6,3.6,1e-05,4,3,40,0,0.45,0.963365826056109
1e-05,2.6,3.6,1e-05,4,3,40,0,0.5,0.968231738781217
1e-05,2.6,3.6,1e-05,4,3,40,0,0.55,0.972247197871679
1e-05,2.6,3.6,1e-05,4,3,40,0,0.6,0.975590159539736
1e-05,2.6,3.6,1e-05,4,3,40,0,0.65,0.978394227803708
1e-05,2.6,3.6,1e-05,4,3,40,0,0.7,0.980761714265455
1e-05,2.6,3.6,1e-05,4,3,40,0,0.75,0.982772183804098
1e-05,2.6,3.6,1e-05,4,3,40,0,0.8,0.984488256857866
1e-05,2.6,3.6,1e-05,4,3,40,0,0.85,0.985959708900207
1e-05,2.6,3.6,1e-05,4,3,40,0,0.9,0.987226458779518
1e-05,2.6,3.6,1e-05,4,3,40,0,0.95,0.988320772350838
1e-05,2.6,3.6,1e-05,4,3,40,0,1,0.9892689454215
1e-05,2.6,3.6,1e-05,4,3,40,0.05,0,0.598685269520781
1e-05,2.6,3.6,1e-05,4,3,40,0.05,0.05,0.725125507958161
1e-05,2.6,3.6,1e-05,4,3,40,0.05,0.1,0.800049012509702
1e-05,2.6,3.6,1e-05,4,3,40,0.05,0.15,0.847764579073441
1e-05,2.6,3.6,1e-05,4,3,40,0.05,0.2,0.880067886660764
1e-05,2.6,3.6,1e-05,4,3,40,0.05,0.25,0.903045466398736
