betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0,0.151776786720145
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.05,0.260113922265178
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.1,0.366944878610378
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.15,0.458197934533241
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.2,0.532136740123358
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.25,0.591140247284036
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.3,0.638380021252158
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.35,0.676798586429641
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.4,0.708588064452292
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.45,0.735194296613398
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.5,0.757592032430284
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.55,0.776536149614231
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.6,0.792682525725878
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.65,0.806613406004038
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.7,0.818828409265165
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.75,0.829736008159198
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.8,0.83965514408461
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.85,0.848825354501966
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.9,0.857420590389267
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,0.95,0.865563032031053
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0,1,0.87333508288573
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0,0.107649680513191
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.05,0.205316050235578
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.1,0.313372278336736
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.15,0.411782281946789
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.2,0.49378612905425
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.25,0.55994333674627
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.3,0.612866174715613
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.35,0.655598614284682
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.4,0.690720635253801
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.45,0.720019631148809
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.5,0.744656745720508
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.55,0.76546229367403
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.6,0.783126816750277
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.65,0.798265954878661
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.7,0.811421503593445
1e-05,2.6,3.6,8.8e-07,2.6,3,1,0.05,0.75,0.823049416850045
