betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0,0.146009677566157
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.05,0.24703544371237
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.1,0.351069919996848
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.15,0.442988953067859
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.2,0.518898606865684
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.25,0.580107414800003
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.3,0.629369922664715
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.35,0.669559418345681
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.4,0.702953212644507
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.45,0.731060274335587
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.5,0.754846019177876
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.55,0.775018294058823
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.6,0.79219607052026
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.65,0.80695829068796
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.7,0.819832942918252
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.75,0.831274691854832
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.8,0.841652186790919
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.85,0.851247959869911
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.9,0.86026707784864
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,0.95,0.86884981883616
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0,1,0.877085222649377
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0,0.109913190621868
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.05,0.2029651239608
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.1,0.308292240380869
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.15,0.406307872902809
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.2,0.488946794246437
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.25,0.556034271062955
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.3,0.609948450322815
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.35,0.653625457270199
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.4,0.689646954279248
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.45,0.719832109339765
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.5,0.745336643197403
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.55,0.76694780208377
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.6,0.785310196058915
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.65,0.801018863463923
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.7,0.81462602735235
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.75,0.826619428923139
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.8,0.83740452937274
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.85,0.847299351165698
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.9,0.85654008781105
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,0.95,0.865292549304376
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.05,1,NA
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0,0.0794814757140281
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.05,0.161057974547055
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.1,0.264051879549584
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.15,0.366823816699887
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.2,0.456228771861403
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.25,0.529632723041846
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.3,0.588727280827611
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.35,0.636351982048325
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.4,0.675320079889317
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.45,0.707783054304813
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.5,0.735142374973383
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.55,0.75830503555249
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.6,0.777956960067288
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.65,0.794709741045483
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.7,0.809135627076901
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.75,0.821752222785097
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.8,0.833000919182066
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.85,0.843236284186543
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.9,0.852727702997053
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,0.95,NA
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.1,1,NA
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0,0.0551304728823084
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.05,0.123069173350553
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.1,0.219628507578367
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.15,0.324845889385339
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.2,0.420646162746829
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.25,0.500696802062798
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.3,0.565484849830009
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.35,0.617561411745578
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.4,0.659855990868431
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.45,0.694840195175508
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.5,0.724210704405763
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.55,0.749044057100243
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.6,0.770093026018406
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.65,0.78799105930168
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.7,0.803327199639336
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.75,0.816644932225441
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.8,0.828419706171567
1e-05,2.6,3.6,8.8e-07,4,3.6,1,0.15,0.85,0.839042983180095
