betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0,0.819922223106277
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.05,0.868769970396538
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.1,0.901118394198997
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.15,0.923559810090588
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.2,0.939710688431852
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.25,0.951678934367064
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.3,0.960759618209374
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.35,0.967784436036468
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.4,0.973307462882174
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.45,0.977709261158113
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.5,0.981258130035037
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.55,0.984147574081527
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.6,0.986520033090472
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.65,0.988482262110296
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.7,0.990115576317251
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.75,0.991482794346712
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.8,0.992633051119664
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.85,0.993605191041191
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.9,0.994430221360254
1e-05,2.6,3.6,8.8e-07,4,3,80,0,0.95,0.995133087528961
1e-05,2.6,3.6,8.8e-07,4,3,80,0,1,0.995734011221765
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0,0.797293904950214
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.05,0.85475091978297
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.1,0.89193211781122
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.15,0.917268569528211
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.2,0.935250786927554
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.25,0.948429885215527
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.3,0.958340088868616
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.35,0.965949746173939
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.4,0.971895032291453
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.45,0.976607939139135
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.5,0.980390065027412
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.55,0.983457095052174
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.6,0.985966556458728
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.65,0.988035706302264
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.7,0.989753295309292
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.75,0.991187512063769
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.8,0.992391425092211
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.85,0.993406818025602
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.9,0.994266907071768
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,0.95,0.994998333984705
1e-05,2.6,3.6,8.8e-07,4,3,80,0.05,1,NA
1e-05,2.6,3.6,8.8e-07,4,3,80,0.1,0,0.769881642356369
1e-05,2.6,3.6,8.8e-07,4,3,80,0.1,0.05,0.838240674922366
1e-05,2.6,3.6,8.8e-07,4,3,80,0.1,0.1,0.881349393495981
1e-05,2.6,3.6,8.8e-07,4,3,80,0.1,0.15,0.910142865167146
1e-05,2.6,3.6,8.8e-07,4,3,80,0.1,0.2,0.930265282990806
