betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3,1e-05,4,2.4,20,0,0,0.617447743582831
1e-05,2.6,3,1e-05,4,2.4,20,0,0.05,0.723780122766723
1e-05,2.6,3,1e-05,4,2.4,20,0,0.1,0.789125341925616
1e-05,2.6,3,1e-05,4,2.4,20,0,0.15,0.832560250111738
1e-05,2.6,3,1e-05,4,2.4,20,0,0.2,0.863321221182484
1e-05,2.6,3,1e-05,4,2.4,20,0,0.25,0.886140712835958
1e-05,2.6,3,1e-05,4,2.4,20,0,0.3,0.903667809077039
1e-05,2.6,3,1e-05,4,2.4,20,0,0.35,0.917509302099309
1e-05,2.6,3,1e-05,4,2.4,20,0,0.4,0.92869220349374
1e-05,2.6,3,1e-05,4,2.4,20,0,0.45,0.937891832433629
1e-05,2.6,3,1e-05,4,2.4,20,0,0.5,0.945563950837613
1e-05,2.6,3,1e-05,4,2.4,20,0,0.55,0.952027098518941
1e-05,2.6,3,1e-05,4,2.4,20,0,0.6,0.957513210621913
1e-05,2.6,3,1e-05,4,2.4,20,0,0.65,0.962197715078055
1e-05,2.6,3,1e-05,4,2.4,20,0,0.7,0.966217380609392
1e-05,2.6,3,1e-05,4,2.4,20,0,0.75,0.969681203584526
1e-05,2.6,3,1e-05,4,2.4,20,0,0.8,0.972677390146239
1e-05,2.6,3,1e-05,4,2.4,20,0,0.85,0.975278081900269
1e-05,2.6,3,1e-05,4,2.4,20,0,0.9,0.977542736263634
1e-05,2.6,3,1e-05,4,2.4,20,0,0.95,0.979520640837644
1e-05,2.6,3,1e-05,4,2.4,20,0,1,0.981252835497297
1e-05,2.6,3,1e-05,4,2.4,20,0.05,0,0.439497291846516
1e-05,2.6,3,1e-05,4,2.4,20,0.05,0.05,0.596488948740611
1e-05,2.6,3,1e-05,4,2.4,20,0.05,0.1,0.697785834926592
1e-05,2.6,3,1e-05,4,2.4,20,0.05,0.15,0.764745200485422
1e-05,2.6,3,1e-05,4,2.4,20,0.05,0.2,0.811065382200438
