betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0,0.728466401991861
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.05,0.795984359808004
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.1,0.84226856886795
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.15,0.875274867193353
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.2,0.899631266407758
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.25,0.918114708231773
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.3,0.932460072938835
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.35,0.943796365532506
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.4,0.952886339054454
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.45,0.96026250547112
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.5,0.966307149510196
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.55,0.971301320242249
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.6,0.975455946649414
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.65,0.978932274468868
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.7,0.981855549704906
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.75,0.984324435986395
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.8,0.986417596029451
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.85,0.988198373945348
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.9,0.989718207533622
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,0.95,0.991019168713348
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0,1,0.992135864686974
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0,0.689154705301899
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.05,0.769778346862839
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.1,0.824076979226446
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.15,0.862155177092936
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.2,0.889859516216266
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.25,0.910643758160161
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.3,0.926627189130261
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.35,0.939164984306682
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.4,0.949158300608071
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.45,0.957227740529243
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.5,0.963813685320216
1e-05,2.6,3,8.8e-07,2.6,3.6,40,0.05,0.55,0.969236678400837
