betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,2.4,1e-05,4,3.6,40,0,0,0.733668657165231
1e-05,4,2.4,1e-05,4,3.6,40,0,0.05,0.805570118068924
1e-05,4,2.4,1e-05,4,3.6,40,0,0.1,0.852024822390406
1e-05,4,2.4,1e-05,4,3.6,40,0,0.15,0.883749819639541
1e-05,4,2.4,1e-05,4,3.6,40,0,0.2,0.906474842856497
1e-05,4,2.4,1e-05,4,3.6,40,0,0.25,0.92339789401835
1e-05,4,2.4,1e-05,4,3.6,40,0,0.3,0.936381583602218
1e-05,4,2.4,1e-05,4,3.6,40,0,0.35,0.946567140272
1e-05,4,2.4,1e-05,4,3.6,40,0,0.4,0.954692628092259
1e-05,4,2.4,1e-05,4,3.6,40,0,0.45,0.961259520492295
1e-05,4,2.4,1e-05,4,3.6,40,0,0.5,0.96662262719596
1e-05,4,2.4,1e-05,4,3.6,40,0,0.55,0.971040984936048
1e-05,4,2.4,1e-05,4,3.6,40,0,0.6,0.974708282960944
1e-05,4,2.4,1e-05,4,3.6,40,0,0.65,0.977772022254167
1e-05,4,2.4,1e-05,4,3.6,40,0,0.7,0.98034618084774
1e-05,4,2.4,1e-05,4,3.6,40,0,0.75,0.982519885631718
1e-05,4,2.4,1e-05,4,3.6,40,0,0.8,0.984363584843672
1e-05,4,2.4,1e-05,4,3.6,40,0,0.85,0.985933506464798
1e-05,4,2.4,1e-05,4,3.6,40,0,0.9,0.987274973259968
1e-05,4,2.4,1e-05,4,3.6,40,0,0.95,0.988424869506365
1e-05,4,2.4,1e-05,4,3.6,40,0,1,0.989413498158678
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0,0.666638760375264
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.05,0.759894196274776
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.1,0.819476344701138
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.15,0.859566482407179
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.2,0.887875381413029
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.25,0.908703576107922
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.3,0.924532397985922
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.35,0.93686035915084
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.4,0.946640825765214
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.45,0.954511457576745
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.5,0.960917356460153
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.55,0.966179944890549
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.6,0.970537509191505
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.65,0.974170320855132
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.7,0.977216964686706
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.75,0.979785375958749
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.8,0.981960591580574
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.85,0.983810297778957
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.9,0.985388921262949
1e-05,4,2.4,1e-05,4,3.6,40,0.05,0.95,0.986740655003154
1e-05,4,2.4,1e-05,4,3.6,40,0.05,1,NA
1e-05,4,2.4,1e-05,4,3.6,40,0.1,0,0.585718547248937
