betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,2.4,1e-05,6.1,3,20,0,0,0.621501481478989
1e-05,4,2.4,1e-05,6.1,3,20,0,0.05,0.706604618760966
1e-05,4,2.4,1e-05,6.1,3,20,0,0.1,0.767010105633219
1e-05,4,2.4,1e-05,6.1,3,20,0,0.15,0.810977571044625
1e-05,4,2.4,1e-05,6.1,3,20,0,0.2,0.843977965627908
1e-05,4,2.4,1e-05,6.1,3,20,0,0.25,0.869495336388398
1e-05,4,2.4,1e-05,6.1,3,20,0,0.3,0.889727287612885
1e-05,4,2.4,1e-05,6.1,3,20,0,0.35,0.906081413861391
1e-05,4,2.4,1e-05,6.1,3,20,0,0.4,0.919490182163192
1e-05,4,2.4,1e-05,6.1,3,20,0,0.45,0.930598250434536
1e-05,4,2.4,1e-05,6.1,3,20,0,0.5,0.939870866370207
1e-05,4,2.4,1e-05,6.1,3,20,0,0.55,0.947656561972262
1e-05,4,2.4,1e-05,6.1,3,20,0,0.6,0.954224284045403
1e-05,4,2.4,1e-05,6.1,3,20,0,0.65,0.959786172189088
1e-05,4,2.4,1e-05,6.1,3,20,0,0.7,0.96451223158626
1e-05,4,2.4,1e-05,6.1,3,20,0,0.75,0.968540259043402
1e-05,4,2.4,1e-05,6.1,3,20,0,0.8,0.971982895040646
1e-05,4,2.4,1e-05,6.1,3,20,0,0.85,0.974932824647523
1e-05,4,2.4,1e-05,6.1,3,20,0,0.9,0.977466753714347
1e-05,4,2.4,1e-05,6.1,3,20,0,0.95,0.979648492688759
1e-05,4,2.4,1e-05,6.1,3,20,0,1,0.981531386196586
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0,0.561395035027563
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.05,0.661311485068335
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.1,0.732655114965155
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.15,0.784412125003412
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.2,0.822956410733672
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.25,0.852494823499698
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.3,0.875727624753913
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.35,0.89438974781875
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.4,0.909621774385091
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.45,0.922201330264475
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.5,0.932680793248712
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.55,0.941467946287819
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.6,0.948873753045115
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.65,0.955141374460082
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.7,0.960464522039397
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.75,0.964999607666743
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.8,0.968874186769446
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.85,0.972193073867845
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.9,0.975042934895684
1e-05,4,2.4,1e-05,6.1,3,20,0.05,0.95,0.977495830200018
1e-05,4,2.4,1e-05,6.1,3,20,0.05,1,NA
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0,0.494577763927734
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.05,0.60994635945717
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.1,0.693473805383071
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.15,0.754169707005527
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.2,0.799149750047257
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.25,0.833356807277724
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.3,0.860051668665616
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.35,0.881352948422079
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.4,0.898651744623871
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.45,0.912887334427359
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.5,0.92471775391568
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.55,0.934621843000387
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.6,0.942960174822322
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.65,0.95001193299499
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.7,0.955997961883679
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.75,0.961095731177254
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.8,0.965449530771185
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.85,0.969177709143965
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.9,0.97237800970144
1e-05,4,2.4,1e-05,6.1,3,20,0.1,0.95,NA
1e-05,4,2.4,1e-05,6.1,3,20,0.1,1,NA
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0,0.422123197126946
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.05,0.552523723239607
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.1,0.649139583100431
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.15,0.719873829534266
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.2,0.772230728134239
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.25,0.811823690382504
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.3,0.842503463618593
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.35,0.866822115931613
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.4,0.886465070859498
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.45,0.902565281015396
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.5,0.915908003222062
1e-05,4,2.4,1e-05,6.1,3,20,0.15,0.55,0.927057206250923
