betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,2.4,2.7e-06,4,3,1,0,0,0.13756464709018
1e-05,4,2.4,2.7e-06,4,3,1,0,0.05,0.240956399927577
1e-05,4,2.4,2.7e-06,4,3,1,0,0.1,0.344668981549952
1e-05,4,2.4,2.7e-06,4,3,1,0,0.15,0.434125781190058
1e-05,4,2.4,2.7e-06,4,3,1,0,0.2,0.5065511769099
1e-05,4,2.4,2.7e-06,4,3,1,0,0.25,0.565041447564791
1e-05,4,2.4,2.7e-06,4,3,1,0,0.3,0.61313987640639
1e-05,4,2.4,2.7e-06,4,3,1,0,0.35,0.653135081256311
1e-05,4,2.4,2.7e-06,4,3,1,0,0.4,0.686376549361423
1e-05,4,2.4,2.7e-06,4,3,1,0,0.45,0.713847549806336
1e-05,4,2.4,2.7e-06,4,3,1,0,0.5,0.736487774329583
1e-05,4,2.4,2.7e-06,4,3,1,0,0.55,0.755264979746435
1e-05,4,2.4,2.7e-06,4,3,1,0,0.6,0.771104420513763
1e-05,4,2.4,2.7e-06,4,3,1,0,0.65,0.784795116522096
1e-05,4,2.4,2.7e-06,4,3,1,0,0.7,0.796944208481703
1e-05,4,2.4,2.7e-06,4,3,1,0,0.75,0.807984490601761
1e-05,4,2.4,2.7e-06,4,3,1,0,0.8,0.818209197811375
1e-05,4,2.4,2.7e-06,4,3,1,0,0.85,0.827810616431248
1e-05,4,2.4,2.7e-06,4,3,1,0,0.9,0.836911826082548
1e-05,4,2.4,2.7e-06,4,3,1,0,0.95,0.845589756249037
1e-05,4,2.4,2.7e-06,4,3,1,0,1,0.85389092150829
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0,0.0799574225604902
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.05,0.159242995999146
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.1,0.254360451077664
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.15,0.34764907575033
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.2,0.429255771727567
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.25,0.497658315131844
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.3,0.554748672427361
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.35,0.602589214915995
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.4,0.642618913516969
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.45,0.675880136417151
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.5,0.703349923685401
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.55,0.726068602878469
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.6,0.745078345455948
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.65,0.761305466840911
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.7,0.775489790386676
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.75,0.788178582578138
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.8,0.799757790979421
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.85,0.810492391439768
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.9,0.82056150721964
1e-05,4,2.4,2.7e-06,4,3,1,0.05,0.95,0.830084802972624
1e-05,4,2.4,2.7e-06,4,3,1,0.05,1,NA
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0,0.0453036696629543
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.05,0.100258770722928
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.1,0.1772378951042
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.15,0.264347812806219
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.2,0.348983767134471
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.25,0.424601646415647
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.3,0.489865398509742
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.35,0.545532244748495
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.4,0.592661813601536
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.45,0.6321940581621
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.5,0.665070728117568
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.55,0.692344989659253
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.6,0.715124301423952
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.65,0.734437354005918
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.7,0.751139489088456
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.75,0.765888360601347
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.8,0.779166107229426
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.85,0.791317341110438
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.9,0.802585351646256
1e-05,4,2.4,2.7e-06,4,3,1,0.1,0.95,NA
1e-05,4,2.4,2.7e-06,4,3,1,0.1,1,NA
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0,0.0251561139112688
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.05,0.0615863837269322
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.1,0.118540267676945
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.15,0.191950266855337
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.2,0.272066409945114
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.25,0.349964827653606
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.3,0.420869590834579
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.35,0.483278721415165
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.4,0.537176979436576
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.45,0.583052398754234
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.5,0.621645660421608
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.55,0.653921033071835
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.6,0.680973840558549
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.65,0.703878858681556
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.7,0.723572119865986
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.75,0.740804252478046
1e-05,4,2.4,2.7e-06,4,3,1,0.15,0.8,0.756147844014946
