betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0,0.818522153939139
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.05,0.870336270310182
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.1,0.903456513339443
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.15,0.925899008032148
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.2,0.941790670604243
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.25,0.953427968528609
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.3,0.962177273941283
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.35,0.968897367889168
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.4,0.974151767441531
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.45,0.978322796252282
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.5,0.981676915612436
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.55,0.984404180686663
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.6,0.986642992641893
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.65,0.988496077555313
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.7,0.990041008937826
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.75,0.991337273437357
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.8,0.992431121863318
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.85,0.993358930563612
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.9,0.994149615015664
1e-05,4,2.4,8.8e-07,4,2.4,80,0,0.95,0.99482636616605
1e-05,4,2.4,8.8e-07,4,2.4,80,0,1,0.995407930449395
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0,0.784491651909338
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.05,0.849207194176061
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.1,0.88942708029372
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.15,0.916094835308071
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.2,0.934667247555613
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.25,0.948093522610391
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.3,0.958084907631548
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.35,0.965695014591115
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.4,0.971603925456535
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.45,0.976267037763236
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.5,0.97999827023765
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.55,0.983019388611177
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.6,0.985490495980881
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.65,0.987529508452173
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.7,0.989224856058373
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.75,0.990643941537738
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.8,0.991838890079085
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.85,0.99285051405396
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.9,0.993711126589656
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,0.95,0.994446552313504
1e-05,4,2.4,8.8e-07,4,2.4,80,0.05,1,NA
1e-05,4,2.4,8.8e-07,4,2.4,80,0.1,0,0.741444843230506
1e-05,4,2.4,8.8e-07,4,2.4,80,0.1,0.05,0.823306279215264
1e-05,4,2.4,8.8e-07,4,2.4,80,0.1,0.1,0.872651781553111
