betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0,0.728296736215948
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.05,0.798790263600223
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.1,0.845693451668737
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.15,0.878526414786436
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.2,0.902495325336738
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.25,0.920582999047985
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.3,0.934586069546233
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.35,0.945641445559218
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.4,0.954502594166344
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.45,0.961689735832512
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.5,0.9675748140363
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.55,0.972431556756697
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.6,0.97646611007953
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.65,0.979836652569788
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.7,0.982666388944593
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.75,0.98505248731955
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.8,0.987072383601803
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.85,0.988788358274038
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.9,0.990250887107125
1e-05,4,2.4,8.8e-07,6.1,3,40,0,0.95,0.991501161304006
1e-05,4,2.4,8.8e-07,6.1,3,40,0,1,0.992572997186345
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0,0.689249262406823
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.05,0.773762311781242
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.1,0.828745971117864
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.15,0.866486253078061
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.2,0.893601841961153
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.25,0.913810604368248
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.3,0.929306655842154
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.35,0.941451261011498
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.4,0.951130264136299
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.45,0.958945588899021
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.5,0.965321875746242
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.55,0.97056820592259
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.6,0.974915308643795
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.65,0.978538986521912
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.7,0.981575385116231
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.75,0.984131361918748
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.8,0.986291736995878
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.85,0.988124480244977
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.9,0.989684520639871
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,0.95,0.991016558627562
1e-05,4,2.4,8.8e-07,6.1,3,40,0.05,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0,0.641748296439048
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.05,0.743980863584197
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.1,0.809014527549675
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.15,0.852724234236372
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.2,0.883585212740298
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.25,0.906269646049575
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.3,0.923479430955229
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.35,0.9368573625227
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.4,0.947452370233598
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.45,0.955965271409912
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.5,0.962883360577935
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.55,0.968557085948467
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.6,0.973245578708561
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.65,0.977144743301863
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.7,0.980405354849636
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.75,0.983145147948219
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.8,0.985457174009236
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.85,0.987415718035207
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.9,0.989080622024952
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.1,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0,0.583582890872197
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.05,0.708210989441173
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.1,0.785845351553361
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.15,0.836883099071621
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.2,0.872240693769271
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.25,0.897836840160098
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.3,0.917026420339698
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.35,0.931808083631783
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.4,0.943433266219491
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.45,0.95272331466207
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.5,0.960240528709207
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.55,0.966384099317067
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.6,0.971446108993966
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.65,0.975645501888097
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.7,0.979149660359634
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.75,0.982088559116422
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.8,0.98456444519762
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.85,0.986658629357094
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.15,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0,0.512178700166984
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.05,0.664861487157726
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.1,0.758393364577812
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.15,0.81850858097976
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.2,0.859313134762369
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.25,0.888361628079247
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.3,0.909854220267749
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.35,0.926242671777407
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.4,0.939031702872631
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.45,0.949190633312924
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.5,0.957372222768345
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.55,0.964033462393867
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.6,0.969504874570838
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.65,0.974031959523952
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.7,0.977801005078112
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.75,0.980955804317573
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.8,0.983608911787019
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.2,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0,0.424945869946437
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.05,0.611921730583682
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.1,0.725562855252917
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.15,0.797018857037227
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.2,0.844481923568879
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.25,0.877658567895618
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.3,0.901850099613318
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.35,0.920089186233104
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.4,0.934199637716435
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.45,0.945333832729587
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.5,0.954254449126511
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.55,0.96148744093618
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.6,0.967408478308101
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.65,0.972293809286676
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.7,0.976351342548512
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.75,0.979740527016576
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.25,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0,0.320178560166299
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.05,0.546964077009807
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.1,0.685936358255711
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.15,0.771663760124752
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.2,0.827340863622402
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.25,0.865497398656895
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.3,0.892876908805071
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.35,0.913261784042605
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.4,0.928880738999112
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.45,0.941114384839474
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.5,0.950859872007869
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.55,0.958726038487513
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.6,0.965141943252481
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.65,0.970419607852395
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.7,0.974791792190467
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.3,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0,0.198730710750596
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.05,0.467334720949077
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.1,0.637702450498463
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.15,0.74147149749886
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.2,0.807371417902385
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.25,0.851589886600529
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.3,0.882766404114858
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.35,0.905657202459701
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.4,0.923008529045243
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.45,0.936487548963964
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.5,0.947157176538752
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.55,0.955726629810889
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.6,0.962688474721944
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.65,0.968396612120559
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.35,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0,0.0660361969633204
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.05,0.370760403747623
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.1,0.578617692464769
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.15,0.705182513427372
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.2,0.783906967847392
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.25,0.835572238649007
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.3,0.871310419943196
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.35,0.897150292448789
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.4,0.916503971620352
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.45,0.93140102515148
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.5,0.943110324204122
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.55,0.95246349071641
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.6,0.960029159452114
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.4,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0,-0.101192183799922
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.05,0.256658117342455
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.1,0.506089142108102
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.15,0.661175348787635
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.2,0.756085507959803
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.25,0.816981616237787
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.3,0.858249380406929
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.35,0.887588122193826
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.4,0.909272331715868
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.45,0.925793285712311
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.5,0.938677590885161
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.55,0.948907231550992
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.45,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0,-0.284540331557938
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.05,0.128132790840217
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.1,0.417553782672973
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.15,0.607405949815135
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.2,0.72278932249903
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.25,0.795224894603809
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.3,0.843256907725109
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.35,0.876782200018639
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.4,0.901199207187063
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.45,0.919591430659368
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.5,0.933810356474328
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.55,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.5,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0,-0.438655225536098
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.05,-0.0141218158483027
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.1,0.311432591626123
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.15,0.541419012839299
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.2,0.682573205217485
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.25,0.769536987199678
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.3,0.825919244552162
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.35,0.864498341708964
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.4,0.892145326899825
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.45,0.912708417647438
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.5,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.55,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.55,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0,-0.560621357197376
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.05,-0.202987015789255
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.1,0.188862763960565
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.15,0.46056120228874
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.2,0.633593173853242
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.25,0.738926562605386
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.3,0.805707910896303
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.35,0.850443214553596
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.4,0.881939731694346
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.45,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.5,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.55,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.6,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0,-0.654167553145527
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.05,-0.371524699301995
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.1,0.0556855439856467
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.15,0.362631910923787
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.2,0.573573695801176
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.25,0.702108995977165
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.3,0.781943162835376
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.35,0.834246355533481
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.4,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.45,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.5,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.55,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.65,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0,-0.725287549599841
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.05,-0.50816296939578
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.1,-0.116038968247824
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.15,0.247254645427504
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.2,0.499905314680794
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.25,0.657432186685293
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.3,0.753745711902622
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.35,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.4,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.45,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.5,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.55,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.7,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0,-0.779630549799502
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.05,-0.614136668355004
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.1,-0.297467901719286
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.15,0.117899907549941
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.2,0.410057306580725
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.25,0.602818661082231
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.3,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.35,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.4,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.45,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.5,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.55,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.6,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.65,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.7,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.75,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.8,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.85,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.9,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,0.95,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.75,1,NA
1e-05,4,2.4,8.8e-07,6.1,3,40,0.8,0,-0.82166448322964
1e-05,4,2.4,8.8e-07,6.1,3,40,0.8,0.05,-0.694853192683348
1e-05,4,2.4,8.8e-07,6.1,3,40,0.8,0.1,-0.449111870214971
