betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3.6,1e-05,4,3,20,0,0,0.616858516829539
1e-05,4,3.6,1e-05,4,3,20,0,0.05,0.720363268775006
1e-05,4,3.6,1e-05,4,3,20,0,0.1,0.785241012150307
1e-05,4,3.6,1e-05,4,3,20,0,0.15,0.828805129104636
1e-05,4,3.6,1e-05,4,3,20,0,0.2,0.859897515428977
1e-05,4,3.6,1e-05,4,3,20,0,0.25,0.883175766725447
1e-05,4,3.6,1e-05,4,3,20,0,0.3,0.901216404081532
1e-05,4,3.6,1e-05,4,3,20,0,0.35,0.915544421305039
1e-05,4,3.6,1e-05,4,3,20,0,0.4,0.927134245889924
1e-05,4,3.6,1e-05,4,3,20,0,0.45,0.936650886094232
1e-05,4,3.6,1e-05,4,3,20,0,0.5,0.944565321295728
1e-05,4,3.6,1e-05,4,3,20,0,0.55,0.951217064829949
1e-05,4,3.6,1e-05,4,3,20,0,0.6,0.956855034326784
1e-05,4,3.6,1e-05,4,3,20,0,0.65,0.96166587925091
1e-05,4,3.6,1e-05,4,3,20,0,0.7,0.965793197713206
1e-05,4,3.6,1e-05,4,3,20,0,0.75,0.969350136407525
1e-05,4,3.6,1e-05,4,3,20,0,0.8,0.972427594583352
1e-05,4,3.6,1e-05,4,3,20,0,0.85,0.975099676580119
1e-05,4,3.6,1e-05,4,3,20,0,0.9,0.977427447068356
1e-05,4,3.6,1e-05,4,3,20,0,0.95,0.979461608364778
1e-05,4,3.6,1e-05,4,3,20,0,1,0.981244495529589
1e-05,4,3.6,1e-05,4,3,20,0.05,0,0.191583774377665
1e-05,4,3.6,1e-05,4,3,20,0.05,0.05,0.357767342356711
1e-05,4,3.6,1e-05,4,3,20,0.05,0.1,0.498105108940346
1e-05,4,3.6,1e-05,4,3,20,0.05,0.15,0.605353125611664
1e-05,4,3.6,1e-05,4,3,20,0.05,0.2,0.684612681873111
1e-05,4,3.6,1e-05,4,3,20,0.05,0.25,0.743172940126767
1e-05,4,3.6,1e-05,4,3,20,0.05,0.3,0.787069380546335
1e-05,4,3.6,1e-05,4,3,20,0.05,0.35,0.820673454408971
1e-05,4,3.6,1e-05,4,3,20,0.05,0.4,0.847001675242879
1e-05,4,3.6,1e-05,4,3,20,0.05,0.45,0.868090543471866
1e-05,4,3.6,1e-05,4,3,20,0.05,0.5,0.885308327716141
1e-05,4,3.6,1e-05,4,3,20,0.05,0.55,0.899584768688988
1e-05,4,3.6,1e-05,4,3,20,0.05,0.6,0.91156691695999
1e-05,4,3.6,1e-05,4,3,20,0.05,0.65,0.921719167110507
1e-05,4,3.6,1e-05,4,3,20,0.05,0.7,0.930385575300152
1e-05,4,3.6,1e-05,4,3,20,0.05,0.75,0.937828625708364
1e-05,4,3.6,1e-05,4,3,20,0.05,0.8,0.944253539876692
1e-05,4,3.6,1e-05,4,3,20,0.05,0.85,0.949823953951974
1e-05,4,3.6,1e-05,4,3,20,0.05,0.9,0.954672341452373
1e-05,4,3.6,1e-05,4,3,20,0.05,0.95,0.958907185755914
1e-05,4,3.6,1e-05,4,3,20,0.05,1,NA
1e-05,4,3.6,1e-05,4,3,20,0.1,0,-0.112354230610495
1e-05,4,3.6,1e-05,4,3,20,0.1,0.05,0.0739581978766791
1e-05,4,3.6,1e-05,4,3,20,0.1,0.1,0.189565153526024
1e-05,4,3.6,1e-05,4,3,20,0.1,0.15,0.307746292194032
1e-05,4,3.6,1e-05,4,3,20,0.1,0.2,0.417219271048621
1e-05,4,3.6,1e-05,4,3,20,0.1,0.25,0.51177809322589
1e-05,4,3.6,1e-05,4,3,20,0.1,0.3,0.590129165242611
1e-05,4,3.6,1e-05,4,3,20,0.1,0.35,0.653801058113687
1e-05,4,3.6,1e-05,4,3,20,0.1,0.4,0.705300592190262
1e-05,4,3.6,1e-05,4,3,20,0.1,0.45,0.747114149174112
1e-05,4,3.6,1e-05,4,3,20,0.1,0.5,0.781336364602092
1e-05,4,3.6,1e-05,4,3,20,0.1,0.55,0.809612831880145
1e-05,4,3.6,1e-05,4,3,20,0.1,0.6,0.833199652423422
1e-05,4,3.6,1e-05,4,3,20,0.1,0.65,0.853048612345773
1e-05,4,3.6,1e-05,4,3,20,0.1,0.7,0.869883735808357
1e-05,4,3.6,1e-05,4,3,20,0.1,0.75,0.884261301673565
1e-05,4,3.6,1e-05,4,3,20,0.1,0.8,0.896614078748443
1e-05,4,3.6,1e-05,4,3,20,0.1,0.85,0.90728315649334
1e-05,4,3.6,1e-05,4,3,20,0.1,0.9,0.916540686961778
1e-05,4,3.6,1e-05,4,3,20,0.1,0.95,NA
1e-05,4,3.6,1e-05,4,3,20,0.1,1,NA
1e-05,4,3.6,1e-05,4,3,20,0.15,0,-0.440902795219181
1e-05,4,3.6,1e-05,4,3,20,0.15,0.05,-0.215484891480447
1e-05,4,3.6,1e-05,4,3,20,0.15,0.1,-0.00202016655337874
1e-05,4,3.6,1e-05,4,3,20,0.15,0.15,0.0977662950648763
1e-05,4,3.6,1e-05,4,3,20,0.15,0.2,0.186591046401026
1e-05,4,3.6,1e-05,4,3,20,0.15,0.25,0.277145806268245
1e-05,4,3.6,1e-05,4,3,20,0.15,0.3,0.364322077136648
1e-05,4,3.6,1e-05,4,3,20,0.15,0.35,0.444513429889744
1e-05,4,3.6,1e-05,4,3,20,0.15,0.4,0.515895836290471
1e-05,4,3.6,1e-05,4,3,20,0.15,0.45,0.578083682159912
1e-05,4,3.6,1e-05,4,3,20,0.15,0.5,0.631584740742965
1e-05,4,3.6,1e-05,4,3,20,0.15,0.55,0.677332919526134
1e-05,4,3.6,1e-05,4,3,20,0.15,0.6,0.716383498624271
1e-05,4,3.6,1e-05,4,3,20,0.15,0.65,0.749749742710282
1e-05,4,3.6,1e-05,4,3,20,0.15,0.7,0.77833210071285
1e-05,4,3.6,1e-05,4,3,20,0.15,0.75,0.802899184607465
1e-05,4,3.6,1e-05,4,3,20,0.15,0.8,0.82409344677033
1e-05,4,3.6,1e-05,4,3,20,0.15,0.85,0.842446420809183
1e-05,4,3.6,1e-05,4,3,20,0.15,0.9,NA
1e-05,4,3.6,1e-05,4,3,20,0.15,0.95,NA
1e-05,4,3.6,1e-05,4,3,20,0.15,1,NA
1e-05,4,3.6,1e-05,4,3,20,0.2,0,-0.595893819862945
1e-05,4,3.6,1e-05,4,3,20,0.2,0.05,-0.45468303083721
1e-05,4,3.6,1e-05,4,3,20,0.2,0.1,-0.278577511940916
1e-05,4,3.6,1e-05,4,3,20,0.2,0.15,-0.0908596197092648
1e-05,4,3.6,1e-05,4,3,20,0.2,0.2,0.0445860094325836
1e-05,4,3.6,1e-05,4,3,20,0.2,0.25,0.112476605457305
1e-05,4,3.6,1e-05,4,3,20,0.2,0.3,0.184556042889944
1e-05,4,3.6,1e-05,4,3,20,0.2,0.35,0.257997446603745
1e-05,4,3.6,1e-05,4,3,20,0.2,0.4,0.330099258115678
1e-05,4,3.6,1e-05,4,3,20,0.2,0.45,0.398686701455003
1e-05,4,3.6,1e-05,4,3,20,0.2,0.5,0.462298612614461
1e-05,4,3.6,1e-05,4,3,20,0.2,0.55,0.520170027532521
1e-05,4,3.6,1e-05,4,3,20,0.2,0.6,0.572092703583546
1e-05,4,3.6,1e-05,4,3,20,0.2,0.65,0.618238976533113
1e-05,4,3.6,1e-05,4,3,20,0.2,0.7,0.659004735425203
1e-05,4,3.6,1e-05,4,3,20,0.2,0.75,0.694891902329241
1e-05,4,3.6,1e-05,4,3,20,0.2,0.8,0.726431450676004
1e-05,4,3.6,1e-05,4,3,20,0.2,0.85,NA
1e-05,4,3.6,1e-05,4,3,20,0.2,0.9,NA
1e-05,4,3.6,1e-05,4,3,20,0.2,0.95,NA
1e-05,4,3.6,1e-05,4,3,20,0.2,1,NA
1e-05,4,3.6,1e-05,4,3,20,0.25,0,-0.681742437262301
1e-05,4,3.6,1e-05,4,3,20,0.25,0.05,-0.584105220402907
1e-05,4,3.6,1e-05,4,3,20,0.25,0.1,-0.463944095140399
1e-05,4,3.6,1e-05,4,3,20,0.25,0.15,-0.319316715880204
1e-05,4,3.6,1e-05,4,3,20,0.25,0.2,-0.157639533479757
1e-05,4,3.6,1e-05,4,3,20,0.25,0.25,-0.0192617855033016
1e-05,4,3.6,1e-05,4,3,20,0.25,0.3,0.0650831509382735
1e-05,4,3.6,1e-05,4,3,20,0.25,0.35,0.123237878983375
1e-05,4,3.6,1e-05,4,3,20,0.25,0.4,0.184140858829362
1e-05,4,3.6,1e-05,4,3,20,0.25,0.45,0.24614328835707
1e-05,4,3.6,1e-05,4,3,20,0.25,0.5,0.307639052165631
1e-05,4,3.6,1e-05,4,3,20,0.25,0.55,0.36723648381998
1e-05,4,3.6,1e-05,4,3,20,0.25,0.6,0.42386302083245
1e-05,4,3.6,1e-05,4,3,20,0.25,0.65,0.476795738078347
1e-05,4,3.6,1e-05,4,3,20,0.25,0.7,0.525634213082373
1e-05,4,3.6,1e-05,4,3,20,0.25,0.75,0.570240984963942
1e-05,4,3.6,1e-05,4,3,20,0.25,0.8,NA
1e-05,4,3.6,1e-05,4,3,20,0.25,0.85,NA
1e-05,4,3.6,1e-05,4,3,20,0.25,0.9,NA
