betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0,0.727153243706885
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.05,0.808266247409495
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.1,0.857020594291021
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.15,0.888971881767833
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.2,0.911259152404946
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.25,0.927523244426989
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.3,0.939795804219006
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.35,0.94929949284351
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.4,0.956813908406438
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.45,0.96285683654021
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.5,0.967783593665946
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.55,0.971845530607629
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.6,0.975225630066957
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.65,0.978060499895975
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.7,0.980454300285567
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.75,0.982487827882514
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.8,0.984224622552301
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.85,0.985715222792734
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.9,0.987000197008294
1e-05,4,3.6,1e-05,6.1,2.4,40,0,0.95,0.98811236333859
1e-05,4,3.6,1e-05,6.1,2.4,40,0,1,0.98907845630294
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0,0.369072059394774
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.05,0.552499153730399
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.1,0.672903183309529
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.15,0.752354371220588
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.2,0.806561462201129
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.25,0.844975788285771
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.3,0.87317290722823
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.35,0.894508534532539
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.4,0.911064893003132
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.45,0.92417888948462
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.5,0.934739928957177
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.55,0.943360431073473
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.6,0.950475630724678
1e-05,4,3.6,1e-05,6.1,2.4,40,0.05,0.65,0.956403498189621
