betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0,0.618021733333092
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.05,0.709717669169863
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.1,0.772288378271789
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.15,0.816716407342971
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.2,0.849544395655862
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.25,0.874667495782449
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.3,0.89446643399733
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.35,0.910439575162326
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.4,0.923559409153939
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.45,0.934479404267436
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.5,0.943655762806605
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.55,0.951419734954066
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.6,0.958021048304239
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.65,0.963654084218815
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.7,0.968474158217734
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.75,0.972607817791909
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.8,0.976159571218133
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.85,0.97921657684897
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.9,0.981851966419953
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,0.95,0.984127387379728
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0,1,0.98609495653434
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0,0.579927611878415
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.05,0.685073880724519
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.1,0.755759876970399
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.15,0.805135155402914
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.2,0.841097426307769
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.25,0.868291600471569
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.3,0.889516858939346
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.35,0.906512182969408
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.4,0.920391896124381
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.45,0.931894688711322
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.5,0.941529243337159
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.55,0.949660238472934
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.6,0.956559462401899
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.65,0.962436548087337
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.7,0.96745780046762
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.75,0.971757977423907
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.8,0.975447973435435
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.85,0.97861999515961
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.9,0.981351246343303
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,0.95,0.983706689618014
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.05,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0,0.535506254821142
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.05,0.656634361070163
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.1,0.73702222734444
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.15,0.792224679025312
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.2,0.831814432442768
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.25,0.861366772955736
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.3,0.884191691231932
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.35,0.902317672213531
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.4,0.917027756759945
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.45,0.929161067428148
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.5,0.939287519939959
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.55,0.947810227701127
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.6,0.955026003320332
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.65,0.961161562453015
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.7,0.966395320872155
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.75,0.970871029040498
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.8,0.974706482450295
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.85,0.977999309062332
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.9,0.980831083123873
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.1,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0,0.483704197941148
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.05,0.623590890972448
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.1,0.715630038544792
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.15,0.777746787325126
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.2,0.821563219055136
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.25,0.853816356050492
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.3,0.878444877959209
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.35,0.897827368845862
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.4,0.913448401297127
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.45,0.9262660381755
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.5,0.936921854063583
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.55,0.945863366917049
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.6,0.953415987063698
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.65,0.959825572663065
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.7,0.965284002178573
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.75,0.969944880895005
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.8,0.973933469183778
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.85,0.977353262616044
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.15,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0,0.423647094948143
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.05,0.584967579025677
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.1,0.69102431936255
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.15,0.76140593919609
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.2,0.810183275752217
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.25,0.845549028688225
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.3,0.872222259283294
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.35,0.893007939224913
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.4,0.90963260441038
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.45,0.923195514291183
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.5,0.934422490925472
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.55,0.943812702485595
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.6,0.951724294964218
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.65,0.958424745029028
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.7,0.964120934284366
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.75,0.968977284093906
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.8,0.973127206857318
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.2,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0,0.355091122787553
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.05,0.539635929601884
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.1,0.662503423217808
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.15,0.742832515745114
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.2,0.797478007799387
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.25,0.836455114780655
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.3,0.865459789594164
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.35,0.887820593954319
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.4,0.905555967632867
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.45,0.919933498515848
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.5,0.931778559102691
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.55,0.941650567044738
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.6,0.949945335809436
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.65,0.956954933459862
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.7,0.962902969698226
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.75,0.967965839523623
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.8,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.25,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0,0.279110889887215
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.05,0.486410504034148
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.1,0.629192045378432
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.15,0.721560426697782
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.2,0.783204076247294
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.25,0.826401968539154
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.3,0.858081471838226
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.35,0.88221988890601
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.4,0.90119025274988
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.45,0.916461817248099
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.5,0.9289778595596
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.55,0.939368429417442
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.6,0.948072987850939
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.65,0.955411613625029
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.7,0.961626719675653
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.75,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.8,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.3,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0,0.198708432346797
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.05,0.424318185948582
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.1,0.590018804511649
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.15,0.696999004439408
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.2,0.767057632427168
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.25,0.815227751069228
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.3,0.849996378378343
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.35,0.876152312564523
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.4,0.89650275600344
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.45,0.91275966930433
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.5,0.926006598408153
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.55,0.936956822816687
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.6,0.946100522536728
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.65,0.953789859091624
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.7,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.75,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.8,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.35,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0,0.118674184227401
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.05,0.35314318266535
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.1,0.543729863176014
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.15,0.66839823644514
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.2,0.748655351146057
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.25,0.802732872558545
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.3,0.841095007081785
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.35,0.86955463166375
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.4,0.89145532084795
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.45,0.908803098704542
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.5,0.922849184815768
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.55,0.934405165909866
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.6,0.944020477082916
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.65,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.7,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.75,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.8,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.4,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0,0.0443211714400943
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.05,0.274208594246246
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.1,0.489003673824021
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.15,0.634810843606733
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.2,0.727509848209251
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.25,0.788668967651734
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.3,0.831244314696486
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.35,0.8623514892432
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.4,0.886003221311658
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.45,0.904564497201768
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.5,0.919487850872241
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.55,0.931701546854126
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.6,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.65,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.7,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.75,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.8,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.9,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,0.95,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.45,1,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0,-0.0810658081522362
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.05,0.190979085977012
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.1,0.424774158837137
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.15,0.595062989902609
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.2,0.702997150008781
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.25,0.772723443749375
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.3,0.820280949577887
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.35,0.854452542780106
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.4,0.880093840144941
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.45,0.900011797641994
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.5,0.915902242308032
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.55,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.6,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.65,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.7,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.75,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.8,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.85,NA
1e-05,4,3.6,8.8e-07,6.1,3.6,20,0.5,0.9,NA
