betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,1e-05,2.6,2.4,20,0,0,0.616155429512085
1e-05,4,3,1e-05,2.6,2.4,20,0,0.05,0.71957128963311
1e-05,4,3,1e-05,2.6,2.4,20,0,0.1,0.784379285579984
1e-05,4,3,1e-05,2.6,2.4,20,0,0.15,0.827972659033963
1e-05,4,3,1e-05,2.6,2.4,20,0,0.2,0.859053994223115
1e-05,4,3,1e-05,2.6,2.4,20,0,0.25,0.882329285206587
1e-05,4,3,1e-05,2.6,2.4,20,0,0.3,0.900434329328821
1e-05,4,3,1e-05,2.6,2.4,20,0,0.35,0.914895904568496
1e-05,4,3,1e-05,2.6,2.4,20,0,0.4,0.926651875450573
1e-05,4,3,1e-05,2.6,2.4,20,0,0.45,0.936325147619804
1e-05,4,3,1e-05,2.6,2.4,20,0,0.5,0.944362410615371
1e-05,4,3,1e-05,2.6,2.4,20,0,0.55,0.951099438858499
1e-05,4,3,1e-05,2.6,2.4,20,0,0.6,0.956792686553788
1e-05,4,3,1e-05,2.6,2.4,20,0,0.65,0.961638845065492
1e-05,4,3,1e-05,2.6,2.4,20,0,0.7,0.965789749871599
1e-05,4,3,1e-05,2.6,2.4,20,0,0.75,0.969364035591979
1e-05,4,3,1e-05,2.6,2.4,20,0,0.8,0.972455838630862
1e-05,4,3,1e-05,2.6,2.4,20,0,0.85,0.975141020565506
1e-05,4,3,1e-05,2.6,2.4,20,0,0.9,0.977481533199626
1e-05,4,3,1e-05,2.6,2.4,20,0,0.95,0.97952851458504
1e-05,4,3,1e-05,2.6,2.4,20,0,1,0.981324526673651
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0,0.0804180151035618
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0.05,0.224490573059202
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0.1,0.366632386712034
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0.15,0.489646099774492
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0.2,0.588379488571948
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0.25,0.664962645778381
1e-05,4,3,1e-05,2.6,2.4,20,0.05,0.3,0.723776457759598
