betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,1e-05,4,3.6,80,0,0,0.823820642142191
1e-05,4,3,1e-05,4,3.6,80,0,0.05,0.878333537580441
1e-05,4,3,1e-05,4,3.6,80,0,0.1,0.91095603393378
1e-05,4,3,1e-05,4,3.6,80,0,0.15,0.932069556843804
1e-05,4,3,1e-05,4,3.6,80,0,0.2,0.946539141945084
1e-05,4,3,1e-05,4,3.6,80,0,0.25,0.956910726645594
1e-05,4,3,1e-05,4,3.6,80,0,0.3,0.964613654460158
1e-05,4,3,1e-05,4,3.6,80,0,0.35,0.970495470276395
1e-05,4,3,1e-05,4,3.6,80,0,0.4,0.975085160281018
1e-05,4,3,1e-05,4,3.6,80,0,0.45,0.978728893307559
1e-05,4,3,1e-05,4,3.6,80,0,0.5,0.981662613247606
1e-05,4,3,1e-05,4,3.6,80,0,0.55,0.984052574380597
1e-05,4,3,1e-05,4,3.6,80,0,0.6,0.986019093288573
1e-05,4,3,1e-05,4,3.6,80,0,0.65,0.987651131461576
1e-05,4,3,1e-05,4,3.6,80,0,0.7,0.989015643700988
1e-05,4,3,1e-05,4,3.6,80,0,0.75,0.990163784192262
1e-05,4,3,1e-05,4,3.6,80,0,0.8,0.991135178164783
1e-05,4,3,1e-05,4,3.6,80,0,0.85,0.991960921069312
1e-05,4,3,1e-05,4,3.6,80,0,0.9,0.992665729202497
1e-05,4,3,1e-05,4,3.6,80,0,0.95,0.993269503457081
1e-05,4,3,1e-05,4,3.6,80,0,1,0.993788464831406
1e-05,4,3,1e-05,4,3.6,80,0.05,0,0.746506156044722
1e-05,4,3,1e-05,4,3.6,80,0.05,0.05,0.829983274716869
1e-05,4,3,1e-05,4,3.6,80,0.05,0.1,0.878253989527474
1e-05,4,3,1e-05,4,3.6,80,0.05,0.15,0.908624432666285
1e-05,4,3,1e-05,4,3.6,80,0.05,0.2,0.928983950144729
1e-05,4,3,1e-05,4,3.6,80,0.05,0.25,0.943330457809984
1e-05,4,3,1e-05,4,3.6,80,0.05,0.3,0.953843455157542
1e-05,4,3,1e-05,4,3.6,80,0.05,0.35,0.961784814771883
1e-05,4,3,1e-05,4,3.6,80,0.05,0.4,0.967927093341207
1e-05,4,3,1e-05,4,3.6,80,0.05,0.45,0.97276772633183
1e-05,4,3,1e-05,4,3.6,80,0.05,0.5,0.976641046780035
1e-05,4,3,1e-05,4,3.6,80,0.05,0.55,0.979779791045318
1e-05,4,3,1e-05,4,3.6,80,0.05,0.6,0.982350614160625
1e-05,4,3,1e-05,4,3.6,80,0.05,0.65,0.984475623532973
1e-05,4,3,1e-05,4,3.6,80,0.05,0.7,0.986246004612807
1e-05,4,3,1e-05,4,3.6,80,0.05,0.75,0.987730966789028
1e-05,4,3,1e-05,4,3.6,80,0.05,0.8,0.988983822349634
1e-05,4,3,1e-05,4,3.6,80,0.05,0.85,0.990046206316348
1e-05,4,3,1e-05,4,3.6,80,0.05,0.9,0.990951075969217
1e-05,4,3,1e-05,4,3.6,80,0.05,0.95,0.991724865326227
1e-05,4,3,1e-05,4,3.6,80,0.05,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.1,0,0.639607261031311
1e-05,4,3,1e-05,4,3.6,80,0.1,0.05,0.764425710947494
1e-05,4,3,1e-05,4,3.6,80,0.1,0.1,0.834803473682242
1e-05,4,3,1e-05,4,3.6,80,0.1,0.15,0.878023582813144
1e-05,4,3,1e-05,4,3.6,80,0.1,0.2,0.906411268590947
1e-05,4,3,1e-05,4,3.6,80,0.1,0.25,0.926084074588843
1e-05,4,3,1e-05,4,3.6,80,0.1,0.3,0.940305511565354
1e-05,4,3,1e-05,4,3.6,80,0.1,0.35,0.950929206393359
1e-05,4,3,1e-05,4,3.6,80,0.1,0.4,0.95907101613051
1e-05,4,3,1e-05,4,3.6,80,0.1,0.45,0.965438598354524
1e-05,4,3,1e-05,4,3.6,80,0.1,0.5,0.970501088058132
1e-05,4,3,1e-05,4,3.6,80,0.1,0.55,0.974581088133518
1e-05,4,3,1e-05,4,3.6,80,0.1,0.6,0.977907129033524
1e-05,4,3,1e-05,4,3.6,80,0.1,0.65,0.980645100199692
1e-05,4,3,1e-05,4,3.6,80,0.1,0.7,0.982917888413088
1e-05,4,3,1e-05,4,3.6,80,0.1,0.75,0.984818134846826
1e-05,4,3,1e-05,4,3.6,80,0.1,0.8,0.98641678914221
1e-05,4,3,1e-05,4,3.6,80,0.1,0.85,0.987768987151763
1e-05,4,3,1e-05,4,3.6,80,0.1,0.9,0.988918188025004
1e-05,4,3,1e-05,4,3.6,80,0.1,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.1,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.15,0,0.496920500651155
1e-05,4,3,1e-05,4,3.6,80,0.15,0.05,0.677370225779298
1e-05,4,3,1e-05,4,3.6,80,0.15,0.1,0.77786656694981
1e-05,4,3,1e-05,4,3.6,80,0.15,0.15,0.838497715822169
1e-05,4,3,1e-05,4,3.6,80,0.15,0.2,0.877639450276349
1e-05,4,3,1e-05,4,3.6,80,0.15,0.25,0.904353443799241
1e-05,4,3,1e-05,4,3.6,80,0.15,0.3,0.92341401349571
1e-05,4,3,1e-05,4,3.6,80,0.15,0.35,0.937496600956352
1e-05,4,3,1e-05,4,3.6,80,0.15,0.4,0.948190113542363
1e-05,4,3,1e-05,4,3.6,80,0.15,0.45,0.95648889336386
1e-05,4,3,1e-05,4,3.6,80,0.15,0.5,0.963043854699478
1e-05,4,3,1e-05,4,3.6,80,0.15,0.55,0.968297397117677
1e-05,4,3,1e-05,4,3.6,80,0.15,0.6,0.972559657538955
1e-05,4,3,1e-05,4,3.6,80,0.15,0.65,0.976053706436754
1e-05,4,3,1e-05,4,3.6,80,0.15,0.7,0.978943477449289
1e-05,4,3,1e-05,4,3.6,80,0.15,0.75,0.981351722360882
1e-05,4,3,1e-05,4,3.6,80,0.15,0.8,0.983371901268337
1e-05,4,3,1e-05,4,3.6,80,0.15,0.85,0.985076285074855
1e-05,4,3,1e-05,4,3.6,80,0.15,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.15,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.15,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.2,0,0.31463673528063
1e-05,4,3,1e-05,4,3.6,80,0.2,0.05,0.564821605727152
1e-05,4,3,1e-05,4,3.6,80,0.2,0.1,0.704584331337471
1e-05,4,3,1e-05,4,3.6,80,0.2,0.15,0.788114174574018
1e-05,4,3,1e-05,4,3.6,80,0.2,0.2,0.84135224619266
1e-05,4,3,1e-05,4,3.6,80,0.2,0.25,0.877219729187077
1e-05,4,3,1e-05,4,3.6,80,0.2,0.3,0.902509304566353
1e-05,4,3,1e-05,4,3.6,80,0.2,0.35,0.921000573769623
1e-05,4,3,1e-05,4,3.6,80,0.2,0.4,0.934917015751857
1e-05,4,3,1e-05,4,3.6,80,0.2,0.45,0.945635302529854
1e-05,4,3,1e-05,4,3.6,80,0.2,0.5,0.95404686605134
1e-05,4,3,1e-05,4,3.6,80,0.2,0.55,0.960751231407955
1e-05,4,3,1e-05,4,3.6,80,0.2,0.6,0.966164647340946
1e-05,4,3,1e-05,4,3.6,80,0.2,0.65,0.970583912335465
1e-05,4,3,1e-05,4,3.6,80,0.2,0.7,0.974225493425889
1e-05,4,3,1e-05,4,3.6,80,0.2,0.75,0.977250412793867
1e-05,4,3,1e-05,4,3.6,80,0.2,0.8,0.979780572630325
1e-05,4,3,1e-05,4,3.6,80,0.2,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.2,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.2,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.2,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.25,0,0.101670476461008
1e-05,4,3,1e-05,4,3.6,80,0.25,0.05,0.423860609647259
1e-05,4,3,1e-05,4,3.6,80,0.25,0.1,0.612267685528727
1e-05,4,3,1e-05,4,3.6,80,0.25,0.15,0.724887754520169
1e-05,4,3,1e-05,4,3.6,80,0.25,0.2,0.796142958277631
1e-05,4,3,1e-05,4,3.6,80,0.25,0.25,0.843681632044924
1e-05,4,3,1e-05,4,3.6,80,0.25,0.3,0.876865525924048
1e-05,4,3,1e-05,4,3.6,80,0.25,0.35,0.90090349645401
1e-05,4,3,1e-05,4,3.6,80,0.25,0.4,0.91884499976968
1e-05,4,3,1e-05,4,3.6,80,0.25,0.45,0.932564129530114
1e-05,4,3,1e-05,4,3.6,80,0.25,0.5,0.943263962324897
1e-05,4,3,1e-05,4,3.6,80,0.25,0.55,0.951746453624993
1e-05,4,3,1e-05,4,3.6,80,0.25,0.6,0.958563686196526
1e-05,4,3,1e-05,4,3.6,80,0.25,0.65,0.964106218492755
1e-05,4,3,1e-05,4,3.6,80,0.25,0.7,0.968656916219347
1e-05,4,3,1e-05,4,3.6,80,0.25,0.75,0.972424887361753
1e-05,4,3,1e-05,4,3.6,80,0.25,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.25,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.25,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.25,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.25,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.3,0,-0.040441153786606
1e-05,4,3,1e-05,4,3.6,80,0.3,0.05,0.253509809991308
1e-05,4,3,1e-05,4,3.6,80,0.3,0.1,0.498782539288038
1e-05,4,3,1e-05,4,3.6,80,0.3,0.15,0.646940737579199
1e-05,4,3,1e-05,4,3.6,80,0.3,0.2,0.740582355966699
1e-05,4,3,1e-05,4,3.6,80,0.3,0.25,0.802685401878526
1e-05,4,3,1e-05,4,3.6,80,0.3,0.3,0.845704399826721
1e-05,4,3,1e-05,4,3.6,80,0.3,0.35,0.87662296035996
1e-05,4,3,1e-05,4,3.6,80,0.3,0.4,0.899531019631018
1e-05,4,3,1e-05,4,3.6,80,0.3,0.45,0.916932685481275
1e-05,4,3,1e-05,4,3.6,80,0.3,0.5,0.930425888889894
1e-05,4,3,1e-05,4,3.6,80,0.3,0.55,0.941068461067057
1e-05,4,3,1e-05,4,3.6,80,0.3,0.6,0.949583486434995
1e-05,4,3,1e-05,4,3.6,80,0.3,0.65,0.956479049855263
1e-05,4,3,1e-05,4,3.6,80,0.3,0.7,0.962120836529061
1e-05,4,3,1e-05,4,3.6,80,0.3,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.3,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.3,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.3,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.3,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.3,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,0,-0.109924790720786
1e-05,4,3,1e-05,4,3.6,80,0.35,0.05,0.0765162348577308
1e-05,4,3,1e-05,4,3.6,80,0.35,0.1,0.362980830826027
1e-05,4,3,1e-05,4,3.6,80,0.35,0.15,0.552706063388329
1e-05,4,3,1e-05,4,3.6,80,0.35,0.2,0.673311200701842
1e-05,4,3,1e-05,4,3.6,80,0.35,0.25,0.753167780151025
1e-05,4,3,1e-05,4,3.6,80,0.35,0.3,0.808215815728484
1e-05,4,3,1e-05,4,3.6,80,0.35,0.35,0.847542012576798
1e-05,4,3,1e-05,4,3.6,80,0.35,0.4,0.876500900374303
1e-05,4,3,1e-05,4,3.6,80,0.35,0.45,0.898371957442306
1e-05,4,3,1e-05,4,3.6,80,0.35,0.5,0.915241643880059
1e-05,4,3,1e-05,4,3.6,80,0.35,0.55,0.928484812767217
1e-05,4,3,1e-05,4,3.6,80,0.35,0.6,0.93903614816278
1e-05,4,3,1e-05,4,3.6,80,0.35,0.65,0.947548816733589
1e-05,4,3,1e-05,4,3.6,80,0.35,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.35,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0,-0.181875713913753
1e-05,4,3,1e-05,4,3.6,80,0.4,0.05,-0.0414721757434772
1e-05,4,3,1e-05,4,3.6,80,0.4,0.1,0.205087905744919
1e-05,4,3,1e-05,4,3.6,80,0.4,0.15,0.441154382657061
1e-05,4,3,1e-05,4,3.6,80,0.4,0.2,0.593154200447963
1e-05,4,3,1e-05,4,3.6,80,0.4,0.25,0.694112168019161
1e-05,4,3,1e-05,4,3.6,80,0.4,0.3,0.763586008582041
1e-05,4,3,1e-05,4,3.6,80,0.4,0.35,0.81302365084912
1e-05,4,3,1e-05,4,3.6,80,0.4,0.4,0.849257009981523
1e-05,4,3,1e-05,4,3.6,80,0.4,0.45,0.876490727862426
1e-05,4,3,1e-05,4,3.6,80,0.4,0.5,0.897400767979213
1e-05,4,3,1e-05,4,3.6,80,0.4,0.55,0.913746515123276
1e-05,4,3,1e-05,4,3.6,80,0.4,0.6,0.926719868531196
1e-05,4,3,1e-05,4,3.6,80,0.4,0.65,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.4,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0,-0.253065179984123
1e-05,4,3,1e-05,4,3.6,80,0.45,0.05,-0.100890162453084
1e-05,4,3,1e-05,4,3.6,80,0.45,0.1,0.0576850083581667
1e-05,4,3,1e-05,4,3.6,80,0.45,0.15,0.312011578651694
1e-05,4,3,1e-05,4,3.6,80,0.45,0.2,0.49924754739746
1e-05,4,3,1e-05,4,3.6,80,0.45,0.25,0.624616428289063
1e-05,4,3,1e-05,4,3.6,80,0.45,0.3,0.711033161476452
1e-05,4,3,1e-05,4,3.6,80,0.45,0.35,0.772429828291332
1e-05,4,3,1e-05,4,3.6,80,0.45,0.4,0.817288621106533
1e-05,4,3,1e-05,4,3.6,80,0.45,0.45,0.850881384856111
1e-05,4,3,1e-05,4,3.6,80,0.45,0.5,0.876576569299609
1e-05,4,3,1e-05,4,3.6,80,0.45,0.55,0.896589858394261
1e-05,4,3,1e-05,4,3.6,80,0.45,0.6,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.65,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.45,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0,-0.32090000120111
1e-05,4,3,1e-05,4,3.6,80,0.5,0.05,-0.162353964167426
1e-05,4,3,1e-05,4,3.6,80,0.5,0.1,-0.0420224542247846
1e-05,4,3,1e-05,4,3.6,80,0.5,0.15,0.168552924719736
1e-05,4,3,1e-05,4,3.6,80,0.5,0.2,0.391165732520086
1e-05,4,3,1e-05,4,3.6,80,0.5,0.25,0.543968535991979
1e-05,4,3,1e-05,4,3.6,80,0.5,0.3,0.649849779660985
1e-05,4,3,1e-05,4,3.6,80,0.5,0.35,0.725145019447598
1e-05,4,3,1e-05,4,3.6,80,0.5,0.4,0.780085112229562
1e-05,4,3,1e-05,4,3.6,80,0.5,0.45,0.821127473117681
1e-05,4,3,1e-05,4,3.6,80,0.5,0.5,0.852430606460633
1e-05,4,3,1e-05,4,3.6,80,0.5,0.55,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.6,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.65,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.5,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0,-0.383688916225287
1e-05,4,3,1e-05,4,3.6,80,0.55,0.05,-0.22382621555664
1e-05,4,3,1e-05,4,3.6,80,0.55,0.1,-0.0938327045431372
1e-05,4,3,1e-05,4,3.6,80,0.55,0.15,0.0447465602923161
1e-05,4,3,1e-05,4,3.6,80,0.55,0.2,0.269028966538768
1e-05,4,3,1e-05,4,3.6,80,0.55,0.25,0.451723932061155
1e-05,4,3,1e-05,4,3.6,80,0.55,0.3,0.579449790521112
1e-05,4,3,1e-05,4,3.6,80,0.55,0.35,0.670603633168605
1e-05,4,3,1e-05,4,3.6,80,0.55,0.4,0.737152021187174
1e-05,4,3,1e-05,4,3.6,80,0.55,0.45,0.786813078396636
1e-05,4,3,1e-05,4,3.6,80,0.55,0.5,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.55,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.6,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.65,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.55,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0,-0.440609206985205
1e-05,4,3,1e-05,4,3.6,80,0.6,0.05,-0.283558106811452
1e-05,4,3,1e-05,4,3.6,80,0.6,0.1,-0.147364998394129
1e-05,4,3,1e-05,4,3.6,80,0.6,0.15,-0.0424236998115516
1e-05,4,3,1e-05,4,3.6,80,0.6,0.2,0.141077305493203
1e-05,4,3,1e-05,4,3.6,80,0.6,0.25,0.347775624208841
1e-05,4,3,1e-05,4,3.6,80,0.6,0.3,0.499417543730723
1e-05,4,3,1e-05,4,3.6,80,0.6,0.35,0.60832075574757
1e-05,4,3,1e-05,4,3.6,80,0.6,0.4,0.688029528461229
1e-05,4,3,1e-05,4,3.6,80,0.6,0.45,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.5,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.55,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.6,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.65,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.6,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0,-0.491505241699775
1e-05,4,3,1e-05,4,3.6,80,0.65,0.05,-0.340251309895205
1e-05,4,3,1e-05,4,3.6,80,0.65,0.1,-0.201276754864269
1e-05,4,3,1e-05,4,3.6,80,0.65,0.15,-0.0883613803183814
1e-05,4,3,1e-05,4,3.6,80,0.65,0.2,0.0352513967034549
1e-05,4,3,1e-05,4,3.6,80,0.65,0.25,0.232407115746702
1e-05,4,3,1e-05,4,3.6,80,0.65,0.3,0.409554294956508
1e-05,4,3,1e-05,4,3.6,80,0.65,0.35,0.537924121183
1e-05,4,3,1e-05,4,3.6,80,0.65,0.4,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.45,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.5,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.55,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.6,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.65,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.7,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.75,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.8,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.85,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.9,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,0.95,NA
1e-05,4,3,1e-05,4,3.6,80,0.65,1,NA
1e-05,4,3,1e-05,4,3.6,80,0.7,0,-0.536649238245425
1e-05,4,3,1e-05,4,3.6,80,0.7,0.05,-0.393090316133513
1e-05,4,3,1e-05,4,3.6,80,0.7,0.1,-0.254359226363121
1e-05,4,3,1e-05,4,3.6,80,0.7,0.15,-0.135774865865157
1e-05,4,3,1e-05,4,3.6,80,0.7,0.2,-0.0428374900474365
1e-05,4,3,1e-05,4,3.6,80,0.7,0.25,0.121402454148283
1e-05,4,3,1e-05,4,3.6,80,0.7,0.3,0.309916971164141
