betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,1e-05,4,3,1,0,0,0.134272107691062
1e-05,4,3,1e-05,4,3,1,0,0.05,0.244785685548551
1e-05,4,3,1e-05,4,3,1,0,0.1,0.354273672407069
1e-05,4,3,1e-05,4,3,1,0,0.15,0.446627843355609
1e-05,4,3,1e-05,4,3,1,0,0.2,0.519959261811369
1e-05,4,3,1e-05,4,3,1,0,0.25,0.577636584180325
1e-05,4,3,1e-05,4,3,1,0,0.3,0.623842484712236
1e-05,4,3,1e-05,4,3,1,0,0.35,0.661705740286558
1e-05,4,3,1e-05,4,3,1,0,0.4,0.693140628148059
1e-05,4,3,1e-05,4,3,1,0,0.45,0.719356688244583
1e-05,4,3,1e-05,4,3,1,0,0.5,0.741265177842086
1e-05,4,3,1e-05,4,3,1,0,0.55,0.759655838918028
1e-05,4,3,1e-05,4,3,1,0,0.6,0.775244443770565
1e-05,4,3,1e-05,4,3,1,0,0.65,0.788669344567896
1e-05,4,3,1e-05,4,3,1,0,0.7,0.800472407451789
1e-05,4,3,1e-05,4,3,1,0,0.75,0.811084253845684
1e-05,4,3,1e-05,4,3,1,0,0.8,0.820824793293898
1e-05,4,3,1e-05,4,3,1,0,0.85,0.829917652066011
1e-05,4,3,1e-05,4,3,1,0,0.9,0.838511114228586
1e-05,4,3,1e-05,4,3,1,0,0.95,0.846698912680466
1e-05,4,3,1e-05,4,3,1,0,1,0.854537408148083
1e-05,4,3,1e-05,4,3,1,0.05,0,0.0424496112601965
1e-05,4,3,1e-05,4,3,1,0.05,0.05,0.0939296931067924
1e-05,4,3,1e-05,4,3,1,0.05,0.1,0.167876003255438
1e-05,4,3,1e-05,4,3,1,0.05,0.15,0.254174755706287
1e-05,4,3,1e-05,4,3,1,0.05,0.2,0.339878031165117
1e-05,4,3,1e-05,4,3,1,0.05,0.25,0.417013696968121
1e-05,4,3,1e-05,4,3,1,0.05,0.3,0.483280005662709
1e-05,4,3,1e-05,4,3,1,0.05,0.35,0.539314364439786
1e-05,4,3,1e-05,4,3,1,0.05,0.4,0.58652522864644
1e-05,4,3,1e-05,4,3,1,0.05,0.45,0.626229877117545
1e-05,4,3,1e-05,4,3,1,0.05,0.5,0.659538958316621
1e-05,4,3,1e-05,4,3,1,0.05,0.55,0.687448800794524
1e-05,4,3,1e-05,4,3,1,0.05,0.6,0.710903512708703
1e-05,4,3,1e-05,4,3,1,0.05,0.65,0.730787824156112
1e-05,4,3,1e-05,4,3,1,0.05,0.7,0.747886935489345
1e-05,4,3,1e-05,4,3,1,0.05,0.75,0.762854080025817
1e-05,4,3,1e-05,4,3,1,0.05,0.8,0.776201997448446
1e-05,4,3,1e-05,4,3,1,0.05,0.85,0.788315317318102
1e-05,4,3,1e-05,4,3,1,0.05,0.9,0.799473303838824
1e-05,4,3,1e-05,4,3,1,0.05,0.95,0.809874176500604
1e-05,4,3,1e-05,4,3,1,0.05,1,NA
1e-05,4,3,1e-05,4,3,1,0.1,0,0.0141485653907944
1e-05,4,3,1e-05,4,3,1,0.1,0.05,0.0362103140286076
1e-05,4,3,1e-05,4,3,1,0.1,0.1,0.0717799542934206
1e-05,4,3,1e-05,4,3,1,0.1,0.15,0.12240912964251
1e-05,4,3,1e-05,4,3,1,0.1,0.2,0.18561880485715
1e-05,4,3,1e-05,4,3,1,0.1,0.25,0.255578351075312
1e-05,4,3,1e-05,4,3,1,0.1,0.3,0.325970062636301
1e-05,4,3,1e-05,4,3,1,0.1,0.35,0.392268018665383
1e-05,4,3,1e-05,4,3,1,0.1,0.4,0.452146126848786
1e-05,4,3,1e-05,4,3,1,0.1,0.45,0.504849900684671
1e-05,4,3,1e-05,4,3,1,0.1,0.5,0.550507711409917
1e-05,4,3,1e-05,4,3,1,0.1,0.55,0.589696791147484
1e-05,4,3,1e-05,4,3,1,0.1,0.6,0.623207591587199
1e-05,4,3,1e-05,4,3,1,0.1,0.65,0.651903199300171
1e-05,4,3,1e-05,4,3,1,0.1,0.7,0.676623682708091
1e-05,4,3,1e-05,4,3,1,0.1,0.75,0.698124700207539
1e-05,4,3,1e-05,4,3,1,0.1,0.8,0.717047235441949
1e-05,4,3,1e-05,4,3,1,0.1,0.85,0.73391245689664
1e-05,4,3,1e-05,4,3,1,0.1,0.9,0.749131703336974
1e-05,4,3,1e-05,4,3,1,0.1,0.95,NA
1e-05,4,3,1e-05,4,3,1,0.1,1,NA
1e-05,4,3,1e-05,4,3,1,0.15,0,0.00364459419194458
1e-05,4,3,1e-05,4,3,1,0.15,0.05,0.0145806331552293
1e-05,4,3,1e-05,4,3,1,0.15,0.1,0.0322597815321173
1e-05,4,3,1e-05,4,3,1,0.15,0.15,0.0588541046303463
1e-05,4,3,1e-05,4,3,1,0.15,0.2,0.0957482514390575
1e-05,4,3,1e-05,4,3,1,0.15,0.25,0.142664534343671
1e-05,4,3,1e-05,4,3,1,0.15,0.3,0.197361819297569
1e-05,4,3,1e-05,4,3,1,0.15,0.35,0.256287976448036
1e-05,4,3,1e-05,4,3,1,0.15,0.4,0.315754229306882
1e-05,4,3,1e-05,4,3,1,0.15,0.45,0.372847907597628
1e-05,4,3,1e-05,4,3,1,0.15,0.5,0.425743741917552
1e-05,4,3,1e-05,4,3,1,0.15,0.55,0.47358185194283
1e-05,4,3,1e-05,4,3,1,0.15,0.6,0.516191808801401
1e-05,4,3,1e-05,4,3,1,0.15,0.65,0.553827829390914
1e-05,4,3,1e-05,4,3,1,0.15,0.7,0.586967514076661
1e-05,4,3,1e-05,4,3,1,0.15,0.75,0.616175667678758
1e-05,4,3,1e-05,4,3,1,0.15,0.8,0.642020127671361
1e-05,4,3,1e-05,4,3,1,0.15,0.85,0.665025374541561
1e-05,4,3,1e-05,4,3,1,0.15,0.9,NA
1e-05,4,3,1e-05,4,3,1,0.15,0.95,NA
1e-05,4,3,1e-05,4,3,1,0.15,1,NA
1e-05,4,3,1e-05,4,3,1,0.2,0,-0.114834068480408
1e-05,4,3,1e-05,4,3,1,0.2,0.05,0.00507434316906428
1e-05,4,3,1e-05,4,3,1,0.2,0.1,0.0148877232532957
1e-05,4,3,1e-05,4,3,1,0.2,0.15,0.0296280820922661
1e-05,4,3,1e-05,4,3,1,0.2,0.2,0.0506486722038026
1e-05,4,3,1e-05,4,3,1,0.2,0.25,0.0789592663294239
1e-05,4,3,1e-05,4,3,1,0.2,0.3,0.11481305023106
1e-05,4,3,1e-05,4,3,1,0.2,0.35,0.157432734065315
1e-05,4,3,1e-05,4,3,1,0.2,0.4,0.205078660647006
1e-05,4,3,1e-05,4,3,1,0.2,0.45,0.255466912289494
1e-05,4,3,1e-05,4,3,1,0.2,0.5,0.306314647333641
1e-05,4,3,1e-05,4,3,1,0.2,0.55,0.35575284283275
1e-05,4,3,1e-05,4,3,1,0.2,0.6,0.402497690898183
