betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,1e-05,6.1,3,20,0,0,0.619188147663535
1e-05,4,3,1e-05,6.1,3,20,0,0.05,0.716091524405094
1e-05,4,3,1e-05,6.1,3,20,0,0.1,0.779784110595986
1e-05,4,3,1e-05,6.1,3,20,0,0.15,0.82375956998084
1e-05,4,3,1e-05,6.1,3,20,0,0.2,0.855536287820649
1e-05,4,3,1e-05,6.1,3,20,0,0.25,0.879431815834912
1e-05,4,3,1e-05,6.1,3,20,0,0.3,0.898015482206293
1e-05,4,3,1e-05,6.1,3,20,0,0.35,0.912857831030302
1e-05,4,3,1e-05,6.1,3,20,0,0.4,0.924949082820313
1e-05,4,3,1e-05,6.1,3,20,0,0.45,0.934940496707938
1e-05,4,3,1e-05,6.1,3,20,0,0.5,0.943281951001161
1e-05,4,3,1e-05,6.1,3,20,0,0.55,0.950299210889117
1e-05,4,3,1e-05,6.1,3,20,0,0.6,0.956237585342652
1e-05,4,3,1e-05,6.1,3,20,0,0.65,0.961287378971828
1e-05,4,3,1e-05,6.1,3,20,0,0.7,0.965599393096107
1e-05,4,3,1e-05,6.1,3,20,0,0.75,0.969294945129366
1e-05,4,3,1e-05,6.1,3,20,0,0.8,0.97247266708732
1e-05,4,3,1e-05,6.1,3,20,0,0.85,0.975213375474349
1e-05,4,3,1e-05,6.1,3,20,0,0.9,0.977583704669786
1e-05,4,3,1e-05,6.1,3,20,0,0.95,0.97963886668201
1e-05,4,3,1e-05,6.1,3,20,0,1,0.98142483530404
1e-05,4,3,1e-05,6.1,3,20,0.05,0,0.522240514898196
1e-05,4,3,1e-05,6.1,3,20,0.05,0.05,0.645796638674373
1e-05,4,3,1e-05,6.1,3,20,0.05,0.1,0.728141403713211
1e-05,4,3,1e-05,6.1,3,20,0.05,0.15,0.784673132372502
1e-05,4,3,1e-05,6.1,3,20,0.05,0.2,0.825008852293709
1e-05,4,3,1e-05,6.1,3,20,0.05,0.25,0.854909431581935
1e-05,4,3,1e-05,6.1,3,20,0.05,0.3,0.877859831097981
1e-05,4,3,1e-05,6.1,3,20,0.05,0.35,0.895996096990362
1e-05,4,3,1e-05,6.1,3,20,0.05,0.4,0.910654813777391
1e-05,4,3,1e-05,6.1,3,20,0.05,0.45,0.922701370787638
1e-05,4,3,1e-05,6.1,3,20,0.05,0.5,0.932721481411507
1e-05,4,3,1e-05,6.1,3,20,0.05,0.55,0.941130424796621
1e-05,4,3,1e-05,6.1,3,20,0.05,0.6,0.948235170955791
1e-05,4,3,1e-05,6.1,3,20,0.05,0.65,0.954270381082803
1e-05,4,3,1e-05,6.1,3,20,0.05,0.7,0.959420025035409
1e-05,4,3,1e-05,6.1,3,20,0.05,0.75,0.963831021832261
1e-05,4,3,1e-05,6.1,3,20,0.05,0.8,0.967622248391002
1e-05,4,3,1e-05,6.1,3,20,0.05,0.85,0.970890825344803
1e-05,4,3,1e-05,6.1,3,20,0.05,0.9,0.973716687230189
1e-05,4,3,1e-05,6.1,3,20,0.05,0.95,0.97616600919512
1e-05,4,3,1e-05,6.1,3,20,0.05,1,NA
1e-05,4,3,1e-05,6.1,3,20,0.1,0,0.41449014880156
1e-05,4,3,1e-05,6.1,3,20,0.1,0.05,0.56299740015092
1e-05,4,3,1e-05,6.1,3,20,0.1,0.1,0.666163150220408
1e-05,4,3,1e-05,6.1,3,20,0.1,0.15,0.737696945192902
1e-05,4,3,1e-05,6.1,3,20,0.1,0.2,0.788541151549114
1e-05,4,3,1e-05,6.1,3,20,0.1,0.25,0.8258648330924
1e-05,4,3,1e-05,6.1,3,20,0.1,0.3,0.854185843841564
1e-05,4,3,1e-05,6.1,3,20,0.1,0.35,0.876328615880015
1e-05,4,3,1e-05,6.1,3,20,0.1,0.4,0.894070772605147
1e-05,4,3,1e-05,6.1,3,20,0.1,0.45,0.908556892617907
1e-05,4,3,1e-05,6.1,3,20,0.1,0.5,0.920550989424086
1e-05,4,3,1e-05,6.1,3,20,0.1,0.55,0.930585033309937
1e-05,4,3,1e-05,6.1,3,20,0.1,0.6,0.939045108277208
1e-05,4,3,1e-05,6.1,3,20,0.1,0.65,0.946221612520421
1e-05,4,3,1e-05,6.1,3,20,0.1,0.7,0.952339338413379
1e-05,4,3,1e-05,6.1,3,20,0.1,0.75,0.957576115875019
1e-05,4,3,1e-05,6.1,3,20,0.1,0.8,0.962074902817547
1e-05,4,3,1e-05,6.1,3,20,0.1,0.85,0.965951993568458
1e-05,4,3,1e-05,6.1,3,20,0.1,0.9,0.969302838467118
1e-05,4,3,1e-05,6.1,3,20,0.1,0.95,NA
1e-05,4,3,1e-05,6.1,3,20,0.1,1,NA
1e-05,4,3,1e-05,6.1,3,20,0.15,0,0.3042739699783
1e-05,4,3,1e-05,6.1,3,20,0.15,0.05,0.470330081709974
1e-05,4,3,1e-05,6.1,3,20,0.15,0.1,0.594009609424912
