betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,2.7e-06,2.6,3,20,0,0,0.616200484457771
1e-05,4,3,2.7e-06,2.6,3,20,0,0.05,0.719206610380112
1e-05,4,3,2.7e-06,2.6,3,20,0,0.1,0.784104159838369
1e-05,4,3,2.7e-06,2.6,3,20,0,0.15,0.827737838451353
1e-05,4,3,2.7e-06,2.6,3,20,0,0.2,0.858910549462715
1e-05,4,3,2.7e-06,2.6,3,20,0,0.25,0.882313764687596
1e-05,4,3,2.7e-06,2.6,3,20,0,0.3,0.900512838039356
1e-05,4,3,2.7e-06,2.6,3,20,0,0.35,0.915001297723852
1e-05,4,3,2.7e-06,2.6,3,20,0,0.4,0.926727313542274
1e-05,4,3,2.7e-06,2.6,3,20,0,0.45,0.93634576006794
1e-05,4,3,2.7e-06,2.6,3,20,0,0.5,0.944331060889018
1e-05,4,3,2.7e-06,2.6,3,20,0,0.55,0.951031594479968
1e-05,4,3,2.7e-06,2.6,3,20,0,0.6,0.956704688110583
1e-05,4,3,2.7e-06,2.6,3,20,0,0.65,0.961542906295418
1e-05,4,3,2.7e-06,2.6,3,20,0,0.7,0.965693407814809
1e-05,4,3,2.7e-06,2.6,3,20,0,0.75,0.969271292834014
1e-05,4,3,2.7e-06,2.6,3,20,0,0.8,0.972368479495067
1e-05,4,3,2.7e-06,2.6,3,20,0,0.85,0.975059591718104
1e-05,4,3,2.7e-06,2.6,3,20,0,0.9,0.977405971163804
1e-05,4,3,2.7e-06,2.6,3,20,0,0.95,0.979458491643008
1e-05,4,3,2.7e-06,2.6,3,20,0,1,0.981259613421419
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0,0.467816867193237
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.05,0.614264940290884
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.1,0.708990624430942
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.15,0.771942946982302
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.2,0.815980310956438
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.25,0.848296767862281
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.3,0.872883833528338
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.35,0.892082925188838
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.4,0.907380248161147
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.45,0.919784969947419
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.5,0.930003983689104
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.55,0.938536449455568
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.6,0.945738218061089
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.65,0.951868226115156
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.7,0.957120358669052
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.75,0.961644142524263
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.8,0.96555788404549
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.85,0.968957036788921
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.9,0.971919767561714
1e-05,4,3,2.7e-06,2.6,3,20,0.05,0.95,0.974510727692918
1e-05,4,3,2.7e-06,2.6,3,20,0.05,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0,0.302615000848275
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.05,0.481614433160784
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.1,0.609809040852279
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.15,0.69782695055876
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.2,0.759494821932783
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.25,0.804196458304155
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.3,0.83760020394859
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.35,0.863195674475588
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.4,0.883251270911049
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.45,0.899301978509398
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.5,0.912398136149638
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.55,0.923259331522056
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.6,0.932383778329635
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.65,0.940125036711162
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.7,0.946742469053846
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.75,0.952432878756567
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.8,0.95735001790931
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.85,0.961616804683161
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.9,0.965333188741438
1e-05,4,3,2.7e-06,2.6,3,20,0.1,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.1,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0,0.154471417151855
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.05,0.3367464447609
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.1,0.489794439559967
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.15,0.604166753560665
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.2,0.687159073627922
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.25,0.747773928798307
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.3,0.7927739863594
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.35,0.826824503150279
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.4,0.853143520758307
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.45,0.87395123787066
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.5,0.890760370437291
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.55,0.904592977343175
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.6,0.916145096468475
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.65,0.925902414546469
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.7,0.934215385409359
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.75,0.941345865122309
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.8,0.947495667698467
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.85,0.952824295411628
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.15,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.15,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0,0.0423247826604319
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.05,0.202193002094734
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.1,0.361009359936909
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.15,0.494984770757528
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.2,0.599214488449191
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.25,0.677889937200671
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.3,0.736937499020198
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.35,0.781574669048611
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.4,0.81585707468662
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.45,0.842739140307067
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.5,0.864277732224386
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.55,0.881871899074406
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.6,0.896473886175229
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.65,0.908744600607015
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.7,0.919156664949726
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.75,0.928059279115051
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.8,0.935718364054824
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.2,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.2,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0,-0.141483434534959
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.05,0.092767545073998
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.1,0.239126083186967
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.15,0.379598510901709
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.2,0.499565388572964
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.25,0.595450706602394
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.3,0.669660290745685
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.35,0.726545173192639
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.4,0.770410118079389
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.45,0.804754983905726
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.5,0.832155864821355
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.55,0.854420045664614
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.6,0.872799362789929
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.65,0.88816968712506
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.7,0.901157878650469
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.75,0.912225050639555
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.25,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.25,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0,-0.351484148404177
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.05,-0.0127308922480467
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.1,0.135304324441978
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.15,0.269084895953741
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.2,0.395302970014434
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.25,0.503892848460733
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.3,0.592117322213021
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.35,0.661760099613444
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.4,0.716327463653235
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.45,0.759355281022154
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.5,0.793735213917159
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.55,0.82162435385195
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.6,0.844575317143576
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.65,0.8637001658013
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.7,0.879804759998915
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.75,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.3,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.3,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0,-0.49485167806577
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.05,-0.192908391546445
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.1,0.0529991915450371
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.15,0.171735257449975
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.2,0.294435581881134
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.25,0.408670760803619
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.3,0.507277543741796
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.35,0.588502690497148
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.4,0.653931852000041
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.45,0.70637715414872
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.5,0.748637423409643
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.55,0.783032659093464
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.6,0.811345280969492
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.65,0.834906544159588
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.7,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.75,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.35,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0,-0.595271422091068
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.05,-0.362368965619787
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.1,-0.0691695137889936
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.15,0.091049794048404
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.2,0.203259523688318
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.25,0.315794627227416
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.3,0.419457448387407
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.35,0.50935179648826
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.4,0.584526817429947
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.45,0.646326405355087
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.5,0.69691706822152
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.55,0.738465510689324
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.6,0.772821736143607
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.65,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.7,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.75,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.4,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0,-0.667760267078942
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.05,-0.485255455418968
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.1,-0.227559666420387
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.15,0.011031422461174
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.2,0.125041752541619
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.25,0.230205906742243
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.3,0.333331726789108
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.35,0.427803704003539
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.4,0.510354330516236
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.45,0.580465809432059
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.5,0.639177870153629
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.55,0.688121007075833
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.6,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.65,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.7,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.75,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.45,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0,-0.721641296340964
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.05,-0.576065987585698
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.1,-0.369397624195413
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.15,-0.116758125779428
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.2,0.0603031990479505
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.25,0.154854177044228
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.3,0.25286315821189
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.35,0.347574629227306
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.4,0.434281497423889
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.45,0.51073785133268
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.5,0.576604385842082
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.55,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.6,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.65,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.7,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.75,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.5,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0,-0.762755845189242
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.05,-0.644596434157724
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.1,-0.477093704222764
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.15,-0.251920661557509
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.2,-0.0343263130250387
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.25,0.0907017246972226
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.3,0.180639814928547
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.35,0.27187077594912
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.4,0.359299644911873
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.45,0.439511684366324
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.5,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.55,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.6,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.65,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.7,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.75,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.8,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.85,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.9,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,0.95,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.55,1,NA
1e-05,4,3,2.7e-06,2.6,3,20,0.6,0,-0.794850842950544
1e-05,4,3,2.7e-06,2.6,3,20,0.6,0.05,-0.69738150861829
1e-05,4,3,2.7e-06,2.6,3,20,0.6,0.1,-0.559963664883707
