betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,2.7e-06,4,3,1,0,0,0.143719839195254
1e-05,4,3,2.7e-06,4,3,1,0,0.05,0.256208401583819
1e-05,4,3,2.7e-06,4,3,1,0,0.1,0.364005017138848
1e-05,4,3,2.7e-06,4,3,1,0,0.15,0.454408381129505
1e-05,4,3,2.7e-06,4,3,1,0,0.2,0.526103739085939
1e-05,4,3,2.7e-06,4,3,1,0,0.25,0.582319547574685
1e-05,4,3,2.7e-06,4,3,1,0,0.3,0.62749656545031
1e-05,4,3,2.7e-06,4,3,1,0,0.35,0.664802805826582
1e-05,4,3,2.7e-06,4,3,1,0,0.4,0.695982447142833
1e-05,4,3,2.7e-06,4,3,1,0,0.45,0.722071711940408
1e-05,4,3,2.7e-06,4,3,1,0,0.5,0.743870946588522
1e-05,4,3,2.7e-06,4,3,1,0,0.55,0.762115907263174
1e-05,4,3,2.7e-06,4,3,1,0,0.6,0.777512184788458
1e-05,4,3,2.7e-06,4,3,1,0,0.65,0.790717125945712
1e-05,4,3,2.7e-06,4,3,1,0,0.7,0.802301637464235
1e-05,4,3,2.7e-06,4,3,1,0,0.75,0.812719533876074
1e-05,4,3,2.7e-06,4,3,1,0,0.8,0.822302215289434
1e-05,4,3,2.7e-06,4,3,1,0,0.85,0.831275081921812
1e-05,4,3,2.7e-06,4,3,1,0,0.9,0.839782784490005
1e-05,4,3,2.7e-06,4,3,1,0,0.95,0.84791348949259
1e-05,4,3,2.7e-06,4,3,1,0,1,0.855717939567901
1e-05,4,3,2.7e-06,4,3,1,0.05,0,0.0747797004872718
1e-05,4,3,2.7e-06,4,3,1,0.05,0.05,0.156922362301286
1e-05,4,3,2.7e-06,4,3,1,0.05,0.1,0.256136409055913
1e-05,4,3,2.7e-06,4,3,1,0.05,0.15,0.353099654292618
1e-05,4,3,2.7e-06,4,3,1,0.05,0.2,0.436962284728892
1e-05,4,3,2.7e-06,4,3,1,0.05,0.25,0.505562086395326
1e-05,4,3,2.7e-06,4,3,1,0.05,0.3,0.561486315943432
1e-05,4,3,2.7e-06,4,3,1,0.05,0.35,0.607855997521182
1e-05,4,3,2.7e-06,4,3,1,0.05,0.4,0.646757942665915
1e-05,4,3,2.7e-06,4,3,1,0.05,0.45,0.679438852242303
1e-05,4,3,2.7e-06,4,3,1,0.05,0.5,0.706776407464415
1e-05,4,3,2.7e-06,4,3,1,0.05,0.55,0.72956310274481
1e-05,4,3,2.7e-06,4,3,1,0.05,0.6,0.748604231153698
1e-05,4,3,2.7e-06,4,3,1,0.05,0.65,0.764699023230402
1e-05,4,3,2.7e-06,4,3,1,0.05,0.7,0.778572617718281
1e-05,4,3,2.7e-06,4,3,1,0.05,0.75,0.790819502438819
1e-05,4,3,2.7e-06,4,3,1,0.05,0.8,0.801886713497609
1e-05,4,3,2.7e-06,4,3,1,0.05,0.85,0.812089356299425
1e-05,4,3,2.7e-06,4,3,1,0.05,0.9,0.821639812649567
1e-05,4,3,2.7e-06,4,3,1,0.05,0.95,0.830676717767187
1e-05,4,3,2.7e-06,4,3,1,0.05,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.1,0,0.0375912269838656
1e-05,4,3,2.7e-06,4,3,1,0.1,0.05,0.0896191315921579
1e-05,4,3,2.7e-06,4,3,1,0.1,0.1,0.165778640281683
1e-05,4,3,2.7e-06,4,3,1,0.1,0.15,0.254485005387861
1e-05,4,3,2.7e-06,4,3,1,0.1,0.2,0.341711551541962
1e-05,4,3,2.7e-06,4,3,1,0.1,0.25,0.419203559408222
1e-05,4,3,2.7e-06,4,3,1,0.1,0.3,0.485230132521964
1e-05,4,3,2.7e-06,4,3,1,0.1,0.35,0.541103062081848
1e-05,4,3,2.7e-06,4,3,1,0.1,0.4,0.588491899333944
1e-05,4,3,2.7e-06,4,3,1,0.1,0.45,0.628627401568155
1e-05,4,3,2.7e-06,4,3,1,0.1,0.5,0.66240171707943
1e-05,4,3,2.7e-06,4,3,1,0.1,0.55,0.690623354276804
1e-05,4,3,2.7e-06,4,3,1,0.1,0.6,0.714157134857014
1e-05,4,3,2.7e-06,4,3,1,0.1,0.65,0.733912578013499
1e-05,4,3,2.7e-06,4,3,1,0.1,0.7,0.750751738768253
1e-05,4,3,2.7e-06,4,3,1,0.1,0.75,0.76540571109098
1e-05,4,3,2.7e-06,4,3,1,0.1,0.8,0.778442067541389
1e-05,4,3,2.7e-06,4,3,1,0.1,0.85,0.790275316051598
1e-05,4,3,2.7e-06,4,3,1,0.1,0.9,0.801196870195612
1e-05,4,3,2.7e-06,4,3,1,0.1,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.1,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.15,0,0.0183665108240079
1e-05,4,3,2.7e-06,4,3,1,0.15,0.05,0.0498524844020856
1e-05,4,3,2.7e-06,4,3,1,0.15,0.1,0.101785822966769
1e-05,4,3,2.7e-06,4,3,1,0.15,0.15,0.172074475951009
1e-05,4,3,2.7e-06,4,3,1,0.15,0.2,0.251616043598798
1e-05,4,3,2.7e-06,4,3,1,0.15,0.25,0.330482011334308
1e-05,4,3,2.7e-06,4,3,1,0.15,0.3,0.402777700754381
1e-05,4,3,2.7e-06,4,3,1,0.15,0.35,0.466634761841188
1e-05,4,3,2.7e-06,4,3,1,0.15,0.4,0.522149932139238
1e-05,4,3,2.7e-06,4,3,1,0.15,0.45,0.569930153169768
1e-05,4,3,2.7e-06,4,3,1,0.15,0.5,0.610617570124008
1e-05,4,3,2.7e-06,4,3,1,0.15,0.55,0.644909198636286
1e-05,4,3,2.7e-06,4,3,1,0.15,0.6,0.673643459001712
1e-05,4,3,2.7e-06,4,3,1,0.15,0.65,0.697773658488802
1e-05,4,3,2.7e-06,4,3,1,0.15,0.7,0.718252135783982
1e-05,4,3,2.7e-06,4,3,1,0.15,0.75,0.735920356389565
1e-05,4,3,2.7e-06,4,3,1,0.15,0.8,0.751456205749924
1e-05,4,3,2.7e-06,4,3,1,0.15,0.85,0.765373609335892
1e-05,4,3,2.7e-06,4,3,1,0.15,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.15,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.15,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.2,0,0.00808762942290061
1e-05,4,3,2.7e-06,4,3,1,0.2,0.05,0.0273926339014866
1e-05,4,3,2.7e-06,4,3,1,0.2,0.1,0.0611073885520946
1e-05,4,3,2.7e-06,4,3,1,0.2,0.15,0.111673310336538
1e-05,4,3,2.7e-06,4,3,1,0.2,0.2,0.176351555221829
1e-05,4,3,2.7e-06,4,3,1,0.2,0.25,0.248319128146567
1e-05,4,3,2.7e-06,4,3,1,0.2,0.3,0.320593377209304
1e-05,4,3,2.7e-06,4,3,1,0.2,0.35,0.388612907116192
1e-05,4,3,2.7e-06,4,3,1,0.2,0.4,0.450243383773149
1e-05,4,3,2.7e-06,4,3,1,0.2,0.45,0.504764826921764
1e-05,4,3,2.7e-06,4,3,1,0.2,0.5,0.552120721229176
1e-05,4,3,2.7e-06,4,3,1,0.2,0.55,0.592642040335121
1e-05,4,3,2.7e-06,4,3,1,0.2,0.6,0.626980525122451
1e-05,4,3,2.7e-06,4,3,1,0.2,0.65,0.656017245588218
1e-05,4,3,2.7e-06,4,3,1,0.2,0.7,0.680711245673955
1e-05,4,3,2.7e-06,4,3,1,0.2,0.75,0.701959705833788
1e-05,4,3,2.7e-06,4,3,1,0.2,0.8,0.720519939377014
1e-05,4,3,2.7e-06,4,3,1,0.2,0.85,NA
1e-05,4,3,2.7e-06,4,3,1,0.2,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.2,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.2,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.25,0,0.00225462033008976
1e-05,4,3,2.7e-06,4,3,1,0.25,0.05,0.0145414149471025
1e-05,4,3,2.7e-06,4,3,1,0.25,0.1,0.0363916934322011
1e-05,4,3,2.7e-06,4,3,1,0.25,0.15,0.0711275607759062
1e-05,4,3,2.7e-06,4,3,1,0.25,0.2,0.119709185807073
1e-05,4,3,2.7e-06,4,3,1,0.25,0.25,0.17952284346022
1e-05,4,3,2.7e-06,4,3,1,0.25,0.3,0.245508743526007
1e-05,4,3,2.7e-06,4,3,1,0.25,0.35,0.312492356047474
1e-05,4,3,2.7e-06,4,3,1,0.25,0.4,0.376661297181588
1e-05,4,3,2.7e-06,4,3,1,0.25,0.45,0.43573195048497
1e-05,4,3,2.7e-06,4,3,1,0.25,0.5,0.488558506845351
1e-05,4,3,2.7e-06,4,3,1,0.25,0.55,0.534789406113946
1e-05,4,3,2.7e-06,4,3,1,0.25,0.6,0.574661078105097
1e-05,4,3,2.7e-06,4,3,1,0.25,0.65,0.608814167215018
1e-05,4,3,2.7e-06,4,3,1,0.25,0.7,0.638090623709745
1e-05,4,3,2.7e-06,4,3,1,0.25,0.75,0.66335711171602
1e-05,4,3,2.7e-06,4,3,1,0.25,0.8,NA
1e-05,4,3,2.7e-06,4,3,1,0.25,0.85,NA
1e-05,4,3,2.7e-06,4,3,1,0.25,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.25,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.25,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.3,0,-0.125090034116873
1e-05,4,3,2.7e-06,4,3,1,0.3,0.05,0.00690314807175265
1e-05,4,3,2.7e-06,4,3,1,0.3,0.1,0.0213863319012401
1e-05,4,3,2.7e-06,4,3,1,0.3,0.15,0.0450326261333556
1e-05,4,3,2.7e-06,4,3,1,0.3,0.2,0.0800170136578882
1e-05,4,3,2.7e-06,4,3,1,0.3,0.25,0.126533746458047
1e-05,4,3,2.7e-06,4,3,1,0.3,0.3,0.182310574731629
1e-05,4,3,2.7e-06,4,3,1,0.3,0.35,0.243461841603339
1e-05,4,3,2.7e-06,4,3,1,0.3,0.4,0.305902146001793
1e-05,4,3,2.7e-06,4,3,1,0.3,0.45,0.366315201096056
1e-05,4,3,2.7e-06,4,3,1,0.3,0.5,0.422456200386804
1e-05,4,3,2.7e-06,4,3,1,0.3,0.55,0.473091185297657
1e-05,4,3,2.7e-06,4,3,1,0.3,0.6,0.517819942432278
1e-05,4,3,2.7e-06,4,3,1,0.3,0.65,0.556850630964767
1e-05,4,3,2.7e-06,4,3,1,0.3,0.7,0.59075532864145
1e-05,4,3,2.7e-06,4,3,1,0.3,0.75,NA
1e-05,4,3,2.7e-06,4,3,1,0.3,0.8,NA
1e-05,4,3,2.7e-06,4,3,1,0.3,0.85,NA
1e-05,4,3,2.7e-06,4,3,1,0.3,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.3,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.3,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,0,-0.347098223941691
1e-05,4,3,2.7e-06,4,3,1,0.35,0.05,0.00215330461997119
1e-05,4,3,2.7e-06,4,3,1,0.35,0.1,0.0120609210965278
1e-05,4,3,2.7e-06,4,3,1,0.35,0.15,0.0283564095003204
1e-05,4,3,2.7e-06,4,3,1,0.35,0.2,0.0532149356504109
1e-05,4,3,2.7e-06,4,3,1,0.35,0.25,0.0880281290523856
1e-05,4,3,2.7e-06,4,3,1,0.35,0.3,0.132597254163178
1e-05,4,3,2.7e-06,4,3,1,0.35,0.35,0.184950817864649
1e-05,4,3,2.7e-06,4,3,1,0.35,0.4,0.241949781037798
1e-05,4,3,2.7e-06,4,3,1,0.35,0.45,0.300219947664936
1e-05,4,3,2.7e-06,4,3,1,0.35,0.5,0.35688465199176
1e-05,4,3,2.7e-06,4,3,1,0.35,0.55,0.409918860528587
1e-05,4,3,2.7e-06,4,3,1,0.35,0.6,0.458195390378797
1e-05,4,3,2.7e-06,4,3,1,0.35,0.65,0.50134196698221
1e-05,4,3,2.7e-06,4,3,1,0.35,0.7,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,0.75,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,0.8,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,0.85,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.35,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0,-0.495646559386061
1e-05,4,3,2.7e-06,4,3,1,0.4,0.05,-0.0926365666280543
1e-05,4,3,2.7e-06,4,3,1,0.4,0.1,0.0060678529405796
1e-05,4,3,2.7e-06,4,3,1,0.4,0.15,0.0175469467952931
1e-05,4,3,2.7e-06,4,3,1,0.4,0.2,0.0352946405486438
1e-05,4,3,2.7e-06,4,3,1,0.4,0.25,0.0609399245393728
1e-05,4,3,2.7e-06,4,3,1,0.4,0.3,0.0953356168500076
1e-05,4,3,2.7e-06,4,3,1,0.4,0.35,0.138054718619039
1e-05,4,3,2.7e-06,4,3,1,0.4,0.4,0.187341494405452
1e-05,4,3,2.7e-06,4,3,1,0.4,0.45,0.240567296565251
1e-05,4,3,2.7e-06,4,3,1,0.4,0.5,0.294913504456063
1e-05,4,3,2.7e-06,4,3,1,0.4,0.55,0.347952375008654
1e-05,4,3,2.7e-06,4,3,1,0.4,0.6,0.397958790432219
1e-05,4,3,2.7e-06,4,3,1,0.4,0.65,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0.7,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0.75,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0.8,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0.85,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.4,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0,-0.599293869827189
1e-05,4,3,2.7e-06,4,3,1,0.45,0.05,-0.299887951988126
1e-05,4,3,2.7e-06,4,3,1,0.45,0.1,0.00207597395428256
1e-05,4,3,2.7e-06,4,3,1,0.45,0.15,0.010366467088863
1e-05,4,3,2.7e-06,4,3,1,0.45,0.2,0.0232195448833459
1e-05,4,3,2.7e-06,4,3,1,0.45,0.25,0.0421005518443013
1e-05,4,3,2.7e-06,4,3,1,0.45,0.3,0.0681993474714554
1e-05,4,3,2.7e-06,4,3,1,0.45,0.35,0.101980727185811
1e-05,4,3,2.7e-06,4,3,1,0.45,0.4,0.142872478711713
1e-05,4,3,2.7e-06,4,3,1,0.45,0.45,0.189293556059234
1e-05,4,3,2.7e-06,4,3,1,0.45,0.5,0.239026004103068
1e-05,4,3,2.7e-06,4,3,1,0.45,0.55,0.289737261500963
1e-05,4,3,2.7e-06,4,3,1,0.45,0.6,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.65,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.7,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.75,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.8,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.85,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.9,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,0.95,NA
1e-05,4,3,2.7e-06,4,3,1,0.45,1,NA
1e-05,4,3,2.7e-06,4,3,1,0.5,0,-0.674228748143653
1e-05,4,3,2.7e-06,4,3,1,0.5,0.05,-0.445547662319081
