betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0,0.72660081113897
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.05,0.797994209044184
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.1,0.845402451873035
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.15,0.878469154629218
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.2,0.902524904158934
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.25,0.920617228577322
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.3,0.934574893105294
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.35,0.945553860447768
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.4,0.954321530393456
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.45,0.96140943175129
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.5,0.967198365800986
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.55,0.971968131653272
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.6,0.975928272745127
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.65,0.979238184557893
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.7,0.982020823949323
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.75,0.984372245864774
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.8,0.986368397777773
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.85,0.988069966075995
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.9,0.989525900007081
1e-05,4,3,8.8e-07,2.6,3.6,40,0,0.95,0.990776001429395
1e-05,4,3,8.8e-07,2.6,3.6,40,0,1,0.991852863264812
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0,0.681149544303746
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.05,0.768351412065994
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.1,0.825120101026554
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.15,0.863946086838247
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.2,0.89172616023839
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.25,0.912347086453761
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.3,0.928095421120518
1e-05,4,3,8.8e-07,2.6,3.6,40,0.05,0.35,0.940386665660053
