betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,4,3,8.8e-07,4,3.6,20,0,0,0.617465054304985
1e-05,4,3,8.8e-07,4,3.6,20,0,0.05,0.706136837729302
1e-05,4,3,8.8e-07,4,3.6,20,0,0.1,0.768180821429109
1e-05,4,3,8.8e-07,4,3.6,20,0,0.15,0.812890826599516
1e-05,4,3,8.8e-07,4,3.6,20,0,0.2,0.846213000337052
1e-05,4,3,8.8e-07,4,3.6,20,0,0.25,0.871840852877452
1e-05,4,3,8.8e-07,4,3.6,20,0,0.3,0.892087560985229
1e-05,4,3,8.8e-07,4,3.6,20,0,0.35,0.908434654027374
1e-05,4,3,8.8e-07,4,3.6,20,0,0.4,0.921858288372318
1e-05,4,3,8.8e-07,4,3.6,20,0,0.45,0.933022734324908
1e-05,4,3,8.8e-07,4,3.6,20,0,0.5,0.942396090344358
1e-05,4,3,8.8e-07,4,3.6,20,0,0.55,0.95032037528594
1e-05,4,3,8.8e-07,4,3.6,20,0,0.6,0.957054108544866
1e-05,4,3,8.8e-07,4,3.6,20,0,0.65,0.962798464535129
1e-05,4,3,8.8e-07,4,3.6,20,0,0.7,0.967713752214157
1e-05,4,3,8.8e-07,4,3.6,20,0,0.75,0.97192999665185
1e-05,4,3,8.8e-07,4,3.6,20,0,0.8,0.975554107717166
1e-05,4,3,8.8e-07,4,3.6,20,0,0.85,0.978674872601085
1e-05,4,3,8.8e-07,4,3.6,20,0,0.9,0.981366606630629
1e-05,4,3,8.8e-07,4,3.6,20,0,0.95,0.98369185178808
1e-05,4,3,8.8e-07,4,3.6,20,0,1,0.985703475302034
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0,0.579279225157115
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.05,0.680565024136337
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.1,0.750653764319
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.15,0.800448384314851
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.2,0.837057442457404
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.25,0.8648849508939
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.3,0.886661598202571
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.35,0.904114001072857
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.4,0.918364285990671
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.45,0.930165356952819
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.5,0.940040621048504
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.55,0.948367587367109
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.6,0.955428445798398
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.65,0.96144092977849
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.7,0.966577368734048
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.75,0.970976876476919
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.8,0.974753402372031
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.85,0.978001297043686
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.9,0.980799308787087
1e-05,4,3,8.8e-07,4,3.6,20,0.05,0.95,0.983213579403851
1e-05,4,3,8.8e-07,4,3.6,20,0.05,1,NA
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0,0.535026832209023
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.05,0.651124905811515
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.1,0.730760330930828
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.15,0.786541188976161
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.2,0.826967414683305
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.25,0.857309425159202
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.3,0.880807630134811
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.35,0.899485992042399
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.4,0.914641896149494
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.45,0.927133566440236
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.5,0.937549176363643
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.55,0.946307243050847
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.6,0.953716924149338
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.65,0.960014438363055
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.7,0.965385384243254
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.75,0.969978801162397
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.8,0.973916268127022
1e-05,4,3,8.8e-07,4,3.6,20,0.1,0.85,0.977298140578062
