betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0,0.726891988447225
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.05,0.804825228236458
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.1,0.853070126500488
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.15,0.885309936361065
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.2,0.908108209311102
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.25,0.924890543223629
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.3,0.937616475332196
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.35,0.947498603742815
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.4,0.955326851747571
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.45,0.961631834437192
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.5,0.966779255044334
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.55,0.971028173034932
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.6,0.974567364664499
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.65,0.977537961658894
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.7,0.980047804590118
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.75,0.98218074360287
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.8,0.984002889425803
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.85,0.985566944718747
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.9,0.986915297675535
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,0.95,0.988082296043905
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0,1,0.989095947697543
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0,0.638518532343833
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.05,0.747001459825566
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.1,0.812932576413509
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.15,0.856002478801591
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.2,0.885833757985064
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.25,0.90741581952198
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.3,0.923558941446498
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.35,0.93596585917689
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.4,0.945719446818976
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.45,0.953530674400342
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.5,0.959880224954796
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.55,0.965103544519127
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.6,0.969442251305403
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.65,0.973075395631213
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.7,0.976138842953142
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.75,0.978737662848386
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.8,0.980954331328312
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.85,0.982854358606994
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.9,0.984490272399405
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,0.95,0.985904522838372
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.05,1,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0,0.526609608165457
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.05,0.672804436963331
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.1,0.761884087732736
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.15,0.81925882321221
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.2,0.858300376642306
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.25,0.886077106531507
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.3,0.906562893139558
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.35,0.922133248405419
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.4,0.934269962391816
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.45,0.943926746857109
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.5,0.951737091689179
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.55,0.958136559523681
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.6,0.96343508546209
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.65,0.967860092062449
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.7,0.971582769559613
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.75,0.974734644013194
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.8,0.977418414408744
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.85,0.979715296679507
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.9,0.981690178452529
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,0.95,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.1,1,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0,0.393952368473219
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.05,0.580628126318304
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.1,0.697970632869095
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.15,0.773539010741677
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.2,0.824391604113543
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.25,0.860073858250805
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.3,0.886047196441534
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.35,0.905570117470279
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.4,0.920651912522842
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.45,0.932567054938687
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.5,0.942149863174293
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.55,0.949966387018752
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.6,0.956414615358014
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.65,0.961783594622167
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.7,0.966289001490794
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.75,0.970095342642654
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.8,0.973330282807281
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.85,0.976094278532932
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.9,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,0.95,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.15,1,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0,0.249343452870738
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.05,0.471411120188842
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.1,0.619998464047717
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.15,0.71746101830504
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.2,0.782971786766466
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.25,0.828545881122807
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.3,0.861371421123122
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.35,0.885796694130143
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.4,0.904500312567983
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.45,0.919168820274102
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.5,0.930895489274581
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.55,0.940414144763842
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.6,0.948235284283637
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.65,0.95472596286459
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.7,0.960157636927554
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.75,0.964735758130627
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.8,0.968618733892986
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.85,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.9,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,0.95,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.2,1,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0,0.105281679330551
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.05,0.349465716506485
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.1,0.52820326724878
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.15,0.6501229665923
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.2,0.733028547852605
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.25,0.790636082265409
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.3,0.831863856321503
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.35,0.862296769888585
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.4,0.88541747004734
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.45,0.903422154034293
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.5,0.917729003924493
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.55,0.929283360228968
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.6,0.938737354661168
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.65,0.94655574648819
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.7,0.953079340900289
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.75,0.958564106034783
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.8,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.85,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.9,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,0.95,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.25,1,NA
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0,-0.0402150207619541
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.05,0.222024871556479
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.1,0.424765303377388
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.15,0.571478518107425
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.2,0.673867981591006
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.25,0.745584946931978
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.3,0.796866857081325
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.35,0.834539754296193
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.4,0.86298389678274
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.45,0.884995556373462
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.5,0.902386375541142
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.55,0.916361433533562
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.6,0.927747672163042
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.65,0.937130358346855
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.7,0.944935522210176
1e-05,6.1,2.4,2.7e-06,6.1,2.4,40,0.3,0.75,NA
