betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0,0.726463353444464
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.05,0.804096541567608
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.1,0.852310505253394
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.15,0.884542734342728
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.2,0.907384575073253
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.25,0.924285292373721
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.3,0.937171019878969
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.35,0.947204234689981
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.4,0.955145023266978
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.45,0.961520435599414
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.5,0.966706232957532
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.55,0.970973600382397
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.6,0.974520591095018
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.65,0.977494239319209
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.7,0.98000574743506
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.75,0.982140747815391
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.8,0.983966261039827
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.85,0.985535442386181
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.9,0.986890914898444
1e-05,6.1,3.6,1e-05,4,3.6,40,0,0.95,0.988067155325382
1e-05,6.1,3.6,1e-05,4,3.6,40,0,1,0.98909223968241
1e-05,6.1,3.6,1e-05,4,3.6,40,0.05,0,0.293808066939402
1e-05,6.1,3.6,1e-05,4,3.6,40,0.05,0.05,0.483208316699928
1e-05,6.1,3.6,1e-05,4,3.6,40,0.05,0.1,0.617026199248304
1e-05,6.1,3.6,1e-05,4,3.6,40,0.05,0.15,0.709334591991992
