betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3,1e-05,2.6,3,1,0,0,0.14443040439264
1e-05,6.1,3,1e-05,2.6,3,1,0,0.05,0.259375319948124
1e-05,6.1,3,1e-05,2.6,3,1,0,0.1,0.368843176016976
1e-05,6.1,3,1e-05,2.6,3,1,0,0.15,0.45892764764205
1e-05,6.1,3,1e-05,2.6,3,1,0,0.2,0.530044882139416
1e-05,6.1,3,1e-05,2.6,3,1,0,0.25,0.586402671825046
1e-05,6.1,3,1e-05,2.6,3,1,0,0.3,0.631832066125112
1e-05,6.1,3,1e-05,2.6,3,1,0,0.35,0.668969282965724
1e-05,6.1,3,1e-05,2.6,3,1,0,0.4,0.699642573661821
1e-05,6.1,3,1e-05,2.6,3,1,0,0.45,0.72522664034793
1e-05,6.1,3,1e-05,2.6,3,1,0,0.5,0.746774606757592
1e-05,6.1,3,1e-05,2.6,3,1,0,0.55,0.765116638536826
1e-05,6.1,3,1e-05,2.6,3,1,0,0.6,0.780930959575204
1e-05,6.1,3,1e-05,2.6,3,1,0,0.65,0.794769680086478
1e-05,6.1,3,1e-05,2.6,3,1,0,0.7,0.807066077633619
1e-05,6.1,3,1e-05,2.6,3,1,0,0.75,0.818148278640246
1e-05,6.1,3,1e-05,2.6,3,1,0,0.8,0.828263273140066
1e-05,6.1,3,1e-05,2.6,3,1,0,0.85,0.837602001438513
1e-05,6.1,3,1e-05,2.6,3,1,0,0.9,0.846316161308682
1e-05,6.1,3,1e-05,2.6,3,1,0,0.95,0.854525373929204
1e-05,6.1,3,1e-05,2.6,3,1,0,1,0.862319721125591
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0,0.00442822325423532
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.05,0.014846596042093
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.1,0.0314074379721153
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.15,0.056187054577042
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.2,0.0907298799954738
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.25,0.135250342438947
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.3,0.188194906963448
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.35,0.246595796700556
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.4,0.307023825302899
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.45,0.366482430080729
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.5,0.422816115265695
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.55,0.474698282373982
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.6,0.521456812210694
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.65,0.562904001683804
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.7,0.599208537117396
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.75,0.630789944045417
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.8,0.658218459912487
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.85,0.682122112356928
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.9,0.703112322971166
1e-05,6.1,3,1e-05,2.6,3,1,0.05,0.95,0.721735815564108
1e-05,6.1,3,1e-05,2.6,3,1,0.05,1,NA
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0,-0.448751950584833
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.05,-0.258161673327419
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.1,-0.099280086080385
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.15,0.00704290882633603
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.2,0.0142110240740402
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.25,0.0238393898070196
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.3,0.0364730010453058
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.35,0.0526329581414339
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.4,0.07274237107343
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.45,0.0970413571386544
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.5,0.125510166492459
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.55,0.157824992374089
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.6,0.1933664997857
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.65,0.23128607240949
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.7,0.270614290721844
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.75,0.310382171189151
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.8,0.349724910027981
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.85,0.387948236426261
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.9,0.424553395348415
1e-05,6.1,3,1e-05,2.6,3,1,0.1,0.95,NA
1e-05,6.1,3,1e-05,2.6,3,1,0.1,1,NA
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0,-0.667431923366549
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.05,-0.549225025277005
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.1,-0.407161191304024
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.15,-0.28232219523682
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.2,-0.1590704222607
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.25,-0.0554173932729203
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.3,0.00844485428507731
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.35,0.013826697916751
1e-05,6.1,3,1e-05,2.6,3,1,0.15,0.4,0.0204782107952615
