betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3,1e-05,4,3,20,0,0,0.616595324363809
1e-05,6.1,3,1e-05,4,3,20,0,0.05,0.716712634189254
1e-05,6.1,3,1e-05,4,3,20,0,0.1,0.780956851000327
1e-05,6.1,3,1e-05,4,3,20,0,0.15,0.824715791108195
1e-05,6.1,3,1e-05,4,3,20,0,0.2,0.856185267437404
1e-05,6.1,3,1e-05,4,3,20,0,0.25,0.879897006935576
1e-05,6.1,3,1e-05,4,3,20,0,0.3,0.898404207168866
1e-05,6.1,3,1e-05,4,3,20,0,0.35,0.913203845910264
1e-05,6.1,3,1e-05,4,3,20,0,0.4,0.925233330836485
1e-05,6.1,3,1e-05,4,3,20,0,0.45,0.935129397287306
1e-05,6.1,3,1e-05,4,3,20,0,0.5,0.943354287436769
1e-05,6.1,3,1e-05,4,3,20,0,0.55,0.95025413343071
1e-05,6.1,3,1e-05,4,3,20,0,0.6,0.956090355451526
1e-05,6.1,3,1e-05,4,3,20,0,0.65,0.961061711765373
1e-05,6.1,3,1e-05,4,3,20,0,0.7,0.965321201691524
1e-05,6.1,3,1e-05,4,3,20,0,0.75,0.968988654752382
1e-05,6.1,3,1e-05,4,3,20,0,0.8,0.972159611195136
1e-05,6.1,3,1e-05,4,3,20,0,0.85,0.974911469381493
1e-05,6.1,3,1e-05,4,3,20,0,0.9,0.977307726170319
1e-05,6.1,3,1e-05,4,3,20,0,0.95,0.979400997793461
1e-05,6.1,3,1e-05,4,3,20,0,1,0.981235184230974
1e-05,6.1,3,1e-05,4,3,20,0.05,0,0.162726918745869
1e-05,6.1,3,1e-05,4,3,20,0.05,0.05,0.319550426728712
1e-05,6.1,3,1e-05,4,3,20,0.05,0.1,0.459068628191864
1e-05,6.1,3,1e-05,4,3,20,0.05,0.15,0.570506938791465
1e-05,6.1,3,1e-05,4,3,20,0.05,0.2,0.655482717893733
1e-05,6.1,3,1e-05,4,3,20,0.05,0.25,0.719529305581893
1e-05,6.1,3,1e-05,4,3,20,0.05,0.3,0.768039651386975
1e-05,6.1,3,1e-05,4,3,20,0.05,0.35,0.805274451121821
1e-05,6.1,3,1e-05,4,3,20,0.05,0.4,0.834372125529556
1e-05,6.1,3,1e-05,4,3,20,0.05,0.45,0.857563426853224
1e-05,6.1,3,1e-05,4,3,20,0.05,0.5,0.876399747356122
1e-05,6.1,3,1e-05,4,3,20,0.05,0.55,0.891952266997653
1e-05,6.1,3,1e-05,4,3,20,0.05,0.6,0.904966871050224
1e-05,6.1,3,1e-05,4,3,20,0.05,0.65,0.915973915960543
1e-05,6.1,3,1e-05,4,3,20,0.05,0.7,0.92536109335476
1e-05,6.1,3,1e-05,4,3,20,0.05,0.75,0.933420284765626
1e-05,6.1,3,1e-05,4,3,20,0.05,0.8,0.940377203183349
1e-05,6.1,3,1e-05,4,3,20,0.05,0.85,0.946410453525049
1e-05,6.1,3,1e-05,4,3,20,0.05,0.9,0.951663924956316
1e-05,6.1,3,1e-05,4,3,20,0.05,0.95,0.956255169220799
1e-05,6.1,3,1e-05,4,3,20,0.05,1,NA
1e-05,6.1,3,1e-05,4,3,20,0.1,0,-0.200028116183637
1e-05,6.1,3,1e-05,4,3,20,0.1,0.05,0.02346134745081
1e-05,6.1,3,1e-05,4,3,20,0.1,0.1,0.138012115687135
1e-05,6.1,3,1e-05,4,3,20,0.1,0.15,0.247290826122755
1e-05,6.1,3,1e-05,4,3,20,0.1,0.2,0.354274551987322
1e-05,6.1,3,1e-05,4,3,20,0.1,0.25,0.451492224078404
1e-05,6.1,3,1e-05,4,3,20,0.1,0.3,0.53535747855626
1e-05,6.1,3,1e-05,4,3,20,0.1,0.35,0.605504247162825
1e-05,6.1,3,1e-05,4,3,20,0.1,0.4,0.663336112110369
1e-05,6.1,3,1e-05,4,3,20,0.1,0.45,0.710855279981957
1e-05,6.1,3,1e-05,4,3,20,0.1,0.5,0.750024020139332
1e-05,6.1,3,1e-05,4,3,20,0.1,0.55,0.782517188453625
1e-05,6.1,3,1e-05,4,3,20,0.1,0.6,0.809678577333393
1e-05,6.1,3,1e-05,4,3,20,0.1,0.65,0.83255845311087
1e-05,6.1,3,1e-05,4,3,20,0.1,0.7,0.851971509730088
1e-05,6.1,3,1e-05,4,3,20,0.1,0.75,0.868551460950341
1e-05,6.1,3,1e-05,4,3,20,0.1,0.8,0.882795153856697
1e-05,6.1,3,1e-05,4,3,20,0.1,0.85,0.895096058724487
1e-05,6.1,3,1e-05,4,3,20,0.1,0.9,0.905769087719608
1e-05,6.1,3,1e-05,4,3,20,0.1,0.95,NA
1e-05,6.1,3,1e-05,4,3,20,0.1,1,NA
1e-05,6.1,3,1e-05,4,3,20,0.15,0,-0.501006846096538
1e-05,6.1,3,1e-05,4,3,20,0.15,0.05,-0.315881176615134
1e-05,6.1,3,1e-05,4,3,20,0.15,0.1,-0.122123867046758
1e-05,6.1,3,1e-05,4,3,20,0.15,0.15,0.0353593634250497
1e-05,6.1,3,1e-05,4,3,20,0.15,0.2,0.123568041950447
1e-05,6.1,3,1e-05,4,3,20,0.15,0.25,0.205105907249417
1e-05,6.1,3,1e-05,4,3,20,0.15,0.3,0.287452561868527
1e-05,6.1,3,1e-05,4,3,20,0.15,0.35,0.366922783256757
1e-05,6.1,3,1e-05,4,3,20,0.15,0.4,0.440832552104042
1e-05,6.1,3,1e-05,4,3,20,0.15,0.45,0.507675822144839
1e-05,6.1,3,1e-05,4,3,20,0.15,0.5,0.56695275562036
1e-05,6.1,3,1e-05,4,3,20,0.15,0.55,0.61885473166582
1e-05,6.1,3,1e-05,4,3,20,0.15,0.6,0.663962220998063
1e-05,6.1,3,1e-05,4,3,20,0.15,0.65,0.703022682926184
1e-05,6.1,3,1e-05,4,3,20,0.15,0.7,0.736812133777275
1e-05,6.1,3,1e-05,4,3,20,0.15,0.75,0.766061570664508
1e-05,6.1,3,1e-05,4,3,20,0.15,0.8,0.791424649538587
1e-05,6.1,3,1e-05,4,3,20,0.15,0.85,0.813468837132843
1e-05,6.1,3,1e-05,4,3,20,0.15,0.9,NA
1e-05,6.1,3,1e-05,4,3,20,0.15,0.95,NA
1e-05,6.1,3,1e-05,4,3,20,0.15,1,NA
1e-05,6.1,3,1e-05,4,3,20,0.2,0,-0.639906081589596
1e-05,6.1,3,1e-05,4,3,20,0.2,0.05,-0.525556751948947
1e-05,6.1,3,1e-05,4,3,20,0.2,0.1,-0.384291780173691
1e-05,6.1,3,1e-05,4,3,20,0.2,0.15,-0.227044505506245
1e-05,6.1,3,1e-05,4,3,20,0.2,0.2,-0.0792153920156766
1e-05,6.1,3,1e-05,4,3,20,0.2,0.25,0.039758585014124
1e-05,6.1,3,1e-05,4,3,20,0.2,0.3,0.113582672104993
1e-05,6.1,3,1e-05,4,3,20,0.2,0.35,0.178555293153086
1e-05,6.1,3,1e-05,4,3,20,0.2,0.4,0.245086124053797
1e-05,6.1,3,1e-05,4,3,20,0.2,0.45,0.311188129482743
1e-05,6.1,3,1e-05,4,3,20,0.2,0.5,0.375132500031396
