betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0,0.726397946326554
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.05,0.805050750215312
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.1,0.853451399227076
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.15,0.885642365017043
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.2,0.908347080155979
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.25,0.925068816845872
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.3,0.937775318264168
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.35,0.947655750399752
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.4,0.95547931018663
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.45,0.961769536338054
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.5,0.966893901925046
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.55,0.971115715247227
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.6,0.974627291814681
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.65,0.977571957993976
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.7,0.980058629768905
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.75,0.982171532960987
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.8,0.983976791455613
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.85,0.985526962893126
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.9,0.986864247887979
1e-05,6.1,3,1e-05,6.1,2.4,40,0,0.95,0.988022820737663
1e-05,6.1,3,1e-05,6.1,2.4,40,0,1,0.989030543303004
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0,0.335779123485234
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.05,0.519532253292654
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.1,0.645192777833801
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.15,0.730314965843455
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.2,0.789257915343066
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.25,0.831310814507899
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.3,0.862222093892478
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.35,0.885579171693639
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.4,0.903664618828801
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.45,0.917962737096414
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.5,0.929463317565169
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.55,0.938845460433514
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.6,0.946588970886993
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.65,0.953042397981357
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.7,0.958465268094
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.75,0.963054907002109
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.8,0.966964006745108
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.85,0.970312404571421
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.9,0.97319526172165
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,0.95,0.975688895947664
1e-05,6.1,3,1e-05,6.1,2.4,40,0.05,1,NA
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0,-0.056391401977225
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.05,0.155500914555284
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.1,0.326358741061856
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.15,0.466883825488107
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.2,0.576258114843306
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.25,0.659484088967545
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.3,0.722675758575673
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.35,0.771079442462432
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.4,0.808663311667453
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.45,0.838282695579783
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.5,0.861962111057323
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.55,0.88114123862641
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.6,0.896856094554524
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.65,0.909863957244216
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.7,0.920727721723717
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.75,0.929872528166034
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.8,0.937624335402965
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.85,0.944236394933504
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.9,0.949907817829241
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,0.95,NA
1e-05,6.1,3,1e-05,6.1,2.4,40,0.1,1,NA
1e-05,6.1,3,1e-05,6.1,2.4,40,0.15,0,-0.355608875684776
1e-05,6.1,3,1e-05,6.1,2.4,40,0.15,0.05,-0.152181338359336
1e-05,6.1,3,1e-05,6.1,2.4,40,0.15,0.1,0.0384108205728074
