betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0,0.146002364301223
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.05,0.25519230691023
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.1,0.36040252126503
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.15,0.449598241100389
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.2,0.521733531553771
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.25,0.578821593193345
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.3,0.624435056661701
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.35,0.661907007491534
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.4,0.693322345793064
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.45,0.719856272317544
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.5,0.742301608333573
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.55,0.761319792425975
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.6,0.777509367009356
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.65,0.791420649716394
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.7,0.803556019571392
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.75,0.81435530114512
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.8,0.824176497554954
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.85,0.833287645225816
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.9,0.84187410682341
1e-05,6.1,3,2.7e-06,4,3.6,1,0,0.95,0.850054881581848
1e-05,6.1,3,2.7e-06,4,3.6,1,0,1,0.857900700287134
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0,0.0753779905091293
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.05,0.154702897126649
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.1,0.250900200166424
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.15,0.346322297287892
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.2,0.430629034254854
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.25,0.500312528490684
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.3,0.55686176756691
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.35,0.60350012145268
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.4,0.642730999344531
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.45,0.676018942995049
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.5,0.704255097883713
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.55,0.728123178332621
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.6,0.748261740052517
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.65,0.765312945295247
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.7,0.77991168443694
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.75,0.792642215309522
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.8,0.803994423765547
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.85,0.814344455422623
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.9,0.823960584678319
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,0.95,0.833023178489606
1e-05,6.1,3,2.7e-06,4,3.6,1,0.05,1,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0,0.0371839816242403
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.05,0.086626820522625
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.1,0.159346240533251
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.15,0.245635609618388
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.2,0.332511468588989
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.25,0.41079438014876
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.3,0.477579153878829
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.35,0.533996579552295
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.4,0.582016460809914
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.45,0.623100838823451
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.5,0.658174306132751
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.55,0.687910560450039
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.6,0.712951741653393
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.65,0.734001842051069
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.7,0.751813013190171
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.75,0.767112005841332
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.8,0.78052769451032
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.85,0.792555805738402
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.9,0.803560574028588
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,0.95,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.1,1,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0,0.0176569768098658
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.05,0.0469686145640997
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.1,0.0955001942831026
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.15,0.162405545308172
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.2,0.240001733929979
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.25,0.318451425721968
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.3,0.391093064972196
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.35,0.455610686290463
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.4,0.512103051989533
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.45,0.561283063203824
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.5,0.603784264674079
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.55,0.640127293855139
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.6,0.670872585093902
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.65,0.696722453251542
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.7,0.718500530448545
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.75,0.737048668954
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.8,0.753123058107401
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.85,0.767338530315064
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.9,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,0.95,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.15,1,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0,0.0073961399160026
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.05,0.0250194957236184
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.1,0.0558036887450276
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.15,0.102638578656736
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.2,0.163918736731093
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.25,0.233708155145276
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.3,0.305120390466102
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.35,0.373314128592872
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.4,0.435942455686826
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.45,0.492176983190145
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.5,0.541818782208212
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.55,0.584931708607144
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.6,0.621817129119621
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.65,0.653053660285754
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.7,0.679445660205246
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.75,0.701886528107477
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.8,0.721221124523576
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.85,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.9,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,0.95,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.2,1,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0,0.00166699407511414
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.05,0.01269375122434
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.1,0.0322116434160873
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.15,0.0634997264681595
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.2,0.108074273492651
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.25,0.164274859259893
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.3,0.227808292800602
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.35,0.293782767913341
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.4,0.358327287989526
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.45,0.418958598588865
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.5,0.47423908482806
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.55,0.523417696218961
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.6,0.566279542511259
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.65,0.603091221507856
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.7,0.63449386526604
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.75,0.661325736259504
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.8,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.85,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.9,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,0.95,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.25,1,NA
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0,-0.172998197649802
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.05,0.00547467074892205
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.1,0.0181648033909064
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.15,0.0389371166977844
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.2,0.0700790175621583
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.25,0.112383263901083
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.3,0.164454772338237
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.35,0.22315316344071
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.4,0.284757657720573
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.45,0.345939216032319
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.5,0.404156579398797
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.55,0.45768919301037
1e-05,6.1,3,2.7e-06,4,3.6,1,0.3,0.6,0.505585259061453
