betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0,0.616919596066075
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.05,0.716156355752126
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.1,0.780264891895708
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.15,0.824183267593451
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.2,0.85590868809885
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.25,0.87979348187293
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.3,0.898341961756514
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.35,0.913093724254701
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.4,0.92505451686486
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.45,0.93490748162091
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.5,0.943127357831765
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.55,0.950051860928505
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.6,0.955928442267269
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.65,0.960944358788917
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.7,0.965245499775073
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.75,0.96894818082837
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.8,0.972146725598374
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.85,0.974918554794306
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.9,0.977327754119171
1e-05,6.1,3,2.7e-06,6.1,3,20,0,0.95,0.979427693328194
1e-05,6.1,3,2.7e-06,6.1,3,20,0,1,0.981262998434119
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0,0.516325461201843
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.05,0.645323429118141
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.1,0.729330504915027
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.15,0.786199694823931
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.2,0.826576778038374
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.25,0.856442273363547
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.3,0.879269848044889
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.35,0.89719184791673
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.4,0.911583884726008
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.45,0.923360535987876
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.5,0.933141708879082
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.55,0.941357834694776
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.6,0.948317742593676
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.65,0.954251248977054
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.7,0.959335175368677
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.75,0.963709264195061
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.8,0.967486187583474
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.85,0.970758077036728
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.9,0.973601017060939
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,0.95,0.97607828088259
1e-05,6.1,3,2.7e-06,6.1,3,20,0.05,1,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0,0.401111741853567
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.05,0.55920221147278
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.1,0.666566808860591
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.15,0.739597719815626
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.2,0.790971092157705
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.25,0.828437442908329
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.3,0.856651729315449
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.35,0.878508856745645
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.4,0.895873092508082
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.45,0.909968204238043
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.5,0.921608494363563
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.55,0.931347983330938
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.6,0.93957639547369
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.65,0.94657866534416
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.7,0.95257087418828
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.75,0.957721892307796
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.8,0.962166783845838
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.85,0.966015362091154
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.9,0.969357970459371
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,0.95,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.1,1,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0,0.281658027328176
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.05,0.460111363823296
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.1,0.591395984986643
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.15,0.683210099069283
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.2,0.748000547685208
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.25,0.794903055980143
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.3,0.829818224380248
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.35,0.8565393731992
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.4,0.87753826432787
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.45,0.894434316827546
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.5,0.908294667346752
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.55,0.919835162535306
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.6,0.929551243763813
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.65,0.937799192069561
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.7,0.944845123898399
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.75,0.950894402455718
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.8,0.956109629206619
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.85,0.96062203044141
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.9,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,0.95,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.15,1,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0,0.170471235564429
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.05,0.354093832390457
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.1,0.505132525466779
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.15,0.616609524929525
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.2,0.696817592965375
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.25,0.755012853470579
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.3,0.798081027058553
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.35,0.83074045772529
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.4,0.856157773791339
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.45,0.876430446992825
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.5,0.892941194165732
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.55,0.906611706228315
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.6,0.91807295407204
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.65,0.927772547530748
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.7,0.936040099700002
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.75,0.943126660208759
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.8,0.949228803930465
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.85,NA
1e-05,6.1,3,2.7e-06,6.1,3,20,0.2,0.9,NA
