betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
1e-05,6.1,3,8.8e-07,4,3,20,0,0,0.61594261472907
1e-05,6.1,3,8.8e-07,4,3,20,0,0.05,0.708561283447608
1e-05,6.1,3,8.8e-07,4,3,20,0,0.1,0.771849836705555
1e-05,6.1,3,8.8e-07,4,3,20,0,0.15,0.816690520663126
1e-05,6.1,3,8.8e-07,4,3,20,0,0.2,0.849680403841341
1e-05,6.1,3,8.8e-07,4,3,20,0,0.25,0.874817818256778
1e-05,6.1,3,8.8e-07,4,3,20,0,0.3,0.894557483294515
1e-05,6.1,3,8.8e-07,4,3,20,0,0.35,0.910433651002255
1e-05,6.1,3,8.8e-07,4,3,20,0,0.4,0.923433888208188
1e-05,6.1,3,8.8e-07,4,3,20,0,0.45,0.934218917969223
1e-05,6.1,3,8.8e-07,4,3,20,0,0.5,0.943250405403189
1e-05,6.1,3,8.8e-07,4,3,20,0,0.55,0.95086539697438
1e-05,6.1,3,8.8e-07,4,3,20,0,0.6,0.957319931816119
1e-05,6.1,3,8.8e-07,4,3,20,0,0.65,0.962814555517976
1e-05,6.1,3,8.8e-07,4,3,20,0,0.7,0.967509598481835
1e-05,6.1,3,8.8e-07,4,3,20,0,0.75,0.971534875986049
1e-05,6.1,3,8.8e-07,4,3,20,0,0.8,0.974996443670426
1e-05,6.1,3,8.8e-07,4,3,20,0,0.85,0.977981511293279
1e-05,6.1,3,8.8e-07,4,3,20,0,0.9,0.980562286008472
1e-05,6.1,3,8.8e-07,4,3,20,0,0.95,0.982798873901655
1e-05,6.1,3,8.8e-07,4,3,20,0,1,0.984741567114954
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0,0.569432152738836
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.05,0.677400870237994
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.1,0.750358415033108
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.15,0.801294194947743
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.2,0.838232045248539
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.25,0.866012179285923
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.3,0.887590307690171
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.35,0.904798720956131
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.4,0.918801832196183
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.45,0.930366493206338
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.5,0.940019435315223
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.55,0.948138828736203
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.6,0.955007842897242
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.65,0.960845950279398
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.7,0.9658274341755
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.75,0.970092827367006
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.8,0.973756594021837
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.85,0.976912632934578
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.9,0.979638502938663
1e-05,6.1,3,8.8e-07,4,3,20,0.05,0.95,0.981998619189661
1e-05,6.1,3,8.8e-07,4,3,20,0.05,1,NA
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0,0.515163538392879
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.05,0.641134346294174
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.1,0.725686065842915
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.15,0.783880059573285
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.2,0.825464893965424
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.25,0.856314096403215
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.3,0.879994560271066
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.35,0.89870272834457
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.4,0.913818992632023
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.45,0.926239039152344
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.5,0.936567859746134
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.55,0.94523246862012
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.6,0.95254764526997
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.65,0.958754420801107
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.7,0.964042657892815
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.75,0.968564706983096
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.8,0.972444231099582
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.85,0.975782427707167
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.9,0.978662664251901
1e-05,6.1,3,8.8e-07,4,3,20,0.1,0.95,NA
1e-05,6.1,3,8.8e-07,4,3,20,0.1,1,NA
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0,0.452301775737471
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.05,0.598774403465918
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.1,0.69719843574461
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.15,0.764070612981464
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.2,0.811151122857376
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.25,0.84558419905673
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.3,0.871683523492551
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.35,0.892090083482647
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.4,0.908448299730773
1e-05,6.1,3,8.8e-07,4,3,20,0.15,0.45,0.921810729402775
