betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0,0.730891671846115
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.05,0.799937832080479
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.1,0.846274389575959
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.15,0.878837223767327
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.2,0.902652893052842
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.25,0.920646950146512
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.3,0.934595191486114
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.35,0.945623469922152
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.4,0.954476936511792
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.45,0.961669109826263
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.5,0.967566627885088
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.55,0.972439294866195
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.6,0.976490612232478
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.65,0.979877144251327
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.7,0.98272129941695
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.75,0.98511996291839
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.8,0.987150612985325
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.85,0.988875695312614
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.9,0.990345893982692
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,0.95,0.991602597940991
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0,1,0.992679782461251
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0,0.5818572789413
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.05,0.694558768120377
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.1,0.770295933944643
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.15,0.822381130072389
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.2,0.859427852556998
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.25,0.886674542164834
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.3,0.907309925066467
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.35,0.923322260668148
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.4,0.935992824361254
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.45,0.946176810903336
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.5,0.954464968981202
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.55,0.961278485766967
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.6,0.966926110214405
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.65,0.971639718668806
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.7,0.975596923079764
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.75,0.978936032567727
2.7e-06,2.6,3.6,1e-05,4,2.4,40,0.05,0.8,0.981766185537612
