betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0,0.825218260519254
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.05,0.872689520741724
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.1,0.904088166283227
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.15,0.925871749722834
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.2,0.941569907016713
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.25,0.953225973568762
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.3,0.962087394256804
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.35,0.968952480509207
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.4,0.974353279341278
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.45,0.978656660891111
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.5,0.982122870556489
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.55,0.984940917364193
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.6,0.987250730733723
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.65,0.989157605973058
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.7,0.99074187193952
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.75,0.992065566660202
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.8,0.99317713399025
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.85,0.994114796366598
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.9,0.994908986860935
2.7e-06,2.6,3,1e-05,2.6,3,80,0,0.95,0.99558414862824
2.7e-06,2.6,3,1e-05,2.6,3,80,0,1,0.996160060129863
2.7e-06,2.6,3,1e-05,2.6,3,80,0.05,0,0.718848221805747
2.7e-06,2.6,3,1e-05,2.6,3,80,0.05,0.05,0.800037499418246
2.7e-06,2.6,3,1e-05,2.6,3,80,0.05,0.1,0.852407975590071
2.7e-06,2.6,3,1e-05,2.6,3,80,0.05,0.15,0.887807141620683
2.7e-06,2.6,3,1e-05,2.6,3,80,0.05,0.2,0.912711805165251
2.7e-06,2.6,3,1e-05,2.6,3,80,0.05,0.25,0.930820663094183
