betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0,0.727585804206204
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.05,0.831504795618378
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.1,0.882034771063272
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.15,0.911575424167321
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.2,0.930881697548666
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.25,0.944425289709442
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.3,0.954390272109853
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.35,0.961975156181236
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.4,0.967897214161573
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.45,0.972614131984094
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.5,0.976431914097122
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.55,0.979562865626548
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.6,0.982159024943842
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.65,0.984332193114964
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.7,0.986166449017855
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.75,0.987726195713444
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.8,0.989061522159588
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.85,0.99021184763565
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.9,0.991208473218415
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,0.95,0.992076459515924
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0,1,0.992836012957424
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0,0.603120523487005
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.05,0.766370175903702
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.1,0.841877575191755
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.15,0.883890849491672
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.2,0.910419314183518
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.25,0.928609730616189
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.3,0.941790766760313
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.35,0.951718273188973
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.4,0.959411390333572
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.45,0.965504764227097
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.5,0.970414647222601
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.55,0.974425898710195
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.6,0.977740630570309
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.65,0.980506561752266
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.7,0.982834293809805
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.75,0.984808268366506
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.8,0.986493936780077
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.85,0.987942626282978
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.9,0.98919494896722
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,0.95,0.990283298583929
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.05,1,NA
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0,0.433207862927902
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.05,0.677238377433477
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.1,0.789588250982439
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.15,0.849259241581676
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.2,0.885507263741988
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.25,0.909691305709571
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.3,0.92688705951897
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.35,0.939670480966125
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.4,0.94948777163279
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.45,0.957213963024417
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.5,0.963409772533034
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.55,0.968452392120963
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.6,0.972606216945773
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.65,0.976062842327532
2.7e-06,2.6,3,1e-05,6.1,3.6,40,0.1,0.7,0.978964850080505
