betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0,0.735784290189496
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.05,0.788423540934152
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.1,0.829074533223263
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.15,0.860698926743759
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.2,0.885563328093781
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.25,0.905343863699998
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.3,0.921262503357974
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.35,0.934208576084204
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.4,0.944833450738863
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.45,0.953619806998573
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.5,0.960930638891609
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.55,0.96704341500544
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.6,0.972173789103078
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.65,0.976492011601898
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.7,0.980134426761778
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.75,0.98321158705662
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.8,0.985814069419532
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.85,0.988016727858401
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.9,0.989881844834598
2.7e-06,4,2.4,1e-05,4,3.6,40,0,0.95,0.991461515327167
2.7e-06,4,2.4,1e-05,4,3.6,40,0,1,0.992799501573871
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0,0.670474409607891
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.05,0.736795969332676
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.1,0.788316857275119
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.15,0.82836149337296
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.2,0.859685950758089
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.25,0.884425545451942
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.3,0.904177973979566
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.35,0.920120248947004
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.4,0.933116633089514
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.45,0.943804780737678
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.5,0.952659893381375
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.55,0.960040878407746
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.6,0.966222956490596
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.65,0.971420490940216
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.7,0.975802979693126
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.75,0.979506319094136
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.8,0.982640800403997
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.85,0.985296874061669
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.9,0.987549357882719
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,0.95,0.989460562413462
2.7e-06,4,2.4,1e-05,4,3.6,40,0.05,1,NA
2.7e-06,4,2.4,1e-05,4,3.6,40,0.1,0,0.591466972336431
