betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0,0.140882496369125
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.05,0.232497338823726
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.1,0.331780178671822
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.15,0.423752042340229
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.2,0.501947936723785
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.25,0.5660052029182
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.3,0.617950652395773
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.35,0.66037449154445
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.4,0.695540230438818
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.45,0.7250648984216
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.5,0.750021780937867
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.55,0.771181378853455
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.6,0.789189818383728
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.65,0.804641466070639
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.7,0.818082971211452
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.75,0.829994334050077
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.8,0.840773194142206
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.85,0.850730186642839
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.9,0.860094011252011
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,0.95,0.869022259261321
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0,1,0.877614403630835
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0.05,0,0.104548307276844
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0.05,0.05,0.186437393080723
2.7e-06,4,2.4,8.8e-07,4,2.4,1,0.05,0.1,0.284380686003497
