betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0,0.822721703509574
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.05,0.870433286287996
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.1,0.902184880105318
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.15,0.924300500013419
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.2,0.940280225552599
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.25,0.952172036925295
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.3,0.961233503858586
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.35,0.968270479685356
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.4,0.97381954554242
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.45,0.978250307333601
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.5,0.981824900567092
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.55,0.984733964403008
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.6,0.987119069698881
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.65,0.989087265041678
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.7,0.990720700116424
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.75,0.992083224925059
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.8,0.993224989846594
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.85,0.994185745546508
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.9,0.99499725155352
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,0.95,0.995685065537436
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0,1,0.996269889483265
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0,0.716428841221986
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.05,0.798523909743593
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.1,0.851442880013394
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.15,0.887155821031095
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.2,0.912244287610378
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.25,0.93047566137728
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.3,0.944098594332452
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.35,0.954511682546109
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.4,0.962619566007514
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.45,0.969028650233745
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.5,0.974158599045865
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.55,0.97830796207315
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.6,0.98169429096781
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.65,0.984479343372035
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.7,0.986785474217798
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.75,0.98870655869241
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.8,0.990315502777587
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.85,0.991669526656002
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.9,0.992813961841305
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,0.95,0.993785032518541
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.05,1,NA
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.1,0,0.547605966917455
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.1,0.05,0.685112995866933
2.7e-06,4,3.6,1e-05,2.6,3.6,80,0.1,0.1,0.772838051683582
