betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0,0.61904214319287
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.05,0.698251635490677
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.1,0.757273839578344
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.15,0.801650305940406
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.2,0.835654764740529
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.25,0.862291115008926
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.3,0.883609423588136
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.35,0.901002002303609
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.4,0.915420612093057
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.45,0.927524999863909
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.5,0.937781969887441
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.55,0.946530858169741
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.6,0.95402602708362
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.65,0.960464518631521
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.7,0.96600363096837
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.75,0.970772302873663
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.8,0.974878389458188
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.85,0.978413419371887
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.9,0.981455853669984
2.7e-06,4,3.6,1e-05,6.1,3,20,0,0.95,0.984073297322316
2.7e-06,4,3.6,1e-05,6.1,3,20,0,1,0.986324210044572
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0,0.484432763675351
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.05,0.589254847104561
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.1,0.67150498198297
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.15,0.734414946641463
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.2,0.782443218208114
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.25,0.819515950641838
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.3,0.848616721571398
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.35,0.871885389757869
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.4,0.890824468137968
2.7e-06,4,3.6,1e-05,6.1,3,20,0.05,0.45,0.906484685109647
