betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0,0.61588235194013
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.05,0.70463793078915
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.1,0.766930107987484
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.15,0.811890227193258
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.2,0.84541209568297
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.25,0.87117949717934
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.3,0.891522727642286
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.35,0.907948153966124
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.4,0.921451030143337
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.45,0.932704555938966
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.5,0.942177573228524
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.55,0.950208154791556
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.6,0.957049192133442
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.65,0.962896571250072
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.7,0.96790643520222
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.75,0.97220617693352
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.8,0.975901406268051
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.85,0.979080722351374
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.9,0.981818990660255
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,0.95,0.984179794813091
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0,1,0.986217261768478
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0,0.552511314753801
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.05,0.659854546379483
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.1,0.734920808438634
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.15,0.788356379869726
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.2,0.827566282284996
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.25,0.857250043300687
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.3,0.880370568179694
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.35,0.898828201861855
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.4,0.913866675410128
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.45,0.926316975236207
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.5,0.936748563165442
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.55,0.945564126175111
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.6,0.953058944904899
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.65,0.959457449622576
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.7,0.964935823959917
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.75,0.969636083327057
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.8,0.973674961928583
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.85,0.977149845489643
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.9,0.980142717883496
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,0.95,0.982723089103204
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.05,1,NA
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0,0.477544367803328
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.05,0.606017209965829
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.1,0.696686473937203
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.15,0.760637037814528
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.2,0.80686938741789
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.25,0.841331102852784
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.3,0.867790394444892
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.35,0.88865120222183
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.4,0.905474571216217
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.45,0.919293214476516
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.5,0.930805103221095
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.55,0.940495155609874
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.6,0.948711994104906
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.65,0.955715410688998
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.7,0.961705901069512
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.75,0.966842786392742
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.8,0.971255713884523
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.85,0.975052018823058
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.9,0.978321658260261
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,0.95,NA
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.1,1,NA
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0,0.391419860700788
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.05,0.541718831140399
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.1,0.650853939249125
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.15,0.727754879159175
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.2,0.782674769789193
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.25,0.822999059445288
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.3,0.853502839577063
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.35,0.877230761471863
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.4,0.896148318544281
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.45,0.911545499946539
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.5,0.924284345663138
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.55,0.934954677354561
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.6,0.943972587532925
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.65,0.95164211918316
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.7,0.958193577868527
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.75,0.963807084149497
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.8,0.968627428496466
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.85,0.97277337526139
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.9,NA
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,0.95,NA
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.15,1,NA
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.2,0,0.297024901656466
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.2,0.05,0.466217913617413
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.2,0.1,0.595973473877658
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.2,0.15,0.688538116908145
2.7e-06,4,3.6,8.8e-07,2.6,3,20,0.2,0.2,0.754179488318446
