betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0,0.818641868652433
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.05,0.866566465211028
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.1,0.898864135840579
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.15,0.921550855360461
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.2,0.938039087870913
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.25,0.950358517796015
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.3,0.959770857552459
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.35,0.967092922374119
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.4,0.972873079685328
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.45,0.977491417078433
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.5,0.98121873543525
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.55,0.984252572449015
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.6,0.98673994093703
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.65,0.988792135554008
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.7,0.990494647622691
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.75,0.991913958027643
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.8,0.993102324435348
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.85,0.994101202675595
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.9,0.994943754559985
2.7e-06,4,3.6,8.8e-07,4,3,80,0,0.95,0.995656700781071
2.7e-06,4,3.6,8.8e-07,4,3,80,0,1,0.996261719141608
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0,0.785957889613315
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.05,0.845333885389783
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.1,0.884405540717882
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.15,0.911309529564345
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.2,0.930547110681614
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.25,0.944732758411077
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.3,0.955456547106408
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.35,0.963727517602764
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.4,0.970211154921359
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.45,0.975361669685691
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.5,0.979498378017679
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.55,0.982851605571425
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.6,0.985591101950084
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.65,0.987844341359298
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.7,0.989708548897682
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.75,0.991258895334614
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.8,0.992554154507101
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.85,0.993640750623654
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.9,0.99455566556738
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,0.95,0.995328594009335
2.7e-06,4,3.6,8.8e-07,4,3,80,0.05,1,NA
2.7e-06,4,3.6,8.8e-07,4,3,80,0.1,0,0.744620526344839
2.7e-06,4,3.6,8.8e-07,4,3,80,0.1,0.05,0.819186535023117
2.7e-06,4,3.6,8.8e-07,4,3,80,0.1,0.1,0.867001539218439
