betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3,1e-05,4,3.6,40,0,0,0.73432710485842
2.7e-06,4,3,1e-05,4,3.6,40,0,0.05,0.79316582603393
2.7e-06,4,3,1e-05,4,3.6,40,0,0.1,0.836161508671643
2.7e-06,4,3,1e-05,4,3.6,40,0,0.15,0.868243090387873
2.7e-06,4,3,1e-05,4,3.6,40,0,0.2,0.892715551452881
2.7e-06,4,3,1e-05,4,3.6,40,0,0.25,0.911770137736719
2.7e-06,4,3,1e-05,4,3.6,40,0,0.3,0.926871841322948
2.7e-06,4,3,1e-05,4,3.6,40,0,0.35,0.939018231008419
2.7e-06,4,3,1e-05,4,3.6,40,0,0.4,0.948904542858076
2.7e-06,4,3,1e-05,4,3.6,40,0,0.45,0.957027800368138
2.7e-06,4,3,1e-05,4,3.6,40,0,0.5,0.963752377499962
2.7e-06,4,3,1e-05,4,3.6,40,0,0.55,0.969351902264128
2.7e-06,4,3,1e-05,4,3.6,40,0,0.6,0.974036299417633
2.7e-06,4,3,1e-05,4,3.6,40,0,0.65,0.977969657965359
2.7e-06,4,3,1e-05,4,3.6,40,0,0.7,0.98128226812133
2.7e-06,4,3,1e-05,4,3.6,40,0,0.75,0.98407890172759
2.7e-06,4,3,1e-05,4,3.6,40,0,0.8,0.986444709672069
2.7e-06,4,3,1e-05,4,3.6,40,0,0.85,0.988449460441409
2.7e-06,4,3,1e-05,4,3.6,40,0,0.9,0.990150712264524
2.7e-06,4,3,1e-05,4,3.6,40,0,0.95,0.991596208109574
2.7e-06,4,3,1e-05,4,3.6,40,0,1,0.992825731234708
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0,0.634790156157657
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.05,0.717348282462772
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.1,0.778171864225631
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.15,0.823316289619645
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.2,0.857343044618938
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.25,0.883459408047354
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.3,0.90386738790227
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.35,0.920076829434283
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.4,0.933134160988063
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.45,0.943777044897412
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.5,0.952536174055356
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.55,0.95980160114224
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.6,0.965866133295371
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.65,0.970954008537248
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.7,0.97524001101654
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.75,0.978862548123886
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.8,0.981932668211622
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.85,0.984540472177749
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.9,0.986759742751763
2.7e-06,4,3,1e-05,4,3.6,40,0.05,0.95,0.988651368101149
2.7e-06,4,3,1e-05,4,3.6,40,0.05,1,NA
2.7e-06,4,3,1e-05,4,3.6,40,0.1,0,0.509194145023628
2.7e-06,4,3,1e-05,4,3.6,40,0.1,0.05,0.617882965004694
