betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3,1e-05,4,3,20,0,0,0.618571618121637
2.7e-06,4,3,1e-05,4,3,20,0,0.05,0.703611485120059
2.7e-06,4,3,1e-05,4,3,20,0,0.1,0.764575584294239
2.7e-06,4,3,1e-05,4,3,20,0,0.15,0.809151056589076
2.7e-06,4,3,1e-05,4,3,20,0,0.2,0.842662924644759
2.7e-06,4,3,1e-05,4,3,20,0,0.25,0.868579716988947
2.7e-06,4,3,1e-05,4,3,20,0,0.3,0.889144021102963
2.7e-06,4,3,1e-05,4,3,20,0,0.35,0.905819517293892
2.7e-06,4,3,1e-05,4,3,20,0,0.4,0.919577832420119
2.7e-06,4,3,1e-05,4,3,20,0,0.45,0.93107944522113
2.7e-06,4,3,1e-05,4,3,20,0,0.5,0.940786839237796
2.7e-06,4,3,1e-05,4,3,20,0,0.55,0.94903520016092
2.7e-06,4,3,1e-05,4,3,20,0,0.6,0.956076151239798
2.7e-06,4,3,1e-05,4,3,20,0,0.65,0.962105111681601
2.7e-06,4,3,1e-05,4,3,20,0,0.7,0.967278228819742
2.7e-06,4,3,1e-05,4,3,20,0,0.75,0.971723267191269
2.7e-06,4,3,1e-05,4,3,20,0,0.8,0.975546504440535
2.7e-06,4,3,1e-05,4,3,20,0,0.85,0.978837461189778
2.7e-06,4,3,1e-05,4,3,20,0,0.9,0.981672080155814
2.7e-06,4,3,1e-05,4,3,20,0,0.95,0.984115121378983
2.7e-06,4,3,1e-05,4,3,20,0,1,0.986221953260367
2.7e-06,4,3,1e-05,4,3,20,0.05,0,0.458107044230394
2.7e-06,4,3,1e-05,4,3,20,0.05,0.05,0.576751461589146
2.7e-06,4,3,1e-05,4,3,20,0.05,0.1,0.667271227929486
2.7e-06,4,3,1e-05,4,3,20,0.05,0.15,0.734403640026782
2.7e-06,4,3,1e-05,4,3,20,0.05,0.2,0.784323144306621
2.7e-06,4,3,1e-05,4,3,20,0.05,0.25,0.822086890133718
2.7e-06,4,3,1e-05,4,3,20,0.05,0.3,0.851300050883805
2.7e-06,4,3,1e-05,4,3,20,0.05,0.35,0.874416913448803
2.7e-06,4,3,1e-05,4,3,20,0.05,0.4,0.893091383198149
2.7e-06,4,3,1e-05,4,3,20,0.05,0.45,0.908444337214886
2.7e-06,4,3,1e-05,4,3,20,0.05,0.5,0.921246876595015
2.7e-06,4,3,1e-05,4,3,20,0.05,0.55,0.93204065107276
2.7e-06,4,3,1e-05,4,3,20,0.05,0.6,0.941216163724824
2.7e-06,4,3,1e-05,4,3,20,0.05,0.65,0.949063058766447
2.7e-06,4,3,1e-05,4,3,20,0.05,0.7,0.955802707900567
2.7e-06,4,3,1e-05,4,3,20,0.05,0.75,0.961609038004342
2.7e-06,4,3,1e-05,4,3,20,0.05,0.8,0.966622187781279
2.7e-06,4,3,1e-05,4,3,20,0.05,0.85,0.970957298461498
2.7e-06,4,3,1e-05,4,3,20,0.05,0.9,0.974710469597985
2.7e-06,4,3,1e-05,4,3,20,0.05,0.95,0.977962809842723
2.7e-06,4,3,1e-05,4,3,20,0.05,1,NA
2.7e-06,4,3,1e-05,4,3,20,0.1,0,0.286688310773644
2.7e-06,4,3,1e-05,4,3,20,0.1,0.05,0.419689693549662
2.7e-06,4,3,1e-05,4,3,20,0.1,0.1,0.53602318053678
2.7e-06,4,3,1e-05,4,3,20,0.1,0.15,0.629698533787131
2.7e-06,4,3,1e-05,4,3,20,0.1,0.2,0.702013337663846
2.7e-06,4,3,1e-05,4,3,20,0.1,0.25,0.757156383574481
2.7e-06,4,3,1e-05,4,3,20,0.1,0.3,0.799435371622217
2.7e-06,4,3,1e-05,4,3,20,0.1,0.35,0.832317759826738
2.7e-06,4,3,1e-05,4,3,20,0.1,0.4,0.858347262566492
2.7e-06,4,3,1e-05,4,3,20,0.1,0.45,0.879324313942853
2.7e-06,4,3,1e-05,4,3,20,0.1,0.5,0.896510561878899
2.7e-06,4,3,1e-05,4,3,20,0.1,0.55,0.910793232248956
2.7e-06,4,3,1e-05,4,3,20,0.1,0.6,0.922803386244755
2.7e-06,4,3,1e-05,4,3,20,0.1,0.65,0.932997747771873
2.7e-06,4,3,1e-05,4,3,20,0.1,0.7,0.941713885736875
2.7e-06,4,3,1e-05,4,3,20,0.1,0.75,0.949207354121124
2.7e-06,4,3,1e-05,4,3,20,0.1,0.8,0.955676302926645
2.7e-06,4,3,1e-05,4,3,20,0.1,0.85,0.961277991013956
2.7e-06,4,3,1e-05,4,3,20,0.1,0.9,0.966139814844592
2.7e-06,4,3,1e-05,4,3,20,0.1,0.95,NA
2.7e-06,4,3,1e-05,4,3,20,0.1,1,NA
2.7e-06,4,3,1e-05,4,3,20,0.15,0,0.142666500856301
2.7e-06,4,3,1e-05,4,3,20,0.15,0.05,0.263478184719609
2.7e-06,4,3,1e-05,4,3,20,0.15,0.1,0.38599853164209
2.7e-06,4,3,1e-05,4,3,20,0.15,0.15,0.497963026937981
2.7e-06,4,3,1e-05,4,3,20,0.15,0.2,0.592506862176011
2.7e-06,4,3,1e-05,4,3,20,0.15,0.25,0.6685233504245
2.7e-06,4,3,1e-05,4,3,20,0.15,0.3,0.728240525084796
