betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,4,3,8.8e-07,4,3,40,0,0,0.72749724820143
2.7e-06,4,3,8.8e-07,4,3,40,0,0.05,0.793596273845564
2.7e-06,4,3,8.8e-07,4,3,40,0,0.1,0.839551605156475
2.7e-06,4,3,8.8e-07,4,3,40,0,0.15,0.872622039232552
2.7e-06,4,3,8.8e-07,4,3,40,0,0.2,0.897200755457547
2.7e-06,4,3,8.8e-07,4,3,40,0,0.25,0.915981499063365
2.7e-06,4,3,8.8e-07,4,3,40,0,0.3,0.930660176103563
2.7e-06,4,3,8.8e-07,4,3,40,0,0.35,0.942339997297184
2.7e-06,4,3,8.8e-07,4,3,40,0,0.4,0.951764380971367
2.7e-06,4,3,8.8e-07,4,3,40,0,0.45,0.959452078240082
2.7e-06,4,3,8.8e-07,4,3,40,0,0.5,0.965776852422895
2.7e-06,4,3,8.8e-07,4,3,40,0,0.55,0.971015785381336
2.7e-06,4,3,8.8e-07,4,3,40,0,0.6,0.975379238954286
2.7e-06,4,3,8.8e-07,4,3,40,0,0.65,0.979030167201434
2.7e-06,4,3,8.8e-07,4,3,40,0,0.7,0.982096796859649
2.7e-06,4,3,8.8e-07,4,3,40,0,0.75,0.984681362644155
2.7e-06,4,3,8.8e-07,4,3,40,0,0.8,0.986866168484533
2.7e-06,4,3,8.8e-07,4,3,40,0,0.85,0.988718043303921
2.7e-06,4,3,8.8e-07,4,3,40,0,0.9,0.9902915832241
2.7e-06,4,3,8.8e-07,4,3,40,0,0.95,0.991631647354734
2.7e-06,4,3,8.8e-07,4,3,40,0,1,0.992775275008991
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0,0.686001856627489
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.05,0.765560353377679
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.1,0.819964948479646
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.15,0.85845400606176
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.2,0.886624640342916
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.25,0.907874589246654
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.3,0.924311836773669
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.35,0.937284650406062
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.4,0.947685892848568
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.45,0.956128170655228
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.5,0.963046314851916
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.55,0.968758419311001
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.6,0.97350340228798
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.65,0.977464643408404
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.7,0.980785436237534
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.75,0.983579353100617
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.8,0.985937425868799
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.85,0.98793328290492
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.9,0.989626903830059
2.7e-06,4,3,8.8e-07,4,3,40,0.05,0.95,0.991067439654245
2.7e-06,4,3,8.8e-07,4,3,40,0.05,1,NA
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0,0.635458018585442
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.05,0.731876553875651
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.1,0.796839520472258
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.15,0.842006903558152
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.2,0.874528033703207
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.25,0.898715236836626
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.3,0.917209130017135
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.35,0.931671704406466
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.4,0.943184446552818
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.45,0.952476675388835
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.5,0.960057789666791
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.55,0.96629522752186
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.6,0.971461662433805
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.65,0.975764316708347
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.7,0.979363836622726
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.75,0.982386712522262
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.8,0.984933843108365
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.85,0.987086482290776
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.9,0.988910620610157
2.7e-06,4,3,8.8e-07,4,3,40,0.1,0.95,NA
2.7e-06,4,3,8.8e-07,4,3,40,0.1,1,NA
