betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0,0.128117671449594
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.05,0.196905845513156
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.1,0.279211281228731
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.15,0.365437021585973
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.2,0.446507922408661
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.25,0.517394408107781
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.3,0.576933145641424
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.35,0.626201121694271
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.4,0.667081738315165
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.45,0.701371839148694
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.5,0.730423156332741
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.55,0.755167654538702
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.6,0.776293527401358
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.65,0.794396956012377
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.7,0.810049204625814
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.75,0.823797149135672
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.8,0.836136549723189
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.85,0.847486120040466
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.9,0.858173557208947
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,0.95,0.868433925841955
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0,1,0.878416847183513
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0.05,0,0.0825084189343299
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0.05,0.05,0.133455231066827
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0.05,0.1,0.201743729860515
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0.05,0.15,0.282605071562106
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0.05,0.2,0.367089585815623
2.7e-06,6.1,2.4,2.7e-06,6.1,3,1,0.05,0.25,0.446754038431701
