betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0,0.13452391469625
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.05,0.186969348232018
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.1,0.248112204599765
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.15,0.312661660725898
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.2,0.375465117661833
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.25,0.433488411824682
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.3,0.485769920618917
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.35,0.532495875646795
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.4,0.574259276897096
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.45,0.611721808246172
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.5,0.645543528387666
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.55,0.676374096660313
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.6,0.704786274919215
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.65,0.731176176283587
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.7,0.755722555819493
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.75,0.778462615384871
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.8,0.799465064166828
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.85,0.819031027652199
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.9,0.837862690162934
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,0.95,0.857199161254493
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0,1,0.879000351630575
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0,0.0786334192908199
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.05,0.114390362405712
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.1,0.16176716236239
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.15,0.219517406306574
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.2,0.283244151030321
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.25,0.347374712740794
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.3,0.407806254320216
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.35,0.462733198146871
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.4,0.511934841118151
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.45,0.555883658877538
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.5,0.595229680657652
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.55,0.630634016523773
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.6,0.662755123112527
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.65,0.69221334784954
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.7,0.719495843470774
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.75,0.744877849987026
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.8,0.768443575428617
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.85,0.790222510416529
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.9,0.810387783785093
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,0.95,0.829444478994155
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.05,1,NA
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.1,0,0.0441567914754229
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.1,0.05,0.0658521811891216
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.1,0.1,0.0966937220707804
8.8e-07,2.6,2.4,2.7e-06,2.6,2.4,1,0.1,0.15,0.138750348900969
