betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0,0.728416245642088
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.05,0.768738386677011
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.1,0.802381750077379
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.15,0.830555630259993
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.2,0.854293675383791
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.25,0.874442808311296
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.3,0.891680134112425
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.35,0.906539531480147
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.4,0.919438943391276
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.45,0.930704680901283
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.5,0.94059169975431
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.55,0.949299969793939
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.6,0.95698744158867
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.65,0.963780197367048
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.7,0.969780314103082
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.75,0.975071892373479
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.8,0.979725627646367
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.85,0.98380222808711
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.9,0.987354934564729
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,0.95,0.990431342102606
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0,1,0.993074691985635
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0,0.664203041502802
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.05,0.715161236013448
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.1,0.757722347608848
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.15,0.793211777714422
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.2,0.82288522275894
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.25,0.84783405826468
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.3,0.868961077273086
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.35,0.886991921194348
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.4,0.902500346332714
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.45,0.915936050818647
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.5,0.927650171526444
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.55,0.937916841992569
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.6,0.946950717168043
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.65,0.954920911514252
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.7,0.961961937501613
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.75,0.96818220299574
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.8,0.973670542411975
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.85,0.978501184813605
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.9,0.982737482762422
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,0.95,0.986434672467903
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.05,1,NA
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0,0.583834227841105
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.05,0.647441609284143
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.1,0.701159380414977
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.15,0.746083997255358
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.2,0.783534211239303
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.25,0.814805113861598
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.3,0.841044688587456
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.35,0.863213264877055
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.4,0.882087637175617
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.45,0.89828410474511
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.5,0.912286474996371
8.8e-07,2.6,2.4,2.7e-06,4,3.6,40,0.1,0.55,0.924472657485775
