betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0,0.727668686839961
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.05,0.762965161608744
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.1,0.793075810807038
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.15,0.818908048002869
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.2,0.841223383865006
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.25,0.860643029019426
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.3,0.877666864976707
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.35,0.892694859314677
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.4,0.906046551731497
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.45,0.917977323817012
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.5,0.928691483674428
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.55,0.938352671902718
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.6,0.947092111184159
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.65,0.955015179020603
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.7,0.962206685820228
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.75,0.968735142913568
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.8,0.974656235804361
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.85,0.980015662933337
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.9,0.984851453546061
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,0.95,0.989195854742825
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0,1,0.993076852148546
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0.05,0,0.655559355675581
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0.05,0.05,0.701837624647731
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0.05,0.1,0.741164576206944
8.8e-07,2.6,3.6,1e-05,2.6,3.6,40,0.05,0.15,0.774614164246909
