betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0,0.820321380441512
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.05,0.84892660304345
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.1,0.87231400996147
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.15,0.891622670344598
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.2,0.90771559644933
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.25,0.921247803464277
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.3,0.932718737489312
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.35,0.942511759478735
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.4,0.950923529427514
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.45,0.958185754080358
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.5,0.964481251520644
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.55,0.969955823413251
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.6,0.974727048889055
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.65,0.978890820738129
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.7,0.982526225352485
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.75,0.985699205626854
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.8,0.988465326797497
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.85,0.990871880089148
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.9,0.992959493118873
8.8e-07,2.6,3.6,1e-05,4,3,80,0,0.95,0.99476337287821
8.8e-07,2.6,3.6,1e-05,4,3,80,0,1,0.996314272627456
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0,0.768359959458374
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.05,0.806929826814551
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.1,0.838050319131432
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.15,0.863394575709156
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.2,0.884236622513828
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.25,0.901542079908742
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.3,0.916043022078519
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.35,0.92829645412779
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.4,0.938728683085727
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.45,0.947668467425868
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.5,0.955371591091805
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.55,0.962039026039229
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.6,0.967830347582525
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.65,0.972873661128734
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.7,0.977272968883978
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.75,0.981113659433728
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.8,0.984466618883153
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.85,0.987391327286418
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.9,0.989938206914839
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,0.95,0.992150414924436
8.8e-07,2.6,3.6,1e-05,4,3,80,0.05,1,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0,0.697318886537926
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.05,0.75015145073551
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.1,0.792323091434721
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.15,0.826231907402485
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.2,0.853740768867589
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.25,0.87627360365949
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.3,0.894910908352147
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.35,0.910471371211734
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.4,0.923576794336109
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.45,0.934701833291959
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.5,0.944211347529548
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.55,0.952388156219343
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.6,0.959453569542007
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.65,0.965582552867998
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.7,0.970914937485232
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.75,0.975563729105596
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.8,0.979621288171451
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.85,0.983163948469747
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.9,0.98625548758212
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,0.95,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.1,1,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0,0.599229145741077
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.05,0.672236171528412
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.1,0.730202692105478
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.15,0.776368309003328
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.2,0.813369610378519
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.25,0.843275337753436
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.3,0.867675108650682
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.35,0.88777769739331
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.4,0.904499024770129
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.45,0.918533808216469
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.5,0.930411140678367
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.55,0.940536504425309
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.6,0.949223097696651
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.65,0.956715038059005
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.7,0.963204506426796
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.75,0.968844412922544
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.8,0.973757773268444
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.85,0.978044672029873
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.9,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,0.95,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.15,1,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0,0.464024304372241
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.05,0.564553599361916
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.1,0.644694601850089
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.15,0.708326946926504
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.2,0.758918136526834
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.25,0.799349895457447
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.3,0.831911863282884
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.35,0.858375665000603
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.4,0.880092831789985
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.45,0.898088250701646
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.5,0.913138632329728
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.55,0.925834359012846
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.6,0.936626640546213
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.65,0.945862833507743
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.7,0.953812654611911
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.75,0.960687562733611
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.8,0.966655073634472
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.85,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.9,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,0.95,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.2,1,NA
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0,0.281092325328987
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.05,0.416633879953292
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.1,0.526536808329032
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.15,0.614452527222712
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.2,0.684320808948746
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.25,0.739809798722376
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.3,0.784046339925716
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.35,0.81955374368872
8.8e-07,2.6,3.6,1e-05,4,3,80,0.25,0.4,0.84830199922344
