betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0,0.139479585004775
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.05,0.195183551753888
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.1,0.259456747480207
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.15,0.326418617677719
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.2,0.39080827446491
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.25,0.449761466523457
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.3,0.502489401807133
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.35,0.54928356729023
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.4,0.590797562626
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.45,0.627756879292211
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.5,0.660902803933058
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.55,0.690937765398273
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.6,0.718413070851045
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.65,0.743647885665928
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.7,0.766762219281235
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.75,0.787815900135273
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.8,0.806976659084762
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.85,0.824638737179238
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.9,0.841460949882375
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,0.95,0.858343813097297
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0,1,0.876386059380067
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0,0.0859070875014969
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.05,0.126125232191249
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.1,0.178686112165831
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.15,0.241123459637742
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.2,0.307947405534269
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.25,0.373445473786419
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.3,0.43405336572414
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.35,0.488505078743499
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.4,0.536883928140999
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.45,0.579788640689339
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.5,0.617935319244166
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.55,0.652063508716854
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.6,0.682896145987717
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.65,0.711037944858961
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.7,0.736874592888949
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.75,0.760570781382614
8.8e-07,2.6,3.6,1e-05,6.1,3,1,0.05,0.8,0.782185729910158
