betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0,0.61659224756286
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.05,0.668066488790598
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.1,0.711428009095846
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.15,0.747973929690712
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.2,0.778974702489198
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.25,0.805514901105889
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.3,0.828466277021087
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.35,0.848513901189704
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.4,0.866193755050688
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.45,0.881926065980398
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.5,0.896040910579792
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.55,0.908797013566417
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.6,0.920395649564837
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.65,0.930991379248598
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.7,0.940700827772869
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.75,0.949610233053305
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.8,0.957782121843357
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.85,0.965261243809662
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.9,0.972079780982985
8.8e-07,2.6,3,1e-05,4,2.4,20,0,0.95,0.97826180159719
8.8e-07,2.6,3,1e-05,4,2.4,20,0,1,0.983826929742284
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0,0.526362460427847
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.05,0.590962559146912
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.1,0.646366742367905
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.15,0.693166422930556
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.2,0.732563219582306
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.25,0.76587053388909
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.3,0.794264077698672
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.35,0.818708312814445
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.4,0.839966356864887
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.45,0.858635612545339
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.5,0.875183891446459
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.55,0.889978470538041
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.6,0.903307676993201
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.65,0.915396721926489
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.7,0.926419652975021
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.75,0.936508885528077
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.8,0.945763228355769
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.85,0.954254923229748
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.9,0.962035897348093
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,0.95,0.969143297847416
8.8e-07,2.6,3,1e-05,4,2.4,20,0.05,1,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0,0.418759669960666
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.05,0.494968104244438
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.1,0.563516363386681
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.15,0.622975575992145
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.2,0.673455185953916
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.25,0.715962981973422
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.3,0.751807705667388
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.35,0.782243103583066
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.4,0.808329025189134
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.45,0.830913908852765
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.5,0.850663729825134
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.55,0.868099568138746
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.6,0.883630098846264
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.65,0.897576325069541
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.7,0.910189714201303
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.75,0.921665654362328
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.8,0.932153914113053
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.85,0.941767249283806
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.9,0.950588839003743
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,0.95,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.1,1,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0,0.302107839395724
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.05,0.383379145650178
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.1,0.462050082024492
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.15,0.534270720656106
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.2,0.597815600410176
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.25,0.652180488122495
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.3,0.698059966843707
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.35,0.736689081511151
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.4,0.769373836945313
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.45,0.797267034258476
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.5,0.821308567525241
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.55,0.84224049322796
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.6,0.86064354135715
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.65,0.876972604890162
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.7,0.891584886082284
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.75,0.904760718830783
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.8,0.916718863747428
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.85,0.927628118396643
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.9,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,0.95,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.15,1,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0,0.189442846781226
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.05,0.266519918526379
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.1,0.347479615654059
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.15,0.427846945748261
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.2,0.503303648556512
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.25,0.570843334699845
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.3,0.62923862080427
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.35,0.678737669231727
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.4,0.720409511884358
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.45,0.75556983383181
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.5,0.785453947762246
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.55,0.811096829320809
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.6,0.833324027173354
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.65,0.852782933067582
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.7,0.869980159275067
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.75,0.885313155590052
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.8,0.899094090374673
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.85,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.9,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,0.95,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.2,1,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0,0.0917095137539366
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.05,0.157536798331956
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.1,0.231706477648569
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.15,0.311462071122214
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.2,0.392664336391786
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.25,0.470762578089949
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.3,0.542061722413932
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.35,0.604545337098464
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.4,0.657880927847535
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.45,0.702857132490476
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.5,0.740736149928935
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.55,0.772813714665637
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.6,0.800219030363975
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.65,0.823867679142772
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.7,0.844481163496118
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.75,0.862624017761766
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.8,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.85,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.9,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,0.95,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.25,1,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0,0.0134293191014645
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.05,0.0655965417484429
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.1,0.127285672499105
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.15,0.198005664204372
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.2,0.275733625670764
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.25,0.356862224499912
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.3,0.436867420670144
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.35,0.511531933703838
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.4,0.578047137538255
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.45,0.635382581013421
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.5,0.683915919790684
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.55,0.724769638469382
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.6,0.759262088449434
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.65,0.788608670393216
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.7,0.813819442642495
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.75,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.8,NA
8.8e-07,2.6,3,1e-05,4,2.4,20,0.3,0.85,NA
