betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3,1e-05,4,3,40,0,0,0.728226340545187
8.8e-07,2.6,3,1e-05,4,3,40,0,0.05,0.766967710586893
8.8e-07,2.6,3,1e-05,4,3,40,0,0.1,0.799421673578909
8.8e-07,2.6,3,1e-05,4,3,40,0,0.15,0.826747343769251
8.8e-07,2.6,3,1e-05,4,3,40,0,0.2,0.849925000150024
8.8e-07,2.6,3,1e-05,4,3,40,0,0.25,0.869748697851808
8.8e-07,2.6,3,1e-05,4,3,40,0,0.3,0.886847424715478
8.8e-07,2.6,3,1e-05,4,3,40,0,0.35,0.901714297956367
8.8e-07,2.6,3,1e-05,4,3,40,0,0.4,0.914734515975065
8.8e-07,2.6,3,1e-05,4,3,40,0,0.45,0.926208996540532
8.8e-07,2.6,3,1e-05,4,3,40,0,0.5,0.93637332983283
8.8e-07,2.6,3,1e-05,4,3,40,0,0.55,0.945412663364439
8.8e-07,2.6,3,1e-05,4,3,40,0,0.6,0.953473303624859
8.8e-07,2.6,3,1e-05,4,3,40,0,0.65,0.960671753114525
8.8e-07,2.6,3,1e-05,4,3,40,0,0.7,0.967101750214312
8.8e-07,2.6,3,1e-05,4,3,40,0,0.75,0.972839749606801
8.8e-07,2.6,3,1e-05,4,3,40,0,0.8,0.977949176512158
8.8e-07,2.6,3,1e-05,4,3,40,0,0.85,0.982483707328914
8.8e-07,2.6,3,1e-05,4,3,40,0,0.9,0.986489777089217
8.8e-07,2.6,3,1e-05,4,3,40,0,0.95,0.990008466837371
8.8e-07,2.6,3,1e-05,4,3,40,0,1,0.993076901157986
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0,0.65943234049551
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.05,0.709464458166439
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.1,0.751362574656143
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.15,0.786407982297546
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.2,0.815830407738188
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.25,0.840697177403924
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.3,0.861884721705756
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.35,0.880091804467018
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.4,0.895867608790134
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.45,0.909641257580165
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.5,0.921747684160477
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.55,0.932448688707605
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.6,0.94194955854387
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.65,0.950412038428272
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.7,0.957964424757749
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.75,0.964709427856534
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.8,0.970730291746109
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.85,0.976095551648413
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.9,0.98086271183094
8.8e-07,2.6,3,1e-05,4,3,40,0.05,0.95,0.985081068439942
8.8e-07,2.6,3,1e-05,4,3,40,0.05,1,NA
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0,0.571452957981284
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.05,0.635105192508083
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.1,0.689124509257526
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.15,0.734447975600893
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.2,0.772331561251683
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.25,0.80405928397842
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.3,0.830783551226529
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.35,0.853467746598076
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.4,0.8728868416884
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.45,0.889652238642894
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.5,0.904242154919657
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.55,0.917029652727557
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.6,0.928305941351649
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.65,0.938298916142229
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.7,0.947187662267741
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.75,0.955113735795052
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.8,0.962189947457706
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.85,0.968507196627269
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.9,0.974139788463465
8.8e-07,2.6,3,1e-05,4,3,40,0.1,0.95,NA
8.8e-07,2.6,3,1e-05,4,3,40,0.1,1,NA
8.8e-07,2.6,3,1e-05,4,3,40,0.15,0,0.462835147673119
8.8e-07,2.6,3,1e-05,4,3,40,0.15,0.05,0.540702189189857
