betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0,0.618385363022924
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.05,0.672287995382468
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.1,0.717602395940892
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.15,0.755650893366101
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.2,0.787740024507978
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.25,0.815008455696086
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.3,0.83839161486291
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.35,0.858636853105266
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.4,0.876333554518585
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.45,0.891943011553733
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.5,0.905823486320905
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.55,0.918250365711701
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.6,0.929432600265521
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.65,0.939526550468092
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.7,0.948647933981105
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.75,0.95688217470705
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.8,0.964293230602422
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.85,0.970930898517963
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.9,0.976836603650714
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,0.95,0.982047739788783
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0,1,0.986600683993435
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0,0.539350027552185
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.05,0.605016557358366
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.1,0.661000431841274
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.15,0.708128944970548
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.2,0.747687811441626
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.25,0.78100618888574
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.3,0.809266291136862
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.35,0.833448811874592
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.4,0.854340811819045
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.45,0.872564343559461
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.5,0.888607032158627
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.55,0.902848315505017
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.6,0.915580609573835
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.65,0.927026469343117
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.7,0.937352940360454
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.75,0.94668389262249
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.8,0.955110716772955
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.85,0.962701491297494
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.9,0.969508629629248
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,0.95,0.975575005642872
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.05,1,NA
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0,0.446346471263781
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.05,0.523306116722553
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.1,0.591157243036992
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.15,0.649266603676413
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.2,0.698275403117681
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.25,0.739412073582351
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.3,0.774019229214613
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.35,0.803320186841194
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.4,0.828341461585969
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.45,0.849911329428998
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.5,0.868686068829147
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.55,0.885180955540618
8.8e-07,2.6,3,2.7e-06,6.1,3,20,0.1,0.6,0.899797660908418
