betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0,0.1432862688645
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.05,0.196046252881008
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.1,0.255772633246094
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.15,0.318018469280642
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.2,0.378768936176303
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.25,0.435515618352483
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.3,0.487223300520192
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.35,0.533810293110592
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.4,0.575641691174868
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.45,0.613239803988921
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.5,0.647196350346457
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.55,0.678133601933643
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.6,0.706610385706182
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.65,0.733007611597953
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.7,0.757489369883832
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.75,0.780089390979835
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.8,0.800890130067695
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.85,0.820215602705223
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.9,0.838776741226993
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,0.95,0.857770358440424
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0,1,0.879001358999556
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0,0.100702396646587
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.05,0.144252377604636
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.1,0.198034240921499
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.15,0.258841158330454
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.2,0.322048065833869
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.25,0.383550942183056
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.3,0.440843947123483
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.35,0.492937976269165
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.4,0.539800447108018
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.45,0.58183206430635
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.5,0.619585982777983
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.55,0.653690262567049
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.6,0.68479763302712
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.65,0.713468705057453
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.7,0.740051658887141
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.75,0.764668440864354
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.8,0.787346017013176
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.85,0.808236693820447
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.9,0.827834153094343
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,0.95,0.847133402653323
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.05,1,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0,0.0676122022273306
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.05,0.100774052587988
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.1,0.145123686965207
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.15,0.199971802394736
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.2,0.261934077973358
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.25,0.326183762475364
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.3,0.388508689975393
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.35,0.446399090382362
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.4,0.498914188199317
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.45,0.546074809327213
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.5,0.588321658659748
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.55,0.626245029573141
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.6,0.66051572280859
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.65,0.691817392789007
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.7,0.720704489354858
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.75,0.747482585034416
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.8,0.772231976529636
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.85,0.794994717352377
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.9,0.816041075137285
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,0.95,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.1,1,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0,0.0434679779001883
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.05,0.0671232711639533
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.1,0.100755861862985
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.15,0.145925279133395
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.2,0.201901113629585
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.25,0.265105553067653
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.3,0.330482880791719
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.35,0.393695625935778
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.4,0.452227799593394
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.45,0.505192219345994
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.5,0.552668603596465
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.55,0.595142631548636
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.6,0.633248885971575
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.65,0.667707209535564
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.7,0.699230307107004
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.75,0.728355409259167
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.8,0.755335290099672
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.85,0.780215286519444
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.9,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,0.95,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.15,1,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0,0.0266062720693462
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.05,0.0427281245041745
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.1,0.0665633666469849
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.15,0.100663996519918
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.2,0.146688084222297
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.25,0.203868271996724
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.3,0.268411123831217
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.35,0.335002037052712
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.4,0.399163688764153
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.45,0.458375555316488
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.5,0.511811845216991
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.55,0.559617452739423
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.6,0.602328632762827
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.65,0.640632452045319
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.7,0.675303556315046
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.75,0.707078640623419
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.8,0.736463199720868
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.85,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.9,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,0.95,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.2,1,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0,0.0151327242181652
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.05,0.0258254760245971
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.1,0.0419418755116516
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.15,0.0659422405221605
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.2,0.10051837751703
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.25,0.147445850824392
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.3,0.205920563307104
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.35,0.271905839555594
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.4,0.339796454818723
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.45,0.404963371169206
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.5,0.464887018061357
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.55,0.518812976297341
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.6,0.56695809486163
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.65,0.609915699078507
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.7,0.648434712621556
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.75,0.683349188381708
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.8,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.85,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.9,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,0.95,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.25,1,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0,0.00741806974527374
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.05,0.0144210694889084
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.1,0.02502038936199
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.15,0.0411149733671046
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.2,0.0652716019289921
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.25,0.100340383263571
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.3,0.148232866780312
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.35,0.208104972950642
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.4,0.275643987678444
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.45,0.344920476325512
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.5,0.411144691954303
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.55,0.471807216073162
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.6,0.526236800991888
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.65,0.574729526063311
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.7,0.617943526516283
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.75,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.8,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.85,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.9,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,0.95,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.3,1,NA
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0,0.00223966210992897
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.05,0.00681702028569574
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.1,0.0137010052578518
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.15,0.0241943536026161
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.2,0.0402539553873359
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.25,0.0645636764487071
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.3,0.100151295958581
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.35,0.149082903915098
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.4,0.21046808932612
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.45,0.279679720591247
8.8e-07,2.6,3,8.8e-07,2.6,3.6,1,0.35,0.5,0.350428607062981
