betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3.6,1e-05,4,3,80,0,0,0.819713084273964
8.8e-07,4,3.6,1e-05,4,3,80,0,0.05,0.846276909142208
8.8e-07,4,3.6,1e-05,4,3,80,0,0.1,0.86835328642303
8.8e-07,4,3.6,1e-05,4,3,80,0,0.15,0.886862357321716
8.8e-07,4,3.6,1e-05,4,3,80,0,0.2,0.902511654040112
8.8e-07,4,3.6,1e-05,4,3,80,0,0.25,0.915847107933673
8.8e-07,4,3.6,1e-05,4,3,80,0,0.3,0.927292154665905
8.8e-07,4,3.6,1e-05,4,3,80,0,0.35,0.9371773584229
8.8e-07,4,3.6,1e-05,4,3,80,0,0.4,0.945762718113279
8.8e-07,4,3.6,1e-05,4,3,80,0,0.45,0.953254422009354
8.8e-07,4,3.6,1e-05,4,3,80,0,0.5,0.959817430514755
8.8e-07,4,3.6,1e-05,4,3,80,0,0.55,0.965584939149998
8.8e-07,4,3.6,1e-05,4,3,80,0,0.6,0.970665515808783
8.8e-07,4,3.6,1e-05,4,3,80,0,0.65,0.97514850216194
8.8e-07,4,3.6,1e-05,4,3,80,0,0.7,0.979108120255535
8.8e-07,4,3.6,1e-05,4,3,80,0,0.75,0.982606610594721
8.8e-07,4,3.6,1e-05,4,3,80,0,0.8,0.985696643687678
8.8e-07,4,3.6,1e-05,4,3,80,0,0.85,0.98842318453359
8.8e-07,4,3.6,1e-05,4,3,80,0,0.9,0.990824943381294
8.8e-07,4,3.6,1e-05,4,3,80,0,0.95,0.992935511982426
8.8e-07,4,3.6,1e-05,4,3,80,0,1,0.994784259478453
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0,0.766042144638303
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.05,0.802185907255214
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.1,0.831810673044566
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.15,0.856306573251345
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.2,0.876742507954439
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.25,0.893939636295992
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.3,0.908530162623525
8.8e-07,4,3.6,1e-05,4,3,80,0.05,0.35,0.921002902815951
