betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0,0.726724102773774
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.05,0.763975331348831
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.1,0.795426349494356
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.15,0.822145860693531
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.2,0.845012248323514
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.25,0.864733183233318
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.3,0.881872762093339
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.35,0.896878425621132
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.4,0.910104560819387
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.45,0.921832012138517
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.5,0.932283741544174
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.55,0.941637232119454
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.6,0.950034272493997
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.65,0.957588684013358
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.7,0.964392440204068
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.75,0.970520525813476
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.8,0.976034795584564
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.85,0.980987032518874
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.9,0.98542135813165
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,0.95,0.989376114983643
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0,1,0.992885318586861
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0,0.671414722013912
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.05,0.718010462895859
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.1,0.757096148000861
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.15,0.790004574678027
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.2,0.817879963335623
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.25,0.841665746415736
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.3,0.862122348442073
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.35,0.879855271206327
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.4,0.89534387922361
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.45,0.908966941305484
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.5,0.921023828503702
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.55,0.931751535037351
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.6,0.941338140433594
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.65,0.949933409152503
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.7,0.957657145458363
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.75,0.964605798039917
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.8,0.970857696517908
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.85,0.976477206250521
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.9,0.981518017539866
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,0.95,0.986025734900332
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.05,1,NA
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0,0.601123076468055
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.05,0.659689024220158
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.1,0.708754845960085
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.15,0.749819315449417
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.2,0.784296068103461
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.25,0.813410752647668
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.3,0.838177992779671
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.35,0.859416272748291
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.4,0.877776706874737
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.45,0.893773777004229
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.5,0.907812997597686
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.55,0.920213989710092
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.6,0.93122902220502
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.65,0.94105765873243
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.7,0.949858265746404
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.75,0.957757063983933
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.8,0.964855270950717
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.85,0.971234755108657
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.9,0.976962516703429
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,0.95,NA
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.1,1,NA
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0,0.512196803930862
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.05,0.585373275551343
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.1,0.647180515665785
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.15,0.698912106437016
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.2,0.742112841002771
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.25,0.778279138796785
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.3,0.808724106931879
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.35,0.834540224098127
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.4,0.856609901856797
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.45,0.875634556741875
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.5,0.892167344935912
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.55,0.906643149271146
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.6,0.919403744850245
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.65,0.930718042231694
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.7,0.940798059440182
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.75,0.949811444746348
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.8,0.957891303011395
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.85,0.965143934316373
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.9,NA
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,0.95,NA
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.15,1,NA
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0,0.402071807868579
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0.05,0.491367235925856
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0.1,0.568538395332757
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0.15,0.63382453261413
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0.2,0.688433129370897
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0.25,0.733941741935658
8.8e-07,4,3.6,8.8e-07,2.6,3.6,40,0.2,0.3,0.771930039275302
