betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0,0.820044896956156
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.05,0.847460053152195
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.1,0.870044719851444
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.15,0.88882165371691
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.2,0.904571994389046
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.25,0.917893770188149
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.3,0.929247026611957
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.35,0.938987980226145
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.4,0.947394611360246
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.45,0.954685753289244
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.5,0.961035313026781
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.55,0.966582874693798
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.6,0.971441625022011
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.65,0.975704298799852
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.7,0.979447658024631
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.75,0.982735884733697
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.8,0.985623165828252
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.85,0.98815567469026
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.9,0.990373100773704
8.8e-07,4,3,1e-05,6.1,2.4,80,0,0.95,0.992309839385608
8.8e-07,4,3,1e-05,6.1,2.4,80,0,1,0.993995922751123
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0,0.768809828346155
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.05,0.805723847274564
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.1,0.835739248035818
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.15,0.860363508284588
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.2,0.880751744177656
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.25,0.897786180634204
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.3,0.912141268239774
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.35,0.924334588263735
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.4,0.934765655338661
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.45,0.943745099370236
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.5,0.951516466753824
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.55,0.958272464989124
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.6,0.96416706800898
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.65,0.969324552128985
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.7,0.973846263525414
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.75,0.977815705645054
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.8,0.981302383304711
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.85,0.984364723354704
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.9,0.987052307731035
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,0.95,0.989407590752584
8.8e-07,4,3,1e-05,6.1,2.4,80,0.05,1,NA
8.8e-07,4,3,1e-05,6.1,2.4,80,0.1,0,0.698821022346952
8.8e-07,4,3,1e-05,6.1,2.4,80,0.1,0.05,0.749357821731237
