betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3,1e-05,6.1,3,1,0,0,0.139676608948357
8.8e-07,4,3,1e-05,6.1,3,1,0,0.05,0.194199983076855
8.8e-07,4,3,1e-05,6.1,3,1,0,0.1,0.256632389807271
8.8e-07,4,3,1e-05,6.1,3,1,0,0.15,0.32159098264566
8.8e-07,4,3,1e-05,6.1,3,1,0,0.2,0.384333742961358
8.8e-07,4,3,1e-05,6.1,3,1,0,0.25,0.442188633122318
8.8e-07,4,3,1e-05,6.1,3,1,0,0.3,0.494296293814844
8.8e-07,4,3,1e-05,6.1,3,1,0,0.35,0.540806908493255
8.8e-07,4,3,1e-05,6.1,3,1,0,0.4,0.582257617855437
8.8e-07,4,3,1e-05,6.1,3,1,0,0.45,0.619283859786191
8.8e-07,4,3,1e-05,6.1,3,1,0,0.5,0.652552712789465
8.8e-07,4,3,1e-05,6.1,3,1,0,0.55,0.682723953525723
8.8e-07,4,3,1e-05,6.1,3,1,0,0.6,0.710354314474545
8.8e-07,4,3,1e-05,6.1,3,1,0,0.65,0.735803010750413
8.8e-07,4,3,1e-05,6.1,3,1,0,0.7,0.759224818589712
8.8e-07,4,3,1e-05,6.1,3,1,0,0.75,0.780670523307673
8.8e-07,4,3,1e-05,6.1,3,1,0,0.8,0.800242342922476
8.8e-07,4,3,1e-05,6.1,3,1,0,0.85,0.818229269845046
8.8e-07,4,3,1e-05,6.1,3,1,0,0.9,0.835176446383304
8.8e-07,4,3,1e-05,6.1,3,1,0,0.95,0.851890796675259
8.8e-07,4,3,1e-05,6.1,3,1,0,1,0.86941669644103
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0,0.0851340473110274
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.05,0.124533227168092
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.1,0.175649120945462
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.15,0.236090575066451
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.2,0.300834989205834
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.25,0.364683930011884
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.3,0.424269136306044
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.35,0.478234157850042
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.4,0.526488813518843
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.45,0.569493250660565
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.5,0.607865268750367
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.55,0.642264062243248
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.6,0.673359630634864
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.65,0.701754090836854
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.7,0.727876088229305
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.75,0.751939563609097
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.8,0.774012773176576
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.85,0.794164408019593
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.9,0.81261253029046
8.8e-07,4,3,1e-05,6.1,3,1,0.05,0.95,0.829817075034025
8.8e-07,4,3,1e-05,6.1,3,1,0.05,1,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0,0.0496666884941617
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.05,0.0749433239759831
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.1,0.110617654107137
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.15,0.158077928900907
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.2,0.215990810950667
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.25,0.279970778402586
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.3,0.34458037998308
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.35,0.405763433772888
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.4,0.461582275097757
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.45,0.511631135471587
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.5,0.556253347503558
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.55,0.596038859022315
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.6,0.631636980733396
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.65,0.663719576616027
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.7,0.692922482065862
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.75,0.719739161090283
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.8,0.744450101669715
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.85,0.767156656823033
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.9,0.787909759494844
8.8e-07,4,3,1e-05,6.1,3,1,0.1,0.95,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.1,1,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0,0.0280053862362829
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.05,0.0433652731252692
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.1,0.0658271612149672
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.15,0.097933545397714
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.2,0.141605664121184
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.25,0.196522048269049
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.3,0.259158244754343
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.35,0.324107656288131
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.4,0.386695562307341
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.45,0.444332972700542
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.5,0.496215135346714
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.55,0.542516889420275
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.6,0.583782593660581
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.65,0.620649412201979
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.7,0.653785196610601
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.75,0.68384779776667
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.8,0.711387662538476
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.85,0.736755402250531
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.9,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.15,0.95,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.15,1,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0,0.0149430664448124
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.05,0.0242098408227735
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.1,0.037789214511285
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.15,0.0577043782054689
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.2,0.0864537738145124
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.25,0.126314503059171
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.3,0.177861504749528
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.35,0.238575590536785
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.4,0.303374720853001
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.45,0.367105745054087
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.5,0.426485935963838
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.55,0.480224115319066
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.6,0.528263245106387
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.65,0.571074759434437
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.7,0.609279029557641
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.75,0.643536332459396
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.8,0.674515915851707
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.85,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.9,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.2,0.95,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.2,1,NA
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0,0.00694509373125665
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.05,0.0126371250299094
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.1,0.0208520874655453
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.15,0.0328589826889871
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.2,0.0504887318639037
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.25,0.0761269063291919
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.3,0.112248341575082
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.35,0.160163765026394
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.4,0.218411695777229
8.8e-07,4,3,1e-05,6.1,3,1,0.25,0.45,0.282515572071034
