betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0,0.616569252604417
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.05,0.661043824753525
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.1,0.699713554518792
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.15,0.73334569979707
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.2,0.762688859226061
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.25,0.78841722157892
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.3,0.811112231335702
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.35,0.831263767753579
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.4,0.849279815769238
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.45,0.865498490704143
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.5,0.880199400258374
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.55,0.893613182106472
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.6,0.905929072824848
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.65,0.91730083942468
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.7,0.927851548043816
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.75,0.937677607105037
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.8,0.946852407280984
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.85,0.955429759121094
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.9,0.963447212991808
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,0.95,0.970929276318268
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0,1,0.977890491661033
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0,0.544002320590822
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.05,0.598058756671123
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.1,0.645346876929323
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.15,0.686463285193462
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.2,0.722173876563576
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.25,0.753260604872283
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.3,0.78044372520684
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.35,0.80435165355595
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.4,0.825516808448967
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.45,0.844383575883686
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.5,0.861320411975043
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.55,0.876631998047103
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.6,0.890569707683621
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.65,0.90333997383106
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.7,0.915110814463856
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.75,0.926017009799273
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.8,0.936164423912953
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.85,0.945633858201583
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.9,0.95448467589825
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,0.95,0.962758317427671
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.05,1,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0,0.456593101597058
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.05,0.52085656232872
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.1,0.578174121157198
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.15,0.628472427330715
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.2,0.672235044232419
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.25,0.710205061096729
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.3,0.743189859187316
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.35,0.771955212029164
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.4,0.797179286202278
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.45,0.819440887494847
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.5,0.839224595514427
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.55,0.85693250696379
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.6,0.872897094237242
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.65,0.887392663227446
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.7,0.90064462836055
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.75,0.912836729880575
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.8,0.924116687839972
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.85,0.93460084609843
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.9,0.944378256891244
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,0.95,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.1,1,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0,0.355768193715779
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.05,0.428608723720382
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.1,0.496112019324853
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.15,0.55681438548414
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.2,0.61031650908593
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.25,0.656935143584048
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.3,0.697360768587384
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.35,0.732413626396372
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.4,0.762902387143522
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.45,0.789557135933819
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.5,0.813006984356791
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.55,0.833780840230022
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.6,0.852318133273251
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.65,0.868982192770063
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.7,0.884072734889643
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.75,0.897836158517215
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.8,0.910473568048568
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.85,0.922146987805056
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.9,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,0.95,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.15,1,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0,0.247611873088055
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.05,0.323980932210826
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.1,0.399078121088502
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.15,0.469715730270612
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.2,0.533883151973077
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.25,0.590770973968805
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.3,0.640462207855671
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.35,0.683554393606726
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.4,0.720861751098923
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.45,0.753230184180258
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.5,0.781442776644705
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.55,0.806182769826534
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.6,0.828027848239526
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.65,0.847458887600637
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.7,0.864873533575835
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.75,0.880599713186971
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.8,0.894907063948896
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.85,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.9,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,0.95,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.2,1,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0,0.142358235990601
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.05,0.214666005448172
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.1,0.291206201196697
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.15,0.368081074641544
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.2,0.441643597621541
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.25,0.509294247228243
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.3,0.569726106215523
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.35,0.622707858567131
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.4,0.66869094385633
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.45,0.70845630733224
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.5,0.742877110501301
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.55,0.77278878592442
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.6,0.798932165718017
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.65,0.821938402132721
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.7,0.842334367641987
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.75,0.860555923283775
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.8,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.85,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.9,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,0.95,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.25,1,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0,0.0501239437729084
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.05,0.111682969040975
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.1,0.181752678964608
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.15,0.257706127539573
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.2,0.33575524893895
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.25,0.411910903803621
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.3,0.4829793424702
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.35,0.547074482830851
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.4,0.603557903960043
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.45,0.652666828688696
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.5,0.695110865326839
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.55,0.731774443642122
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.6,0.763542050179983
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.65,0.791214804573033
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.7,0.815482134230754
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.75,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.8,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.85,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.9,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,0.95,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.3,1,NA
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.35,0,-0.0949520870887022
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.35,0.05,0.02426057714854
8.8e-07,4,3,8.8e-07,2.6,2.4,20,0.35,0.1,0.0820497441206685
