betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0,0.818809096718827
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.05,0.847867334930012
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.1,0.871601094454327
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.15,0.89117552856252
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.2,0.907472581183035
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.25,0.92116125549588
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.3,0.932751407668821
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.35,0.94263419802464
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.4,0.951112191459002
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.45,0.9584216297782
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.5,0.964748873504936
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.55,0.970242540954603
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.6,0.975022488635902
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.65,0.979186477952968
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.7,0.982815147506448
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.75,0.985975742651574
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.8,0.988724930978367
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.85,0.991110942787902
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.9,0.993175210667434
8.8e-07,4,3,8.8e-07,4,3.6,80,0,0.95,0.994953635262235
8.8e-07,4,3,8.8e-07,4,3.6,80,0,1,0.99647757031418
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0,0.783309251242403
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.05,0.81967308906147
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.1,0.848996354399211
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.15,0.872881993036569
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.2,0.892536997322172
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.25,0.908869629165087
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.3,0.922565271628434
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.35,0.934143906148856
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.4,0.944002945498815
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.45,0.952448833403402
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.5,0.95972025005545
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.55,0.966005126331996
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.6,0.97145312978211
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.65,0.976184852890463
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.7,0.980298603442045
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.75,0.983875449718897
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.8,0.986982992894835
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.85,0.989678208310603
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.9,0.992009600815117
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,0.95,0.994018853422482
8.8e-07,4,3,8.8e-07,4,3.6,80,0.05,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0,0.7374654442956
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.05,0.783742432191622
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.1,0.820568839920025
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.15,0.850168044930052
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.2,0.874211715921352
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.25,0.893950507100982
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.3,0.910320038639755
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.35,0.92402268152699
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.4,0.935588923810889
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.45,0.94542267879121
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.5,0.953834442613654
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.55,0.961065461607969
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.6,0.967305333641325
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.65,0.972704849156827
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.7,0.977385392893595
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.75,0.981445861691572
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.8,0.984967785965218
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.85,0.98801914797614
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.9,0.990657250234893
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.1,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0,0.677208299766145
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.05,0.737124555254875
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.1,0.784192072216376
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.15,0.821501521889039
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.2,0.85138830791604
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.25,0.875596340525096
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.3,0.895421974458475
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.35,0.911829375161556
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.4,0.925538611225501
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.45,0.937091114686183
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.5,0.946897584526181
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.55,0.9552727633109
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.6,0.96246059953291
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.65,0.96865245541872
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.7,0.974000314835598
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.75,0.978626406039317
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.8,0.982630252038612
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.85,0.986093872774581
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.9,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.15,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0,0.596662047183258
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.05,0.675518889337089
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.1,0.736767111453213
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.15,0.784663403666292
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.2,0.822477812335049
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.25,0.8526643123384
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.3,0.877042964024003
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.35,0.896958114596598
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.4,0.913403823114712
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.45,0.927118664392899
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.5,0.93865550992151
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.55,0.948432158572267
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.6,0.956767803548313
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.65,0.963909231633097
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.7,0.970049661419414
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.75,0.975342333078717
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.8,0.979910360912017
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.85,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.9,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.2,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0,0.487507621770984
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.05,0.592678286877457
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.1,0.673747193847781
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.15,0.736397925160381
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.2,0.785163920348984
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.25,0.823506228341789
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.3,0.854004647274986
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.35,0.878559735547363
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.4,0.898566405654938
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.45,0.915050125793863
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.5,0.92876886805929
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.55,0.940287478359543
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.6,0.95003118151206
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.65,0.958323823505381
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.7,0.965415156290907
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.75,0.971500335076792
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.8,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.85,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.9,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.25,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0,0.338549168168866
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.05,0.479719153096411
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.1,0.588486779951367
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.15,0.671895436636016
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.2,0.73602449793612
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.25,0.785703365928469
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.3,0.824597023842738
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.35,0.855419175604238
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.4,0.880155731299355
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.45,0.90025501351097
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.5,0.916775549543053
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.55,0.93049566709811
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.6,0.941992742002015
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.65,0.951699748233971
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.7,0.959945373073371
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.75,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.8,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.85,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.9,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.3,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0,0.13631768258922
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.05,0.324681012322475
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.1,0.471492613466601
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.15,0.584080876016771
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.2,0.669968175378386
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.25,0.735656835500697
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.3,0.786293687030812
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.35,0.825762212116932
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.4,0.856919095483114
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.45,0.881841016687678
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.5,0.902032842419614
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.55,0.918587938813268
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.6,0.932305986679643
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.65,0.943777445165453
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.7,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.75,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.8,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.85,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.9,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.35,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0,-0.032919491721747
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.05,0.113308747499227
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.1,0.309977685052805
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.15,0.462798331541849
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.2,0.579454307878357
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.25,0.667971894208857
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.3,0.735307053562722
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.35,0.786948613018198
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.4,0.827015129317452
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.45,0.858516557449694
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.5,0.883626358124837
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.55,0.90390934644977
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.6,0.920495604663724
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.65,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.7,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.75,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.8,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.85,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.9,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,0.95,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.4,1,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0,-0.117401347057384
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.05,-0.041774690514471
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.1,0.0888573965561326
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.15,0.294361412902739
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.2,0.453601829881669
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.25,0.574600010299154
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.3,0.665913844934083
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.35,0.734988455072783
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.4,0.787683003070598
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.45,0.828370102008516
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.5,0.860224536485471
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.55,0.885523215281604
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.6,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.65,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.7,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.75,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.8,NA
8.8e-07,4,3,8.8e-07,4,3.6,80,0.45,0.85,NA
